name,ring,quadrant,isNew,description
Orange data-mining,adopt,Platforms,TRUE,"Visual programming to train models on client data  <a href=""https://orange.biolab.si/"">"
KNIME,trial,Platforms,TRUE,"Visual programming to build and simulate models on client data  <a href=""https://www.knime.com"">"
Yworks,adopt,Tools,TRUE,"Represent data intuitively with a view tailored to the User <a href=""https://www.yworks.com/products/yed"">"
Devonthink iOS,adopt,Tools,TRUE,"Document database with tagging and search and OCR <a href="""
Protégé,assess,Languages & frameworks,TRUE,"Using the knowledge graphs of others <a href=""https://protege.stanford.edu/>"""
KBPEDIA,trial,Languages & frameworks,TRUE,"Using the knowledge graphs of others  <a href=""http://kbpedia.org/knowledge-graph/"">"
Google GDELT,assess,Languages & frameworks,TRUE,"Using the knowledge graphs of others <a href="""
YAGO knowledge graph,hold,Languages & frameworks,TRUE,"Using the knowledge graphs of others <a href=https://www.mpi-inf.mpg.de/departments/databases-and-information-systems/research/yago-naga/yago/"">"
Triz,assess,Languages & frameworks,TRUE,"…x… <a href="""
Watson news,adopt,Techniques,TRUE,"Using the knowledge graphs of others <a href="""
Tagging,hold,Techniques,TRUE,"…x… <a href="""
Modular text files,trial,Techniques,TRUE,"…x… <a href=""https://www.infonautics-software.ch/directorylistprint/"">"
Text2Folders,trial,Techniques,TRUE,http://www.dcmembers.com/skwire/download/text-2-folders/
Directory List and Print,trial,Techniques,TRUE,test
Chartmaker,hold,Tools,TRUE,test
Infranodus,assess,Tools,TRUE,test
