Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","22329","","Awarded","4732","GST0011AJ0019","GS00Q09BGD0048","4735","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","","29.535882","Cost Plus Award Fee","","01/27/2011","01/30/2016","Y","The purpose of this acquisition is to procure Information Technology (IT) services to support the mission of the Risk Management Agency (RMA), an agency of the United States Department of Agriculture (USDA).  RMA requires the full range of IT services in order to develop and deliver new crop insurance products, support high employee productivity, develop and maintain new IT systems, and design, deploy, and maintain the underlying infrastructure for aforementioned activities.","42210","4732","0","2012-02-29 11:51:39","2012-02-29 11:51:39"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","22334","","Awarded","4732","GST0011AJ0019","GS00Q09BGD0048","4735","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","","29.535882","Cost Plus Award Fee","","01/27/2011","01/30/2016","Y","The purpose of this acquisition is to procure Information Technology (IT) services to support the mission of the Risk Management Agency (RMA), an agency of the United States Department of Agriculture (USDA).  RMA requires the full range of IT services in order to develop and deliver new crop insurance products, support high employee productivity, develop and maintain new IT systems, and design, deploy, and maintain the underlying infrastructure for aforementioned activities.","41352","4732","0","2012-02-28 13:27:33","2012-02-28 13:27:33"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","21914","","Awarded","1205","AG3142K110191","AG3142B110017","1205","Yes","UNISYS CORPORATION","","0.443851","Firm Fixed Price","","07/26/2011","09/30/2012","Y","BELTSVILLE AND NITC HARDWARE SUPPORT","41708","1205","0","2012-02-28 16:17:14","2012-02-28 16:17:14"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","22998","","Awarded","","AG32KWD110581","GS35F0265X","4732","Yes","IMMIXTECHNOLOGY, INC.","","0.056599","Firm Fixed Price","","09/26/2011","09/29/2012","U","IMMIXTECHNOLOGY QUOTE #QUO-224102-8B7QV6 FOR RENEWING ORACLE MAINTENANCE.  PREVIOUS PO #AG-32KW-D-10-0637.  POP 09/30/2011 TO 09/29/2012.  POC BRIAN BOWMAN.  COTR RHIANA SHUMATE.","46365","12K3","","2012-08-01 16:21:07","2012-08-01 16:21:07"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","23225","","Awarded","","AG32KWD120007","GS35F0494T","4730","Yes","IT FEDERAL SALES LIMITED LIABILITY COMPANY","","0.028950","Firm Fixed Price","","11/30/2011","11/22/2012","U","IT FEDERAL SALES - CORE IMPACT PRO SECURITY SOFTWARE FOR NETWORK, ENDPOINT, E-MAIL AND WEB APPLICATIONS - 1 MACHINE AND 1 SUBSCRIPTION.  QUOTE FROM GSA ADVANTAGE.  RHIANA SHUMATE IS COTR.  TERRI SHUEY IS POC.  REV #1 TO ADD FMMI CODES.","46369","12K3","","2012-08-01 16:21:07","2012-08-01 16:21:07"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","23286","","Awarded","","AG32KWD120034","GS35F0265X","4732","Yes","IMMIXTECHNOLOGY, INC.","","0.121802","Firm Fixed Price","","01/13/2012","09/30/2012","U","IBM SOFTWARE RENEWAL - LOTUS INTEGRATOR, WEBSPHERE AND RATIONAL FOR ANNUAL SUBSCRIPTION AND SUPPORT RENEWAL.  POP 10/01/2011 - 09/30/2012.  RHIANA SHUMATE IS COTR.  REV #1 ADD FMMI CODES.","46367","12K3","","2012-08-01 16:21:07","2012-08-01 16:21:07"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","23287","","Awarded","","AG32KWK120003","AG3142B090025","1205","Yes","IRON BOW TECHNOLOGIES, LLC","","0.115416","Firm Fixed Price","","12/12/2011","09/30/2012","U","IRON BOW Q#434032 RVD-01DEC11 FOR BMC SOFTWARE TO RENEW THE ASSET MANAGEMENT, ATRIUM DASHBOARDS, CHANGE MANAGEMENT, REMEDY AND SERVICE DESK SOFTWARE.  POP IN 10/01/2011 - 09/30/2012.  RHIANA SHUMATE IS COTR.  REV #1 TO ADD FMMI CODE.","46383","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","23570","","Awarded","","AG32KWD120040","NNG07DA50B","8000","Yes","COUNTERTRADE PRODUCTS, INC.","","0.023549","Firm Fixed Price","","01/12/2012","10/12/2012","U","THE REQUIREMENT IS FOR SINGLEWIRE SOFTWARE","46371","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","23571","","Awarded","","AG32KWD120058","GS35F0779J","4730","Yes","GOVERNMENT ACQUISITIONS INC","","0.014937","Firm Fixed Price","","02/08/2012","12/23/2012","U","IT PURCHASE GOVERNMENT ACQUISITIONS - RED HAT QUOTE #RFQ647345-YVJ FOR A ONE (1) YEAR SUBSCRIPTION RENEWAL.  POP 12/23/2011 - 12/22/2012.  RHIANA SHUMATE IS COTR.  REV#2 REQUESTED BY RODNEY WALKER.","46375","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","23572","","Awarded","","AG32KWP120026","AG32KWP120026","4730","Yes","ACTIVIDENTITY, INC.","","0.014530","Firm Fixed Price","","12/22/2011","01/01/2012","U","ACTIVIDENTITY Q# USDA-APHIS-20111208 PREMIUM RENEWAL FOR ACTIVCLIENT ADVANCED-PER USER PER YEAR.  POP 01/01/2012 - 12/31/2012.  RHIANA SHUMATE IS COTR.  PREVIOUS PO #AG-32KW-P-11-0041.","46387","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
