Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Baseline,Target for PY,Actual for PY,Target for CY,Measurement Condition,Reporting Frequency,Most Recent Actual Results,Actuals have Met/Not Met Target,Comment,Updated Date,Updated Time
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1073","","% time system available","hours of up-time","115-Customer Results - Service Accessibility","99.000000","99.000000","99.100000","99.100000","Over target","Quarterly","100.000000","Met","","08/01/2012","18:32:25"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1074","","Number of processes improved as a result of ITIL strategies planned","quality","202-Process and Activities - Productivity","0.000000","1.000000","0.000000","1.000000","Over target","Semi-Annual","","","Unplanned Agency migration to cloud email took precedence over ITIL process improvement.","08/01/2012","18:32:25"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1075","","% of workstations using MS Windows 7 Enterprise 32-bit w/Bit-locker operating system","percentage","212-Technology - Quality Assurance","25.000000","50.000000","52.000000","100.000000","Over target","Monthly","73.000000","Not Met","(1318 of 2286 for November) (1467 of 2023 as of March)","08/01/2012","18:32:25"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1076","","Time, Effort &amp; Cost saved to centrally host and support AMS-wide IT solutions for Regulatory IT Investments","time","103-Mission and Business Results - Management of Government Resources","2.000000","3.000000","0.000000","3.000000","Under target","Quarterly","0.000000","Met","","08/01/2012","18:32:25"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1077","","Percent of  servers reduced as a result of virtualization","Quantity","211-Technology - Technology Costs","66.000000","66.000000","66.000000","100.000000","Over target","Monthly","80.000000","Not Met","","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1083","","Number of Applicants using ePermits","Percent","112-Customer Results - Service Coverage","45.000000","40.000000","52.000000","60.000000","Over target","Monthly","56.000000","Not Met","As of 5/16/12 51% of VS and PPQ applications were submitted electronically by applicants (14450 out of 28169)","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1084","","Number of applicants registered to use ePermits","Percent","112-Customer Results - Service Coverage","75.000000","75.000000","56.000000","60.000000","Under target","Monthly","60.000000","Met","As of 5/16/12 56% of VS, BRS and PPQ applications were submitted electronically by applicants (17148 out of 30885)","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1085","","Add external groups to the ePermits System.","Number","112-Customer Results - Service Coverage","1.000000","1.000000","0.000000","2.000000","Under target","Semi-Annual","0.000000","Met","0 external groups added the system is being evaluated for a new system platform.","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1086","","Precentage of Permit application processed within 75 days.","Percent","113-Customer Results - Timeliness and Responsiveness","10.000000","10.000000","20.000000","25.000000","Over target","Quarterly","10.000000","Not Met","20% overall reduction in turn-around time for implemented permit programs","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1087","","Collect and Process User Fees electronically via Pay.gov.","Number","103-Mission and Business Results - Management of Government Resources","10000.000000","13000.000000","13399.000000","13000.000000","Over target","Quarterly","9108.000000","Not Met","Payment was collected from 13399 applications.","08/01/2012","18:32:25"
