Unique Investment Identifier,Business Case Id,Agency Code,Agency Name,Investment Title,Planning Budgetary Resources PY1 and Prior,Planning Budgetary Resources PY,Planning Budgetary Resources CY,Planning Budgetary Resources BY,DME Budgetary Resources PY1 and Prior,DME Budgetary Resources PY,DME Budgetary Resources CY,DME Budgetary Resources BY,DME Government FTE Costs PY1 and Prior,DME Government FTE Costs PY,DME Government FTE Costs CY,DME Government FTE Costs BY,Omd Budgetary Resources PY1 and Prior,Omd Budgetary Resources PY,Omd Budgetary Resources CY,Omd Budgetary Resources BY,Omd Government FTE Costs PY1 and Prior,Omd Government FTE Costs PY,Omd Government FTE Costs CY,Omd Government FTE Costs BY,Government FTE Number PY1 and Prior,Government FTE Number PY,Government FTE Number CY,Government FTE Number BY,Prior Year Cost Change PY,Prior Year Cost Change CY,Prior Year Cost Percentage Change PY,Prior Year Cost Percentage Change CY
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","0.000000","0.000000","0.000000","0.000000","22.496000","0.000000","0.000000","0.000000","12.120000","0.000000","0.000000","0.000000","78.483000","6.686336","8.180256","6.694750","46.084000","8.811662","8.756304","8.756304","440.00","88.00","102.00","102.00","-1.571002","1.692560","-9.200000","11.100000"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","0.001000","0.000000","0.000000","0.000000","15.676000","0.000000","0.000000","0.000000","0.569000","0.000000","0.000000","0.000000","8.186000","3.871709","2.863000","3.285000","0.412000","0.210000","0.300000","0.320000","8.00","2.00","2.00","2.00","-1.196291","-5.663000","-22.700000","-64.200000"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","2.900000","0.000000","0.000000","0.000000","30.380000","0.000000","0.000000","0.000000","4.690000","0.000000","0.000000","0.000000","204.339000","24.641000","19.347000","23.717000","124.121000","15.210000","11.923000","11.906000","913.00","165.00","162.00","162.00","-7.109000","-21.449000","-15.100000","-40.700000"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","7.927000","0.787099","0.675000","0.702000","1.273800","0.128801","0.136600","0.142100","8.00","2.00","1.00","1.00","0.033199","-0.125000","3.800000","-13.300000"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","0.000000","0.000000","0.000000","0.000000","23.794000","0.946000","0.946000","0.946000","20.300858","1.849856","1.903504","1.342000","30.124000","8.155000","8.256000","8.256000","14.436668","3.121632","3.212164","3.294000","127.00","43.00","39.00","38.00","0.882000","1.928987","6.700000","15.600000"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","0.000000","0.000000","0.000000","0.000000","6.678000","0.000000","0.000000","0.000000","6.684000","0.000000","0.000000","0.000000","19.918000","1.991000","2.156000","2.109000","20.308142","4.187495","3.456049","3.544100","104.00","37.00","30.00","30.00","-1.095000","-0.782902","-15.100000","-12.200000"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","0.000000","0.000000","0.000000","0.000000","0.960000","0.000000","0.000000","0.000000","1.821000","0.000000","0.000000","0.000000","8.833000","1.964000","1.591000","1.964000","4.714586","0.462464","0.446134","0.457500","16.00","4.00","4.00","4.00","-0.136000","0.511256","-5.300000","33.500000"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","0.000000","0.000000","0.000000","0.000000","78.028000","0.000000","0.000000","0.000000","12.740000","0.000000","0.000000","0.000000","238.191000","26.255000","17.537000","13.981000","59.782000","6.678000","1.210000","2.860000","425.00","22.00","22.00","22.00","0.000000","0.000000","0.000000","0.000000"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","71.792000","14.297000","0.000000","0.000000","6.309000","1.021000","0.000000","0.000000","94.00","13.00","13.00","13.00","0.000000","0.000000","0.000000","0.000000"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","18.456966","2.498289","11.827000","3.996590","51.449310","38.520694","95.954352","95.770299","6.280682","4.059895","4.639791","4.758000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","33.00","40.00","39.00","39.00","-32.797485","-38.137630","-42.100000","-25.300000"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","0.000000","0.000000","0.000000","0.000000","37.022000","0.000000","0.150000","0.975000","1.736000","0.000000","0.000000","0.000000","100.610000","16.427000","15.937857","13.808089","12.008000","1.674000","0.814000","0.900000","225.00","18.00","11.00","11.00","0.000000","-4.772143","0.000000","-22.000000"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","0.000000","0.000000","0.000000","0.000000","84.768000","19.006000","18.821000","10.752000","7.447000","4.297000","4.940000","5.190000","24.654000","24.603000","34.602000","37.141000","3.982000","4.461000","4.778000","10.518000","90.00","70.00","92.00","92.00","0.225000","8.517000","0.400000","15.600000"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","0.000000","0.000000","0.000000","0.000000","9.556000","0.000000","0.000000","0.000000","0.705000","0.000000","0.000000","0.000000","139.988169","15.290124","14.458972","14.801988","75.506603","6.888966","6.586488","6.798829","350.00","52.00","52.00","52.00","-1.878220","-3.922846","-7.800000","-15.700000"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","0.000000","0.000000","0.000000","0.000000","25.274000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","7.050000","0.980000","0.980010","0.930950","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","-0.020000","-0.050010","-2.000000","-4.900000"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","0.450000","0.000000","0.000000","0.000000","5.000000","0.000000","0.500000","0.000000","0.000000","0.000000","0.000000","0.000000","157.550000","25.623366","49.099084","50.572056","25.957000","3.721924","3.718752","3.830312","212.00","48.00","48.00","48.00","29.345290","53.317836","0.000000","0.000000"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information Consolidation Projects (PHICP)","0.000000","0.000000","0.000000","0.000000","25.795000","6.235000","8.267000","0.000000","1.210000","0.000000","0.000000","0.000000","50.062000","1.441226","2.648500","2.727000","15.083000","0.000000","0.000000","0.000000","126.00","32.00","32.00","32.00","7.676226","10.915500","0.000000","0.000000"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","0.682000","0.316000","0.325000","0.331000","37.392000","16.075000","10.930000","8.229000","5.803000","0.000000","0.000000","0.000000","196.237000","80.592000","82.306000","84.542000","145.123000","43.884000","44.699000","45.577000","496.00","71.00","71.00","71.00","0.000000","0.000000","0.000000","0.000000"
"005-000002328","235","005","Department of Agriculture","IBS - Incident Business System","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","15.336500","2.613300","2.446000","2.543900","0.879650","0.090600","0.094200","0.098000","2.00","1.00","1.00","1.00","0.000300","-0.476800","0.000000","-15.800000"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","13.560000","0.000000","0.000000","0.000000","27.820000","0.000000","0.000000","0.000000","13.560000","0.000000","0.000000","0.000000","106.089000","13.453619","13.215776","11.682353","25.214000","1.290647","2.083881","2.100988","172.00","14.00","14.00","14.00","-2.205734","-2.065343","-13.000000","-11.900000"
"005-000000047","237","005","Department of Agriculture","Integrated Program Accounting System (IPAS)","0.000000","0.000000","0.000000","0.000000","2.615000","0.000000","0.000000","0.000000","0.214000","0.000000","0.000000","0.000000","31.264000","4.427000","7.946327","7.946327","3.706000","0.254000","0.263836","0.263836","23.00","2.00","2.00","2.00","-3.501000","0.898163","-42.800000","12.300000"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","19.042000","1.198000","1.208000","1.140000","35.873000","2.360000","2.272000","2.272000","441.00","20.00","20.00","20.00","-0.090000","-0.201000","-2.500000","-5.500000"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","0.000000","0.000000","0.000000","0.000000","22.720000","0.000000","0.000000","0.000000","1.906000","0.000000","0.000000","0.000000","12.402000","0.945961","0.965580","1.097030","4.161000","0.180508","0.180508","0.180508","27.00","5.00","5.00","5.00","-0.775531","-0.841912","-40.800000","-42.300000"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","0.000000","0.000000","0.000000","0.000000","50.526702","0.000000","0.000000","0.000000","23.788400","0.000000","0.000000","0.000000","134.470598","23.490000","22.386000","21.850000","69.350400","7.761499","8.046000","8.150000","892.00","83.00","83.00","83.00","0.000000","-3.400000","0.000000","-10.000000"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","0.000000","0.000000","1.572000","1.572000","0.000000","0.000000","21.572000","21.572000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","6.894000","6.894000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","-35.000000","-3.324000","-100.000000","-10.000000"
"005-000000064","246","005","Department of Agriculture","RMA-01  Financial Management Systems (FMS)","0.000000","0.000000","0.000000","0.000000","5.196000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","9.054000","1.447000","1.573000","1.563000","8.390000","0.500000","0.500000","0.220000","103.00","4.00","2.00","2.00","0.815000","1.276000","72.000000","160.100000"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","0.000000","0.000000","0.000000","0.000000","18.130000","0.000000","0.000000","0.000000","4.915000","0.000000","0.000000","0.000000","41.382000","6.215000","2.307000","2.307000","8.937000","0.500000","0.500000","0.220000","103.00","4.00","2.00","2.00","2.204000","0.500000","48.900000","21.700000"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","0.000000","0.000000","0.000000","0.000000","22.615000","1.139000","0.000000","0.000000","2.220000","0.000000","0.000000","0.000000","63.822000","2.545000","3.076100","3.076100","10.110000","0.121000","0.121000","0.121000","120.00","11.00","11.00","11.00","0.121000","0.121000","3.300000","3.900000"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","0.000000","0.000000","0.000000","0.000000","24.034000","8.493000","7.883000","7.883000","0.800000","0.000000","0.000000","0.000000","7.959000","2.764000","10.014000","10.014000","0.873000","0.100000","0.100000","0.220000","19.00","1.00","1.00","1.00","-1.919000","10.213000","-14.500000","131.200000"
"005-000000028","250","005","Department of Agriculture","ROSS - Resource Ordering and Status System","0.000000","0.000000","0.000000","0.000000","17.859000","4.371000","3.038000","2.000000","0.000000","0.000000","0.000000","0.000000","21.032300","6.209820","7.356500","7.039970","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","-1.164410","0.000000","-10.100000"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","0.000000","0.000000","0.000000","0.000000","24.204000","0.000000","0.000000","0.000000","0.449000","0.000000","0.000000","0.000000","30.099490","3.671220","5.111889","5.222993","3.237842","0.327631","0.358120","0.368946","30.00","3.00","3.00","3.00","-1.853589","-0.302278","-31.700000","-5.200000"
"005-000002224","252","005","Department of Agriculture","USDA Identity &amp; Access Management","1.533000","0.000000","0.000000","0.000000","1.181000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","49.399000","16.493000","17.205000","16.517886","0.614000","0.000000","0.000000","0.000000","3.00","0.00","0.00","0.00","-0.712000","-0.120000","-4.100000","-0.700000"
"005-000000018","253","005","Department of Agriculture","Web-Based Supply Chain Management (WBSCM)","1.790000","0.000000","0.000000","0.000000","94.721330","5.120470","0.000000","0.000000","4.180150","0.195000","0.000000","0.000000","6.995200","23.138380","23.738000","24.483550","2.617576","2.821088","2.734535","2.800000","57.00","21.00","18.00","18.00","1.334550","7.140592","4.500000","36.900000"
"005-000001742","254","005","Department of Agriculture","FSA Architecture, SDLC and Common IT Solutions  #0109","0.000000","0.000000","0.000000","0.000000","89.728943","4.313943","6.424943","4.313943","6.385458","3.006016","2.141442","0.000000","174.140057","1.696057","1.696057","1.696057","22.514750","1.156160","0.951752","2.928000","265.00","36.00","26.00","24.00","-2.630932","0.505440","-20.500000","4.700000"
"005-000000054","271","005","Department of Agriculture","Geographic Information System  (GIS) #84","0.000000","0.000000","0.000000","0.000000","5.748000","0.000000","0.000000","0.000000","5.739621","0.716820","0.475876","0.488000","80.829000","18.806000","19.682000","18.076000","1.093245","0.208109","0.475876","0.488000","51.00","8.00","8.00","8.00","4.909000","5.784995","33.100000","39.000000"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","0.000000","0.000000","0.000000","0.000000","2.000000","1.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.378000","2.833000","2.321000","2.465000","0.000000","0.000000","0.000000","0.000000","8.00","4.00","4.00","4.00","-9.972200","-8.662240","-72.200000","-78.900000"
"005-000000073","393","005","Department of Agriculture","AgPRS - USDA Public Safety Land Mobile Radio System","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","54.315600","24.665056","23.416788","22.816390","48.626299","19.306672","20.428763","20.455402","0.00","0.00","0.00","0.00","4.080627","-7.835250","10.200000","-15.200000"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1024.145200","216.700465","189.854257","177.000767","101.411850","56.762535","66.613743","65.720233","1592.00","528.00","528.00","527.00","-0.000791","-148.286171","0.000000","-36.600000"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","1.000000","0.000000","0.000000","0.000000","51.967000","2.634223","10.255970","21.530059","0.440000","2.140200","2.126088","2.126088","0.000000","4.649356","21.757050","24.247558","0.000000","2.853600","11.755528","11.827136","4.00","42.00","118.00","116.00","-0.214621","-37.683152","-1.700000","-45.100000"
"005-000002340","841","005","Department of Agriculture","Enterprise Information Management (EIM) #119","0.000000","0.000000","0.000000","0.000000","21.664386","8.813000","3.543000","8.370000","0.000000","0.000000","0.000000","0.000000","0.400614","8.000000","4.561000","5.561000","0.000000","0.000000","0.000000","0.244000","0.00","0.00","0.00","2.00","7.059145","-1.649855","72.400000","-16.900000"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","0.000000","3.096815","0.841000","0.000000","0.000000","12.940248","7.822509","6.281489","0.000000","0.500000","0.885000","2.020000","0.000000","0.000000","0.546491","3.698511","0.000000","0.000000","0.000000","0.000000","0.00","3.00","6.00","15.00","16.537063","10.095000","0.000000","0.000000"
"006-000525200","629","006","Department of Commerce","BEA Estimation Information Technology System (BEA-EITS)","0.000000","0.000000","0.000000","0.000000","5.000000","2.900000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","46.489400","6.762000","6.877820","7.046700","37.834600","5.894300","5.894300","6.024000","237.00","47.00","47.00","47.00","2.900000","-3.070730","22.900000","-19.400000"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","0.000000","0.000000","0.000000","0.000000","19.050000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","51.911000","12.776000","12.559000","12.445000","159.629000","25.370000","26.607000","26.662000","1134.00","159.00","164.00","164.00","0.000000","-0.001000","0.000000","0.000000"
"006-000400900","678","006","Department of Commerce","Census - Geographic Support Systems (GSS)","0.000000","13.309000","1.000000","0.000000","0.000000","0.000000","11.510000","7.666000","0.000000","1.268000","1.302000","5.881000","74.657000","8.334000","8.476000","13.202000","119.144000","15.523000","15.787000","11.631000","486.00","88.00","88.00","118.00","0.000000","0.000000","0.000000","0.000000"
"006-000401000","680","006","Department of Commerce","Census - Local Employment Dynamics IT Support (LED)","3.592000","0.212000","0.361000","0.210000","9.637000","1.201000","1.545000","0.964000","2.363000","0.905000","0.985000","0.638000","7.919000","1.040000","1.064000","1.096000","6.949000","0.886000","1.032000","0.994000","59.00","9.00","9.00","7.00","0.000000","0.000000","0.000000","0.000000"
"006-000003213","694","006","Department of Commerce","NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC)","0.000000","0.000000","0.000000","0.000000","17.414000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","96.206000","17.036000","17.847000","22.266000","85.013000","14.134000","14.134000","18.295000","507.00","123.00","123.00","123.00","31.170000","31.981000","0.000000","0.000000"
"006-000321500","695","006","Department of Commerce","NOAA/NESDIS/ GOES-R Series Ground Segment","0.000000","0.000000","0.000000","0.000000","390.814000","213.319000","254.073000","243.302000","6.189000","2.428000","2.975000","3.124000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","41.00","16.00","16.00","16.00","-165.445000","-94.014000","-43.400000","-26.800000"
"006-000321100","696","006","Department of Commerce","NOAA/NESDIS/ NPP Data Exploitation (NDE)","9.920000","0.400000","0.400000","0.400000","8.355000","4.055000","4.055000","4.055000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","4.455000","4.455000","0.000000","0.000000"
