Agency Code,Agency Name,Public Cloud PY,Public Cloud CY,Public Cloud BY,Private Cloud PY,Private Cloud CY,Private Cloud BY,Community Cloud PY,Community Cloud CY,Community Cloud BY,Hybrid Cloud PY,Hybrid Cloud CY,Hybrid Cloud BY,SaaS PY,SaaS CY,SaaS BY,PaaS PY,PaaS CY,PaaS BY,IaaS PY,IaaS CY,IaaS BY,XML Request ID,Updated Date,Updated Time
"026","National Aeronautics and Space Administration","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","9.240000","11.030000","9.780000","3.722000","4.200000","4.500000","3.500000","4.497000","3.280000","2.013000","2.331000","2.000000","3611131","2013-02-22","16:09:22"
"011","Department of Justice","1.648823","3.471533","3.621533","13.104923","8.630393","9.710203","329.008187","264.396218","234.780646","0.000003","0.000003","1.250003","335.962008","270.054749","241.493177","1.046004","1.063004","1.143004","6.753924","5.380394","6.726204","3619955","2013-02-26","13:07:27"
"029","Department of Veterans Affairs","1.010000","3.304000","3.330000","7.602000","12.166000","14.480000","0.000000","0.000000","0.000000","5.010000","1.730000","1.730000","2.320000","5.034000","5.060000","3.700000","0.000000","0.000000","7.602000","12.166000","14.480000","3619981","2013-02-26","13:36:08"
"012-12","Department of Labor","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","3621219","2013-02-26","17:32:42"
"452","Smithsonian Institution","0.110000","0.110000","0.110000","0.000000","0.000000","0.000000","0.337000","0.437000","0.357000","0.000000","0.000000","0.000000","0.447000","0.547000","0.467000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","3622601","2013-02-26","22:37:15"
"024","Department of Homeland Security","6.398000","9.423000","10.886000","67.696000","59.979000","62.911000","0.015000","0.046000","0.019000","0.000000","0.024000","0.084000","13.075000","15.328000","14.226000","8.803000","10.831000","10.868000","52.231000","43.313000","48.806000","3625379","2013-02-27","14:35:47"
"184","U.S. Agency for International Development","0.000000","2.000000","0.000000","6.265000","7.965000","9.465000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.065000","2.065000","0.065000","0.000000","0.000000","2.000000","6.200000","7.900000","7.400000","3625653","2013-02-27","14:50:35"
"009","Department of Health and Human Services","1.322000","2.430000","2.630000","18.859000","48.051000","46.555000","5.190000","5.268000","5.374000","1.040000","0.305000","0.322000","6.213000","24.963000","17.256000","6.041000","6.571000","8.518000","14.157000","24.520000","29.107000","3625865","2013-02-27","15:08:35"
"016","Social Security Administration","0.000000","0.000000","0.000000","952.185159","1086.711948","974.701303","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","217.791747","210.257548","216.514650","188.644017","240.905899","190.163759","545.749395","635.548501","568.022894","3626037","2013-02-27","16:02:52"
"023","General Services Administration","5.289000","5.539000","6.199000","2.699503","6.767300","9.098000","5.096438","4.830628","3.419314","0.149000","0.899000","0.599000","11.087438","8.867000","10.341000","0.415000","1.348628","1.060314","1.731503","7.820300","7.914000","3627025","2013-02-27","16:39:50"
