Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Target 2012,Target 2013,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Result Met/Not Met,Latest Actual Result Comment,Latest Actual Result Date,Metric Updated Date,Metric Updated Time
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1073","","% time system available","hours of up-time","115-Customer Results - Service Accessibility","99.100000","","Over target","Quarterly","","2959","","100.000000","Met","","","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1074","","Number of processes improved as a result of ITIL strategies planned","quality","202-Process and Activities - Productivity","1.000000","","Over target","Semi-Annual","","4343","","","","Unplanned Agency migration to cloud email took precedence over ITIL process improvement.","","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1075","","% of workstations using MS Windows 7 Enterprise 32-bit w/Bit-locker operating system","percentage","212-Technology - Quality Assurance","100.000000","","Over target","Monthly","","2961","","73.000000","Not Met","(1318 of 2286 for November) (1467 of 2023 as of March)","","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1076","","Time, Effort &amp; Cost saved to centrally host and support AMS-wide IT solutions for Regulatory IT Investments","time","103-Mission and Business Results - Management of Government Resources","3.000000","","Under target","Quarterly","","4345","","0.000000","Met","","","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1077","","Percent of  servers reduced as a result of virtualization","Quantity","211-Technology - Technology Costs","100.000000","","Over target","Monthly","","22401","","80.000000","Not Met","","","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","6389","","Percentage of time that the system is available","Hours of up-time","115-Customer Results - Service Accessibility","0.000000","99.100000","Over target","Quarterly","","59455","","90.000000","Not Met","Numbers provided by AMS Cyber Security Branch","2013-07-10","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","6391","","Increase the number of processes improved as a result of ITIL strategies planned","Quality","202-Process and Activities - Productivity","0.000000","1.000000","Over target","Annual","P44-005-070","58021","","25.000000","Met","Funding for this project is now available. The team to oversee this project has been updated, and the project will start on June 17, 2013.","2013-06-13","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","6393","","Percentage of workstations using MS Windows 7 Enterprise 32-bit w/Bit-locker hard drive","Percentage","212-Technology - Quality Assurance","0.000000","100.000000","Over target","Monthly","","58023","","89.000000","Not Met","1958 Windows 7 machines on the network.","2013-05-10","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","6395","","Deploy the electronic Records Center to ensure efficient, prompt, and orderly reduction in the quantity of records and to provide for the proper maintenance of records designated as permanent by the National Archives and Records Administration.","Percentage","103-Mission and Business Results - Management of Government Resources","","1.000000","Over target","Quarterly","","46483","","65.000000","Met","","2013-08-16","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","6397","","2-Factor Authentication for Remote Access","Percentage","214-Technology - Information and Data","","100.000000","Over target","Quarterly","","46481","","100.000000","Met","Project Successfully Completed","2013-03-15","08/21/2013","10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","6399","","Implement BitLocker To Go on the servers which will give IT system administrators control over how removable storage devices can be used and the strength of protection required.","Percentage","205-Process and Activities - Security and Privacy","","100.000000","Over target","Semi-Annual","","46479","","100.000000","Met","Completed","2013-03-15","08/21/2013","10:27:24"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1083","","Number of Applicants using ePermits","Percent","112-Customer Results - Service Coverage","60.000000","65.000000","Over target","Monthly","P44-005-070","61987","","67.000000","Met","Incresed by 3%","2013-08-08","08/20/2013","18:36:26"
