Unique Investment Identifier,Business Case Id,Performance Metric Id,Agency Performance Metric Id,Performance Metric Actual Id,Agency Performance Metric Actual Id,Actual Result,Actual Result Met/Not Met,Actual Result Comment,Actual Result Date,Updated Date,Updated Time
"021-142305975","3","7749","4630","60732","16163","42.300000","Met","","2013-05-01","07/30/2013","14:00:03"
"021-142305975","3","7749","4630","60733","20605","30.100000","Met","Because of lag in NTSB accident records 2011 measurement uses FY05-FY09","2012-04-30","07/30/2013","14:00:03"
"021-142305975","3","7751","4631","60734","16164","1667.000000","Not Met","","2013-05-01","07/30/2013","14:00:03"
"021-142305975","3","7751","4631","60735","20606","1262.000000","Met","Time savings based on measured flight distance savings   estimated per flight clearance savings from operator data. Actual Results reported from 2nd 6 months of FY11.","2012-04-30","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60736","16165","3.000000","Met","","2013-05-01","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60737","19722","3.000000","Met","","2013-06-03","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60738","20607","3.000000","Met","","2013-02-28","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60739","20608","3.000000","Met","","2013-01-31","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60740","20609","3.000000","Met","","2012-12-31","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60741","20610","3.000000","Met","","2012-11-30","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60742","20611","3.000000","Met","","2012-10-31","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60743","20612","3.000000","Met","","2012-09-30","07/30/2013","14:00:03"
"021-142305975","3","7753","4632","60744","20613","3.000000","Met","","2012-08-31","07/30/2013","14:00:03"
"021-142305975","3","7755","4633","60745","16166","0.999000","Met","","2013-05-01","07/30/2013","14:00:03"
"021-142305975","3","7755","4633","60746","19723","0.999000","Met","","2013-06-03","07/30/2013","14:00:03"
"021-142305975","3","7755","4633","60747","20614","0.999000","Met","","2013-02-28","07/30/2013","14:00:03"
"021-142305975","3","7755","4633","60748","20615","0.999000","Met","","2013-01-31","07/30/2013","14:00:03"
