Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Requirement Type,URL ID,Agency URL ID,URL,Valid Public URL,Updated Date,Updated Time
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","Published Agency Strategic Plan","1873","","http://www.faa.gov/about/plans_reports/media/Destination2025.pdf","Yes","09/14/2012","10:29:20"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","Legislative Mandate","2301","1","http://www.nrc.gov/reading-rm/doc-collections/cfr/part050/part050-0072.html","Yes","11/27/2012","15:22:32"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","Published Agency Strategic Plan","2303","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","11/27/2012","15:22:32"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","Published Agency Strategic Plan","435","3","http://www.va.gov/VA_2011-2015_Strategic_Plan_Refresh_wv.pdf","Yes","09/12/2012","12:38:14"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","Other Requirement","437","5","http://www.whitehouse.gov/the-press-office/2011/04/27/executive-order-streamlining-service-delivery-and-improving-customer-ser","Yes","09/12/2012","12:38:14"
"029-555555110","8","029","Department of Veterans Affairs","Medical 21st Century TeleHealth","Legislative Mandate","477","1","http://www.va.gov/vdl/documents/Financial_Admin/Enrollment_App_Sys_(EAS)/eas_1_p40_ig.pdf","Yes","09/12/2012","12:39:53"
"029-555555110","8","029","Department of Veterans Affairs","Medical 21st Century TeleHealth","Published Agency Strategic Plan","479","3","http://www.va.gov/VA_2011-2015_Strategic_Plan_Refresh_wv.pdf","Yes","09/12/2012","12:39:53"
"429-000001020","9","429","Nuclear Regulatory Commission","Budget Formulation System (BFS)","Published Agency Strategic Plan","2321","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","11/21/2012","10:36:54"
"184-000000005","12","184","U.S. Agency for International Development","Phoenix - Financial Management System","Legislative Mandate","1569","","http://www.whitehouse.gov/omb/financial_ffs_ffmia","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Phoenix - Financial Management System","Audit Finding Resolution","1571","","http://transition.usaid.gov/performance/afr/afr11.pdf111811","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Phoenix - Financial Management System","Published Agency Strategic Plan","1573","","State/AID joint goals document","No","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Phoenix - Financial Management System","Presidential Priority","1577","","http://www.usaid.gov/open","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Phoenix - Financial Management System","Presidential Priority","1581","","https://explore.data.gov/Foreign-Commerce-and-Aid/USAID-Dollars-Obligated-and-Dollars-Spent/cy2i-w7ni","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Phoenix - Financial Management System","Presidential Priority","1575","","http://www.whitehouse.gov/the_press_office/TransparencyandOpenGovernment","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Phoenix - Financial Management System","Presidential Priority","1579","","www.foreignassistance.gov","Yes","09/13/2012","17:41:46"
"007-000000049","13","007","Department of Defense","Armed Forces Health Longitudinal Technology Application","Published Agency Strategic Plan","1","63","http://comptroller.defense.gov/defbudget/fy2013/fy2013_budget_request_overview_book.pdf","Yes","09/11/2012","10:45:45"
"007-000000049","13","007","Department of Defense","Armed Forces Health Longitudinal Technology Application","Other Requirement","3","71","http://www.healthfinder.gov/orgs/hr1458.htm","Yes","09/11/2012","10:45:45"
"007-000000192","18","007","Department of Defense","Product Tailoring Warfighter Applications","Published Agency Strategic Plan","2455","511","https://cs4.eis.afmc.af.mil/sites/1645/jet/default.aspx","No","03/28/2013","10:37:06"
"007-000000192","18","007","Department of Defense","Product Tailoring Warfighter Applications","Other Requirement","2457","512","https://cs4.eis.afmc.af.mil/sites/1645/jet/default.aspx","No","03/28/2013","10:37:06"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","Legislative Mandate","15","65","","No","09/11/2012","11:38:23"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","Published Agency Strategic Plan","17","66","http://comptroller.defense.gov/defbudget/fy2013/fy2013_budget_request_overview_book.pdf","Yes","09/11/2012","11:38:23"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","Other Requirement","19","77","http://uscode.house.gov/download/title_10.shtml","Yes","09/11/2012","11:38:23"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","Legislative Mandate","21","212","http://www.gpo.gov/fdsys/pkg/plaw-108publ458/html/plaw-108publ458.htm","No","09/11/2012","11:38:28"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","Legislative Mandate","23","419","","No","09/11/2012","11:38:28"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","Published Agency Strategic Plan","25","182","http://dcmo.defense.gov/publications/documents/fy12-13%20smp.pdf","Yes","09/11/2012","11:38:28"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","Presidential Priority","2525","536","http://www.dhs.gov/homeland-security-presidential-directive-12","Yes","03/28/2013","13:51:15"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","Audit Finding Resolution","27","412","http://www.dodig.mil/audit/audit2/90-097.pdf","Yes","09/11/2012","11:38:32"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","Published Agency Strategic Plan","29","413","http://www.disa.mil/about/~/media/files/disa/about/strategic-plan.pdf","Yes","03/28/2013","15:24:51"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","Published Agency Strategic Plan","35","67","http://comptroller.defense.gov/defbudget/fy2013/fy2013_budget_request_overview_book.pdf","Yes","09/11/2012","11:56:52"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","Other Requirement","37","72","http://www.healthfinder.gov/orgs/hr1458.htm","Yes","09/11/2012","11:56:52"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","Published Agency Strategic Plan","49","24","http://www.transcom.mil/index_textonly.cfm","Yes","09/11/2012","11:57:11"
"026-000001501","37","026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)","Legislative Mandate","1881","65813","http://www.gpo.gov/f...ubl267.htm","Yes","09/14/2012","10:30:02"
"026-000001501","37","026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)","Published Agency Strategic Plan","1883","65814","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","10:30:02"
"026-000005010","38","026","National Aeronautics and Space Administration","JSC DA Flight Operations User Applications (UA)","Legislative Mandate","1663","65800","http://www.nasa.gov/...11-267.pdf","No","09/14/2012","09:34:13"
"026-000005010","38","026","National Aeronautics and Space Administration","JSC DA Flight Operations User Applications (UA)","Published Agency Strategic Plan","1665","65801","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","09:34:13"
"026-000005020","39","026","National Aeronautics and Space Administration","JSC DA Mission Control Center Systems (MCCS)","Legislative Mandate","1687","65803","http://www.nasa.gov/...11-267.pdf","No","09/14/2012","09:49:17"
