Agency Code,Agency Name,Mega 53 Agency Name,Agency Abbreviation,CGAC Agency Code,Mega 53 Sort Order,IT Dashboard,CFO Act,CIO Council,First Active BY,Last Active BY
"000","International Assistance Programs (not including USAID)","","","","0","","","","","2013"
"001","Legislative Branch","","","000","0","","","","","2015"
"002","Judicial Branch","","","010","0","","","","","2015"
"005","Department of Agriculture","Department of Agriculture","USDA","012","10","1","1","1","","2015"
"006","Department of Commerce","Department of Commerce","Commerce","013","40","1","1","1","","2015"
"007","Department of Defense","Department of Defense","DOD","n/a","50","1","1","1","","2015"
"009","Department of Health and Human Services","Department of Health and Human Services","HHS","075","80","1","1","1","","2015"
"010","Department of the Interior","Department of the Interior","Interior","014","100","1","1","1","","2015"
"011","Department of Justice","Department of Justice","Justice","015","110","1","1","1","","2015"
"012","Department of Labor","Department of Labor","Labor","016","120","1","1","1","","2015"
"014","Department of State","Department of State","State","019","140","1","1","1","","2015"
"015","Department of the Treasury","Department of the Treasury","Treasury","020","160","1","1","1","","2015"
"016","Social Security Administration","Social Security Administration","SSA","028","310","1","1","1","","2015"
"018","Department of Education","Department of Education","ED","091","60","1","1","1","","2015"
"019","Department of Energy","Department of Energy","Energy","089","70","1","1","1","","2015"
"020","Environmental Protection Agency","Environmental Protection Agency","EPA","068","200","1","1","1","","2015"
"021","Department of Transportation","Department of Transportation","DOT","069","150","1","1","1","","2015"
"023","General Services Administration","General Services Administration","GSA","047","230","1","1","1","","2015"
"024","Department of Homeland Security","Department of Homeland Security","DHS","070","90","1","1","1","","2015"
"025","Department of Housing and Urban Development","Department of Housing and Urban Development","HUD","086","95","1","1","1","","2015"
"026","National Aeronautics and Space Administration","National Aeronautics and Space Administration","NASA","080","240","1","1","1","","2015"
"027","Office of Personnel Management","Office of Personnel Management","OPM","024","280","1","1","1","","2015"
"028","Small Business Administration","Small Business Administration","SBA","073","290","1","1","1","","2015"
"029","Department of Veterans Affairs","Department of Veterans Affairs","VA","036","170","1","1","1","","2015"
"100","Executive Office of the President","Office of Management and Budget","OMB","011","270","","","","","2015"
"154","Federal Drug Control Programs","","","n/a","0","","","","","2015"
"184","U.S. Agency for International Development","U.S. Agency for International Development","USAID","n/a","145","1","1","1","","2015"
"200","Other Defense Civil Programs","","","n/a","0","","","","","2015"
"202","U.S. Army Corps of Engineers","U.S. Army Corps of Engineers","USACE","096","190","1","1","1","","2015"
"302","Administrative Conference of the United States","","","302","","","","","","2015"
"306","Advisory Council on Historic Preservation","","","306","0","","","","","2015"
"309","Appalachian Regional Commission","","","309","0","","","","","2015"
"310","Access Board","","","310","0","","","","","2015"
"313","Barry Goldwater Scholarship and Excellence in Education Foundation","","","313","0","","","","","2015"
"316","Central Intelligence Agency","","CIA","056","0","","","1","","2015"
"323","Commission of Fine Arts","","","323","0","","","","","2015"
"326","Commission on Civil Rights","","","326","0","","","","","2015"
"338","Committee for Purchase from People who are Blind or Severely Disabled, activities","","","338","0","","","","","2015"
"339","Commodity Futures Trading Commission","Commodity Futures Trading Commission","CFTC","339","0","","","","","2015"
"343","Consumer Product Safety Commission","Consumer Product Safety Commission","CPSC","061","0","","","","","2015"
"344","Corporation for Public Broadcasting","","","n/a","0","","","","","2015"
"345","United States Court of Appeals for Veterans Claims","","","345","0","","","","","2015"
"347","Defense Nuclear Facilities Safety Board","","","347","0","","","","","2015"
"349","District of Columbia","","","349","0","","","","","2015"
"350","Equal Employment Opportunity Commission","Equal Employment Opportunity Commission","EEOC","045","0","","","","","2015"
"351","Export-Import Bank of the United States","Export-Import Bank of the US","Export","083","0","","","","","2015"
"352","Farm Credit Administration","","","352","0","","","","","2015"
"354","Farm Credit System Financial Assistance Corporation","","","","0","","","","","2013"
"355","Farm Credit System Insurance Corporation","","","n/a","0","","","","","2015"
