Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Solicitation ID (Agency),Modular Approaches / Contracting,EVM Required,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","21614","","Awarded","1205","AG3142C060034","AG3142C060034","1205","","no","no","Yes","SERVICESOURCE INCORPORATED","","0.303879","Firm Fixed Price","","03/08/2006","01/01/1970","U","CENTRAL SHIPPING AND RECEIVING FUNCTIONS FOR OCT 05 - SEPT 06 PRIOR PO# 43-3142-5-00030 AND AG-3142-C-06-0026.","99957","1205","","2014-03-18 16:48:15","2014-03-18 16:48:15"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","37907","","Awarded","1205","AG3142D130052","AG3142D130052","1205","","no","no","Yes","CONCUR TECHNOLOGIES, INC.","","1.925334","Firm Fixed Price","","02/05/2014","06/03/2027","U","IGF::CL::IGF","99965","1205","0","2014-03-18 16:48:15","2014-03-18 16:48:15"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","37909","","Awarded","1205","AG3142K140032","AG3142K140032","1205","","no","no","Yes","DELOITTE CONSULTING LLP","","3.880255","Time and Materials","","03/11/2014","12/31/2014","U","IGF::CL,CT::IGFSUSTAINMENT SOW&IGCE","99959","1205","0","2014-03-18 16:48:15","2014-03-18 16:48:15"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","37911","","Awarded","1205","AG3142K140028","AG3142K140028","1205","","no","no","Yes","ENGLE TRAINING AND DESIGN GROUP, INC.","","0.037600","Firm Fixed Price","","12/13/2013","02/01/2014","U","IGF::OT::IGF (CSB/SD) - BPA: AG-3142--B-11-0012, CO# 100 - CASE GIPSA SUPPORT; POP - 12/13/13 THRU 2/1/14.","99961","1205","0","2014-03-14 15:39:55","2014-03-18 16:48:15"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","41057","","Awarded","1205","AG3142D100462","GS02F0048M","4730","AG3142S100115","","no","Yes","REED ELSEVIER INCORPORATED","AG-3142-S-10-0115","0.012805","Firm Fixed Price","","07/31/2013","07/31/2014","U","TURNKEY ENTERPRISE-LEVEL ONLINE IDENTITY PROOFING SERVICE.","130475","1205","0","2014-07-25 10:51:21","2014-07-25 10:51:21"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","41059","","Awarded","1205","AG3143D110015","AG3142C060048","1205","AG3143D130012","","no","Yes","COMMUNICATIONS RESOURCE INC","AG-3143-S-11-0011","3.108807","Firm Fixed Price","","09/30/2011","10/25/2011","U","HSPD-12, EPACS PROGRAM SUPPORT","130477","1205","0","2014-07-25 10:51:21","2014-07-25 10:51:21"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","41061","","Awarded","1205","AG3142D110124","GS06F0661Z","4730","AG3142S110030","","no","Yes","ALLIANT ALLIANCE, LLC","","5.534625","Labor Hours","","12/18/2013","09/30/2014","U","IDENTITY MGT SUPPORT SERVICES","130479","1205","0","2014-07-25 10:51:21","2014-07-25 10:51:21"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","36333","","Awarded","1205","AG-3142-C-13-0002","AG-3142-C-13-0002","1205","","no","no","Yes","WASHINGTON SQUARE ASSOCIATES, INCORPORATED","","2.613569","Firm Fixed Price","","07/15/2014","09/30/2017","U","IGF::CL::IGFUSDA SECURITY ASSESSMENT SERVICES - SECTION 4: PLANNED AGENCY ASSESSMENT IN ACCORDANCE WITH THE ATTACHED SOWS","130507","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","36335","","Awarded","1205","AG-3142-D-13-0115","AG-3142-D-13-0115","1205","AG-3142-D-13-0115","no","no","Yes","NAMTEK CORP.","","0.149726","Firm Fixed Price","","09/21/2013","09/28/2014","U","IGF::CL::IGF","100049","1205","0","2013-11-25 09:56:39","2014-03-18 16:51:00"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","36337","","Awarded","1205","AG-3142-D-13-0098","AG-3142-D-13-0098","1205","","no","no","Yes","CONVERGE NETWORKS CORPORATION","","0.059505","Firm Fixed Price","","08/21/2013","08/22/2014","U","UPS POWER SUPPLY UNDER GSA SCHEDULE  GS-35-0026J 9390 UPS ONL 3PH 120 100KVA 208V, PART # TC1011001131010","130505","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","37323","","Awarded","1205","AG-3142-K-12-0149","AG-3142-K-12-0149","1205","","no","no","Yes","COMPUTER CONSULTING OPERATIONS SPECIALIST INCORPORATED","","0.549764","Time and Materials","","03/19/2014","09/30/2014","U","IGF::OT::IGF  IT SUPPORT SVCS","117837","1205","0","2014-05-29 10:36:41","2014-05-29 10:36:41"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","37325","","Awarded","1205","AG-3142-P-13-0023","AG-3142-P-13-0023","1205","","no","no","Yes","GTANGIBLE","","0.465490","Firm Fixed Price","","05/01/2014","02/17/2015","U","IGF::OT::IGF - ADD TECHNICAL WRITER, AND INCLUDE TRAVEL TO THE FOREST SERVICE BUILDING, TO INCLUDE PERDIEM, MILEAGE AND LODGING.","117833","1205","0","2014-05-29 10:36:41","2014-05-29 10:36:41"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","37329","","Awarded","1205","AG-3142-12-0006","AG-3142-12-0006","1205","","no","no","No","","","","","","","","","","","","","2014-05-29 10:36:41",""
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","37331","","Awarded","1205","AG-3143-D-13-0129","AG-3143-D-13-0129","1205","","no","no","Yes","CDW GOVERNMENT LLC","","0.055213","Firm Fixed Price","","08/20/2013","09/30/2014","U","IGF::OT::IGFEMC RENEWAL HARDWARE, ITEM  #3039062 - MFG #2713120-515840 IN ACCORDANCE WITH QUOTE # DNRS228 DATED 7/8/13","130511","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","39269","","Awarded","1205","AG-3187-K-14-0065","AG-3187-K-14-0065","1205","","no","no","Yes","NORTHSTAR TECHNOLOGY CORPORATION","","1.432222","Firm Fixed Price","","07/24/2014","10/31/2014","U","IGF::OT::IGF","130509","12C2","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","39911","","Awarded","1205","AG-3144-D-14-0091","AG-3144-D-14-0091","1205","","no","no","Yes","FOUR","AG-3144-S-14-0013","3.200000","Firm Fixed Price","","05/01/2014","04/30/2017","U","ASOC - IBM ENDPOINT MGR AND SECURITY APPSCAN SOFTWARE AND MAINTENANCE","117841","1205","0","2014-05-29 10:36:42","2014-05-29 10:36:42"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","41071","","Awarded","1205","AG-3142-D-14-0101","","","AG-3142-S-14-0011","no","no","Yes","EC AMERICA, INC.","","0.307159","Firm Fixed Price","","06/11/2014","09/30/2016","U","IGF::CL::IGFTRUSTWAVE RENEWAL WITH REINSTATEMENT FEES; POP 06/12/14 - 09/30/2016.  REFERENCE:  AG3142S140011","130513","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","41073","","Awarded","1205","AG-3142-D-14-0103","","","AG-3142-S-14-0011","no","no","Yes","GOVERNMENT ACQUISITIONS, INC.","","0.464980","Firm Fixed Price","","06/04/2014","06/03/2017","U","IGF::CL::IGF1 YEAR FIREEYE RENEWAL WITH REINSTATEMENT FEES; POP 6/2014 -6/2017. REFERENCE QUOTE 2053349.2","130515","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","41077","","Awarded","1205","AG-3142-D-14-0097","","","AG-3142-S-14-0011","no","no","Yes","CARAHSOFT TECHNOLOGY CORPORATION","","0.030078","Firm Fixed Price","","05/23/2014","05/22/2017","U","IGF::CL::IGFAWARD VMWARE LICENSES REF. REQ. 681678)POP: 05/23/2014 - 05/22/2017","130517","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
