Unique Investment Identifier,Business Case Id,Agency Code,Agency Name,Investment Title,Planning Budgetary Resources PY1 and Prior,Planning Budgetary Resources PY,Planning Budgetary Resources CY,Planning Budgetary Resources BY,DME Budgetary Resources PY1 and Prior,DME Budgetary Resources PY,DME Budgetary Resources CY,DME Budgetary Resources BY,DME Government FTE Costs PY1 and Prior,DME Government FTE Costs PY,DME Government FTE Costs CY,DME Government FTE Costs BY,Omd Budgetary Resources PY1 and Prior,Omd Budgetary Resources PY,Omd Budgetary Resources CY,Omd Budgetary Resources BY,Omd Government FTE Costs PY1 and Prior,Omd Government FTE Costs PY,Omd Government FTE Costs CY,Omd Government FTE Costs BY,Government FTE Number PY1 and Prior,Government FTE Number PY,Government FTE Number CY,Government FTE Number BY,Prior Year Cost Change PY,Prior Year Cost Change CY,Prior Year Cost Percentage Change PY,Prior Year Cost Percentage Change CY
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","2.900000","0.000000","0.000000","0.000000","30.380000","0.000000","0.000000","0.000000","4.690000","0.000000","0.000000","0.000000","248.327000","24.133000","19.595447","19.381447","151.254000","11.906000","13.605000","13.605000","1240.00","162.00","144.00","144.00","36.039000","33.200447","0.000000","0.000000"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","0.000000","0.000000","0.000000","0.000000","25.686000","4.625000","4.272000","3.129000","23.578342","1.464000","1.464000","1.583148","46.384000","3.446000","4.024480","4.024480","21.008401","3.538000","3.538000","3.825941","211.00","41.00","41.00","41.00","-0.117488","0.909799","-0.900000","7.300000"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","32.782255","0.000000","0.000000","0.000000","185.924356","86.673653","15.066541","53.046167","14.980368","0.000000","0.000000","0.000000","0.000000","0.000000","47.256621","62.423845","0.000000","0.000000","0.000000","0.000000","112.00","39.00","39.00","39.00","8.797290","-88.235611","11.300000","-58.600000"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","0.000000","0.000000","0.000000","0.000000","122.780000","7.488000","0.000000","0.000000","16.041000","1.240000","0.000000","0.000000","73.860000","41.311000","39.317000","39.333000","12.904000","14.707000","14.835000","16.618000","256.00","107.00","133.00","138.00","12.604000","-0.472000","24.200000","-0.900000"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","17.548838","17.407225","17.418459","17.925611","6.289362","6.041314","6.222552","6.409230","448.00","52.00","52.00","52.00","-1.286990","-0.882011","-5.200000","-3.600000"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","0.450000","0.000000","0.000000","0.000000","5.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","208.796732","44.867900","36.045660","37.089483","33.400848","3.796000","3.797000","3.950000","242.00","52.00","51.00","49.00","48.663900","39.842660","0.000000","0.000000"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","0.000000","0.000000","0.000000","0.000000","38.265000","7.418732","4.000000","4.120000","1.210000","0.000000","0.000000","0.000000","52.944452","0.063000","0.656110","0.675792","15.083000","0.859797","0.930574","0.949185","124.00","15.00","15.00","15.00","8.341529","5.586684","0.000000","0.000000"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","13.560000","0.000000","0.000000","0.000000","233.820000","0.000000","0.000000","0.000000","13.560000","0.000000","0.000000","0.000000","132.996238","12.192946","12.050720","12.108619","27.795294","1.519631","1.661856","2.005382","200.00","11.00","9.00","11.00","-3.237423","-3.652424","-19.100000","-21.000000"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","0.000000","0.000000","0.000000","0.000000","22.720000","0.000000","0.000000","0.000000","1.906000","0.000000","0.000000","0.000000","14.313541","0.827000","0.277894","0.265420","4.522016","0.180508","0.180508","0.180508","36.00","4.00","4.00","4.00","1.007508","0.458402","0.000000","0.000000"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","1.048000","0.873000","0.873000","0.873000","25.307000","25.804000","28.165000","29.814000","0.000000","0.660000","0.000000","0.000000","3.645000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","14.837000","16.538000","118.700000","132.300000"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","0.000000","0.000000","0.000000","0.000000","41.020000","7.816954","7.682132","7.480318","0.800000","0.000000","0.000000","0.000000","13.487000","14.283296","13.936340","4.028323","1.073000","1.100000","1.100000","1.339130","31.00","11.00","12.00","11.00","0.000000","0.000000","0.000000","0.000000"
