Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Target 2013,Target 2014,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Status,Latest Actual Result Comment,Latest Actual Result Date,Metric Updated Date,Metric Updated Time
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1094","","Maintain network and server availability for use.","Percentage","115-Customer Results - Service Accessibility","99.700000","99.700000","Over target","Quarterly","","98229","","99.970000","Met","Target met","2014-07-02","08/01/2014","12:29:22"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1095","","ATAC average response time to resolve customer issues.","Time","103-Mission and Business Results - Management of Government Resources","21.700000","21.700000","Under target","Monthly","","98233","","21.600000","Met","Target met","2014-07-01","08/01/2014","12:29:22"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1096","","Application of patches on all systems.","Percentage","205-Process and Activities - Security and Privacy","98.000000","98.000000","Over target","Monthly","","98235","","98.000000","Met","Target met","2014-07-01","08/01/2014","12:29:22"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1097","","Reduction in number of field office data storage devices.","Number","214-Technology - Information and Data","50.000000","50.000000","Under target","Quarterly","","98231","","50.000000","Met","target met","2014-07-03","08/01/2014","12:29:22"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1098","","Percentage of systems compliant with FDCC requirements.","Percentage","213-Technology - Efficiency","95.000000","95.000000","Over target","Quarterly","","98237","","95.000000","Met","Target met","2014-07-02","08/01/2014","12:29:22"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","6949","","Percentage of laptops applied with MEE encryption","percentage","214-Technology - Information and Data","95.000000","95.000000","Over target","Quarterly","P44-005-070","98239","","95.000000","Met","Target met","2014-07-01","08/01/2014","12:29:22"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1620","","Average number of days required to complete Direct Loan processing (from application completed to final disposition).","Number of Days","113-Customer Results - Timeliness and Responsiveness","31.000000","30.000000","Under target","Quarterly","","98417","","25.000000","Met","This metric is below the FY 2014 Goal of 30.0 Days.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1621","","Number of States with average Direct Loan processing time greater than 35 days.","Number of States","113-Customer Results - Timeliness and Responsiveness","12.000000","12.000000","Under target","Quarterly","","98419","","11.000000","Met","This metric is below the FY 2014 Goal of 12 States.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1622","","Total Direct Loan Delinquency Rates.","Percent","102-Mission and Business Results - Support Delivery of Services","8.500000","8.000000","Under target","Quarterly","","98421","","5.700000","Met","This metric is below the FY 2014 Goal of 8.0%.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1623","","Total Direct Loan Loss Rates.","Percent","102-Mission and Business Results - Support Delivery of Services","3.500000","3.500000","Under target","Quarterly","","98423","","0.800000","Met","This metric is below the FY 2014 Goal of 3.5%.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1624","","Percent of time that system is available to internal users during normal business hours.","Percent","202-Process and Activities - Productivity","95.000000","95.000000","Over target","Quarterly","","98425","","97.000000","Met","This metric exceeds the FY 2014 Goal of 95% availability.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1625","","Number of separate systems to query to provide input data to annual audit process.","Number of Systems","213-Technology - Efficiency","1.000000","1.000000","Under target","Quarterly","","98427","","1.000000","Met","This metric meets the FY 2014 Goal of 1 system.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1626","","Maximum number of manual data entry and/or manual file transfer points among systems during a delinquent loan cycle.","Number","213-Technology - Efficiency","2.000000","2.000000","Under target","Monthly","","98429","","2.000000","Met","This metric meets the FY 2014 Goal of 2 Data Entry Points.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1627","","First Year Delinquent Rates for New Loans","Delinquency Percentage","102-Mission and Business Results - Support Delivery of Services","10.000000","10.000000","Under target","Quarterly","","98431","","6.500000","Met","This metric is below the FY 2014 Goal of 10.0%.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1628","","Average number of days from application receipt to disposition of Emergency Loans","Number of Days","102-Mission and Business Results - Support Delivery of Services","32.500000","30.000000","Under target","Quarterly","","98433","","28.000000","Met","This metric is below the FY 2014 Goal of 30 Days.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1629","","Increase Lending Beginning Farmers and Ranchers","Percent","102-Mission and Business Results - Support Delivery of Services","41.500000","42.000000","Over target","Quarterly","","98435","","52.000000","Met","This metric exceeds the FY 2014 Goal of 42.4%.","2014-06-30","08/01/2014","12:35:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","6379","","Increase Lending to Minorities and Socially Disadvantaged Farmers and Ranchers","Percent","102-Mission and Business Results - Support Delivery of Services","17.500000","18.100000","Over target","Quarterly","","98437","","23.000000","Met","This metric exceeds the FY 2014 Goal of 18.4%.","2014-06-30","08/01/2014","12:35:30"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3112","","Accounting: Maintain unqualified financial statement audit opinion","Unqualified Opinion","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","Over target","Annual","P41-006-084","46791","","100.000000","","","2013-02-28","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3113","","Cycle Time: Number of days required to process year-end close of USDA books","Number","201-Process and Activities - Financial","47.000000","47.000000","Under target","Annual","P41-006-084","46793","","36.000000","","","2013-02-28","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3114","","CustomerSatisfaction: Overall FMMI Satisfaction","Number","111-Customer Results - Customer Benefit","95.000000","95.000000","Over target","Semi-Annual","","14813","","56.000000","","","","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3115","","Alerts for System Anomalies for application and Supporting Systems server capacity, server performance, and storage capacity for defined thresholds.","Number","214-Technology - Information and Data","1.000000","1.000000","Over target","Quarterly","P41-006-084","92343","","100.000000","Met","Quarterly Metrics 2nd: The results were received on April 24, 2014","2014-03-31","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3116","","Help Desk Avalability","Percentage","212-Technology - Quality Assurance","99.500000","99.500000","Over target","Quarterly","","46797","","100.000000","","","2012-12-13","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3117","","Measure system uptime availability.  Any outage windows are figured into this metric.  We are shooting for a 95% uptime availability for our FMMI users.","Percentage","215-Technology - Reliability and Availability","95.000000","95.000000","Over target","Monthly","P41-006-084","98493","","99.600000","Met","June Results received 7/7/2014","2014-07-07","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6487","","Accounting: Maintain unqualified financial statement audit opinion","Unqualified Opinion","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","Over target","Annual","P41-006-084","","","","","","","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6489","","Cycle Time: Number of days required to process year-end close of USDA books","Number","201-Process and Activities - Financial","47.000000","47.000000","Under target","Annual","P41-006-084","84081","","45.000000","Met","Due to the government shutdown, the processing time wa later than planned, but subtracting the days of the government shutdown allows us to claim 45 days, meeting the requirement.","2013-12-15","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6491","","Helpdesk availability to address user issues.  The ability for FMMI users to attain support from the helpdesk.","Percentage","111-Customer Results - Customer Benefit","95.000000","95.000000","Over target","Monthly","P41-006-084","98491","","100.000000","Met","June estimated results received 7/7/14","2014-07-07","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6493","","System Avalability","Percentage","215-Technology - Reliability and Availability","95.000000","95.000000","Over target","Quarterly","P41-006-084","92341","","99.600000","Met","Quarterly Metrics -2nd: The results were received on April 24, 2014.","2014-03-31","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6879","","Application availability:  Time to recover from problem during peak periods.  Resolution within 8 hours.","Hours","216-Technology - Effectiveness","8.000000","8.000000","Under target","Quarterly","P41-006-084","92337","","99.600000","Met","Quarterly Metric -2nd: The results were received on April 24, 2014. Severity 1 resolved in 4 hours, Severity 2 resolved in 8 hours. ","2014-03-31","07/25/2014","14:41:27"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","7107","","Annual survey sent out to the FMMI user base to garner their opinions on the performance and usability of the system.  The target is 75% satisfaction.","Percentage","111-Customer Results - Customer Benefit","75.000000","75.000000","Over target","Annual","P41-006-084","46789","","64.000000","","","2012-05-24","07/25/2014","14:41:27"
