Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost ($M),Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Updated Date,Updated Time
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038000","665","","Enterprise Management","Management of APHIS Enterprise IT Systems.","2010-10-01","2011-09-30","46.960000","10","2.75","Green","0.000000","0.00","Green","2011-09-22","13:34:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038001","666","","VoIP Riverdale","Installation of voice over IP phones in Riverdale, MD headquarters facility.","2011-08-15","2012-04-30","0.662000","0","0.00","Green","0.000000","0.00","Green","2012-05-31","17:20:13"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038002","667","","Enterprise Security","Maintain Enterprise Security integrity.","2011-09-06","2012-12-31","3.155000","0","0.00","Green","0.000000","0.00","Green","2013-01-31","17:22:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038003","668","","Telecom","Maintain Enterprise telecom service integrity.","2011-09-06","2012-12-21","14.239000","0","0.00","Green","2.024400","83.14","Red","2014-03-18","11:34:15"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038004","669","","Enterprise Software license optimization","Maintain and update all Enterprise software licenses.","2011-10-03","2012-09-07","10.058000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:20:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038005","670","","Hardware Maintenance","Maintain Enterprise hardware service support and operational integrity.","2011-11-01","2012-05-31","4.268000","0","0.00","Green","0.000000","0.00","Green","2012-09-19","10:39:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038006","671","","Enterprise Life Cycle Management","Engage life cycle management of Enterprise systems. Target is optimal performance of Enterprise.","2012-03-01","2012-08-24","4.010000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:20:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338000","5873","","Enterprise Management-1","Management of APHIS Enterprise IT Systems.","2012-10-01","2013-09-30","23.717000","0","0.00","Green","0.000000","0.00","Green","2013-04-29","21:24:39"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338001","5875","","Enterprise Security-1","Maintain the security of the Enterprise Infrastructure.","2012-10-01","2013-09-30","0.119000","0","0.00","Green","0.000000","0.00","Green","2014-03-18","11:34:15"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338003","5877","","Enterprise Software License management","Maintain and update all Enterprise Software licenses.","2012-11-05","2013-08-09","3.014000","0","0.00","Green","0.000000","0.00","Green","2014-03-18","11:34:15"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338004","5879","","Hardware Maintenance-1","Maintain Enterprise hardware service support and operational integrity.","2013-02-04","2013-06-28","0.311000","0","0.00","Green","0.000000","0.00","Green","2014-03-18","11:34:15"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438000","5881","","Enterprise Management-2","Management of APHIS Enterprise IT systems.","2013-01-01","2014-09-30","30.975000","0","0.00","Green","0.000000","0.00","Green","2014-04-29","14:22:42"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438001","5883","","Enterprise Security-2","Maintain Enterprise Level Security.","2013-01-01","2014-09-30","0.033000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","10:17:28"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438002","5885","","Enterprise Software license optimization-1","Maintain and update all Enterprise software licenses.","2013-11-04","2014-08-08","12.959000","-23","-8.30","Green","0.000000","0.00","Green","2014-05-29","10:39:37"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438003","5887","","Hardware Maintenance-2","Maintain Enterprise hardware service, support, and integrity.","2013-12-16","2014-07-18","4.696000","-44","-20.56","Yellow","0.000000","0.00","Green","2014-06-26","09:03:10"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-11-01","1092","","Program Loan Accounting System (PLAS)","PLAS is a legacy mainframe system of record for the Farm Loan Programs designed in the late 1970s. This system is quickly reaching the end of its useful life. The Direct Loan System (DLS) is the new project that is being designed to replace PLAS functionality by streamlining and modernizing the direct loan process. During the development of DLS, PLAS is in a Steady State maintenance only mode unless large unexpected modifications such as Stimulus or disaster relief require quick solutions.","2002-10-01","2018-09-28","46.720000","0","0.00","Green","-0.134000","-2.95","Green","2014-05-29","10:32:01"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-19-01","1093","","Electronic Debt and Loan Restructure System (eDALR$)","eDALR$ is an Intranet web-based program developed to assist authorized agency officials in determining and evaluating the effect of primary loan servicing. The eDALR$ system completes calculations based on information regarding the borrower's cash flow and loan status. This information is used to restructure the borrower's debt and maximize their repayment ability, while minimizing loss to the Government. This system replaced the Legacy DALR$ system in Feb 2008 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","0","0.00","Green","0.588000","41.18","Red","2014-05-29","10:32:00"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-24-01","1094","","Direct Loan System (DLS)","The Direct Loan System (DLS) is the only portion of the CFLPIDS project that is currently in the Development, Enhancement, and Modernization (DME) phase of the project life cycle. The DLS project is intended to streamline and modernize current FLP inefficient, duplicative, and paper-based loan making and loan servicing processes and support both the USDA's Strategic Plan as well as the Agency's Strategic Plan by deploying solutions that are customer focused, collaborative and results oriented. As such, the primary mission of the DLS modernization effort is to deliver timely, effective programs and services to America's Farmers and Ranchers for ownership, operating, and emergency loans through a streamlined and modernized integration of IT platforms, processes, and data stores. Throughout the development of the CFLPIDS system, great care is taken in order to leverage existing technology, COTS packages, and new innovations in order to provide first-rate support to our customers through both in-office and mobile services. This system is a collaborative effort between Government and Contractor resources that is being developed using the Systems Development Life Cycle (SDLC) methodology and continually strives to leverage existing government technology, COTS functionality, as well as new technological developments to provide first-rate support to our End Users and customers. As functionality is migrated to the DLS system, outdated systems are being retired. The scope of this project has been well defined, however new developments will have a major impact on the existing project. The Commodity Credit Corporation (CCC) Farm Storage Facility Loan (FSFL) project resides on an outdated AS400 platform and was originally scheduled to be included in the MIDAS project. In FY 2012, due to delays in the MIDAS project, the decision was made to move the FSFL to the FLP IT platforms since they were similar loan programs.  This project will require significant modifications to the DLS system and require interfaces to the Farm Program (FP) back-End processes.","2002-10-01","2018-09-28","116.800000","0","0.00","Green","1.431000","6.27","Green","2014-07-25","12:34:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-25-01","1095","","Farm Loan Program Risk Assessment (FLPRA)","The FLPRA system pulls data from other FLP applications and generates various management reports used to identify high risk lending States. Once a service center is reviewed and scored, the data is entered at the State level and the system tracks the scores assigned to Service Centers. This system replaced the Legacy National Internal Review (NIR) system in February 2006 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","0","0.00","Green","0.041000","9.72","Green","2014-05-29","10:32:01"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-30-01","1096","","Farm Business Plan (FBP)","The FBP system is a Web based system that evaluates an individual Borrowers situation and identifies ways that the FLP can provide assistance. This system replaced functionality from the Legacy System 36 Management of Agriculrural Credit (MAC) system in May 2007 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","0","0.00","Green","-0.968000","-16.51","Yellow","2014-05-29","10:32:01"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","001","1676","","Initial Operating Capability (IOC) Release 1 Deployment D1.0","IOC Release 1 D1.0. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).","2011-07-01","2013-01-25","100.676191","-583","-101.57","Red","-3.119485","-3.10","Green","2012-11-30","11:15:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","002","5609","","Initial Operating Capability (IOC) Release 1 Deployment D1.1","IOC Release 1 D1.1. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).","2012-05-01","2013-07-01","42.927415","-426","-100.00","Red","0.000000","0.00","Green","2012-11-30","11:15:23"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-01","3221","","FMMI Deployment 3 Wave 2","Testing, Deployment, and Stabilization of Forest Service (FS).","2012-06-01","2012-12-31","7.320000","0","0.00","Green","3.813000","52.10","Red","2013-04-26","16:17:37"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-03","5783","","General Usability Enhancement Release 2","Improve overall usability of FMMI.","2013-10-01","2014-09-30","3.000000","0","0.00","Green","0.000000","0.00","Green","2013-04-26","16:17:37"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-05","5785","","General Usability Enhancement Release 1","Improve overall usability of FMMI.","2013-01-01","2013-09-30","3.000000","3","1.10","Green","0.180000","6.00","Green","2014-03-14","15:39:56"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","PHICP-PHIS","1746","","Public Health Information System.","Designed to integrate data from all agency systems and program areas for use as a tool in making the most informed decisions about inspection, sampling, policy and other food safety activities to protect public health.","2007-09-27","2018-12-30","141.478000","0","0.00","Green","0.000000","0.00","Green","2014-03-18","09:55:50"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","10","5863","","Oracle Discoverer","Oracle Discoverer will provide much needed reporting capabilities for IAS users to gain a full end to end view of the acquisition cycle.","2011-10-03","2012-03-30","0.350000","-52","-29.05","Yellow","0.000000","0.00","Green","2012-11-29","12:33:15"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","11","5865","","Risk Management Framework (C&amp;A Phase I)","The PSD Security Team will be completing the Assessment and Authorization (A&amp;A) of IAS in 2013 per the three year cycle requirement. The current Contractor will be responsible for completing Phase I.","2012-10-01","2013-03-29","0.100000","0","0.00","Green","0.000000","0.00","Green","2013-04-26","16:17:39"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7","5867","","Risk Management Framework (C&amp;A Phase II)","The PSD Security Team will be completing the Assessment and Authorization (A&amp;A) of IAS in 2013 per the three year cycle requirement. The current Contractor will be responsible for completing Phase I. An independent contractor will be responsible for conducting Phase II.","2013-04-01","2013-09-30","0.150000","11","6.04","Green","0.126004","84.00","Red","2013-11-25","17:26:41"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","8","5869","","eAuthentication","This project will adopt and implement a Single Sign On (SSO) user access management using Oracle Enterprise Single Sign On Suite and PRISM SSO enhancement. This will provide users with a unified sign on and authentication across all IAS enterprise resources.","2011-02-14","2011-12-30","0.700000","-139","-75.96","Red","0.000000","0.00","Green","2012-09-19","09:28:48"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","9","5871","","FMMI Conversion","The FMMI Conversion project will transfer agencies currently interfacing to the old FFIS financial accounting system to the new enterprise-wide FMMI financial system.","2011-08-15","2011-12-30","0.150000","-326","-237.96","Red","0.000000","0.00","Green","2012-12-28","17:15:43"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","13","7865","","IAS Future State","Perform Analysis of the IAS Future State. The future state analysis will look at different alternatives and a decision will based on the alternatives whether to move IAS to one COTS or stay within the current the environment. The new solution will contribute to cost savings, improved usability and robust system management.","2013-11-15","2014-05-09","0.125000","-114","-65.14","Red","0.000000","0.00","Green","2014-03-18","14:01:12"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010001","672","","FISMA Compliance FY12.","FISMA compliance.","2011-10-01","2012-09-30","0.030000","-883","-485.16","Red","0.000000","0.00","Green","2012-09-14","22:21:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010002","673","","FTE Support FY12.","FTE Support.","2011-10-01","2012-09-30","0.700000","-883","-213.29","Red","0.000000","0.00","Green","2012-09-14","20:35:58"
