Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","no","","no","","no","","","no","","no","","09/16/2011","14:58:48"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","yes","The CFLPIDS project is impacted by US Farm Bill provisions.  The various systems within CFLPIDS require changes to existing FLP programs and additions of new programs.  These mandates require updates to CFLPIDS as the provisions and Regulations are published.","no","","yes","The CFLPIDS project strictly adheres to the Agency's Strategic Plan requirements and recommendations. The Agency s primary mission is to deliver timely, effective programs and services to America's farmers and ranchers to support them in sustaining our Nation's vibrant agricultural economy, as well as to provide first-rate support for domestic and international food aid efforts.  CFLPIDS supports this initiative by reliably and equitably providing capital to qualified Farmers and Ranchers for ownership, operating, and emergency loans through a streamlined and modernized integration of IT platforms, processes, and data stores.  Throughout the development of the CFLPIDS system, great care is taken in order to leverage existing technology, COTS packages, and new innovations in order to provide first-rate support to our customers through both in-office and mobile services.","","no","","no","","03/18/2014","11:41:35"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","yes","As applicable, the MIDAS program is working to align with the U.S. CIO 25 Point Implementation Plan to Reform Federal Information Technology Management. As applicable, the MIDAS program will also comply with Clinger-Cohen Act and OMB circular A-130. The MIDAS program leverages integrated producer information, customer account management and maintenance, and improved data integrity to support the implementation of the Agricultural Act of 2014.","no","","yes","MIDAS is aligned with USDA Management Initiative #4 (Leverage USDA Departmental Management to Increase Performance, Efficiency, and Alignment) and #5 (Optimize Information Technology (IT) Policy and Applications), as defined in USDA 2010-2015 Strategic Plan. MIDAS is aligned with FSA Strategic Goal #4 (Transform and modernize the Farm Service Agency), as defined in Farm Service Agency (FSA) 2012-2016 Strategic Plan.","001-003-002","no","","no","","07/25/2014","12:17:44"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","yes","Federal Financial Managers Integrity Act (FMFIA) Requires managers to assess the effectiveness of management controls applicable to their responsibilities. Federal Funding Accountability and Transparency Act (FFATA) - Foster unprecedented levels of accountability and transparency in government spending. Freedom of Information Act (FOIA) Ensures public access to U.S. government records.","no","","yes","USDA FY 2010 2015 Strategic Plan FMMI aligns with several management initiatives outlined in the strategic plan including the following: Initiative IV: Leverage USDA Departmental Management to Increase Performance, Efficiency, and Alignment Initiative V: Optimize Information Technology (IT) Policy and Applications.","P43-005-067","no","","no","","02/28/2014","13:09:24"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","no","","no","","no","","P40-005-070","no","","yes","FNCS IT Infrastructure investment provides the critical enabling support for all USDA FNS and CNPP programs, as well as administrative, management and financial management functions.","09/16/2011","15:00:47"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","yes","Federal Meat Inspection Act Poultry Products Inspection Act Egg Products Inspection Act.","yes","OIG Audit Report Risk-Based Inspection February 5 2008.","yes","Goal 8: Based on the defined Agency business needs, develop, maintain, and use innovative methodologies, processes, and tools, including PHIS, to protect public health efficiently and effectively and to support defined public health needs and goals.","P43-005-070","yes","Homeland Security Presidential Directive/HSPD-9.","no","","09/10/2013","14:44:25"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","yes","Federal Meat Inspection Act Poultry Products Inspection Act Egg Products Inspection Act.","no","","yes","Goal 8: Based on the defined Agency business needs, develop, maintain, and use innovative methodologies, processes, and tools, including PHIS, to protect public health efficiently and effectively and to support defined public health needs and goals.","P43-005-070","yes","Homeland Security Presidential Directive/HSPD-9.","no","","09/10/2013","16:22:57"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","yes","The Federal Acquisition Regulation (FAR) is a substantial and complex set of rules governing the federal government's purchasing process. When a government agency issues a contract or a proposal, it will specify a list of FAR provisions that apply to that contract, which may be numerous. FARA, the Federal Acquisition Regulations Automated software, is an automated procurement system that allows users to access the vast amount of text contained in the FAR, FAR Supplemental Regulations, and other Federal or local regulations. Information obtained in searches can be used to help assemble solicitations or contracts. The clauses and provisions selected for a particular procurement document can be saved to be reused later for assembly of a similar solicitation or contract. As the regulations and clauses stored in the FARA databases are changed, Compusearch obtains them and updates the databases. IAS business requirements support FAR-compliant acquisition and reporting.","yes","The organization implements a process for ensuring that plans of action and milestones (POA&Ms) for the security program and the associated organizational information systems are maintained.  It also documents the remedial information security actions to mitigate risk to organizational operations and assets, individuals, and other organizations.  The POA&Ms are an important aspect of the information security program and are subject to federal reporting requirements established by OMB. POA&M updates are based on the findings from security control assessments, security impact analyses, and continuous monitoring activities. OMB FISMA reporting guidance contains instructions regarding organizational plans of action and milestones. IAS has a system security team that works to ensure compliance with such legislation.","no","Currently, there is no Departmental Management (DM) Strategic Plan. IAS does comply with some of the Management Initiatives detailed in the USDA Strategic Plan for FY2010 2015, as described in Section B, #1 of the Exhibit 300. IAS also complies with some of the goals mentioned in the USDA IT Strategic Plan, as described in section B, #1 of the Exhibit 300.","","yes","The Federal Government, with leadership from the Department of Agriculture (USDA), has made significant strides in implementing the BioPreferred program. It is one of the key elements in the President's efforts to promote sustainable acquisition throughout the Government under EO. 13514 of 5 Oct 09. The goal of this Pres Memo is to ensure that executive departments and agencies effectively execute Federal procurement requirements for biobased products, including those requirements identified in EO. 13514 and prescribed in the 2002 Farm Bill; as amended by the 2008 Farm Bill. It is further amended in the Pres. Memo. Driving Innovation and Creating Jobs in Rural America through Biobased and Sustainable Product Procurement, 2 Feb 12, that &quot;...to amend USDA's automated contract writing system, ...to serve as a model for biobased product procurement throughout the Federal Government by adding elements related to acquisition planning, evaluation factors for source selection...&quot;.","no","NA.","09/16/2011","15:01:11"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","yes","Animal Health Protection Act (7 U.S.C. 8301 et seq.).","no","","yes","Veterinary Services 2015 Project (2011).","P44-005-070","yes","Homeland Security Presidential Directive/ HSPD-9.","yes","Veterinary Services Information Technology Roadmap (2009).","09/16/2011","14:58:57"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","no","","no","","no","","","no","","no","The OCE Investment will provide the optimized infrastructure to the Service Center Agencies to support the delivery of the current and future Farm Programs and other customer agency programs.","09/16/2011","15:01:36"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","yes","Appendix D to Circular No. A-123, Compliance with the Federal Financial Management lmprovement Act of l996, prescribes policies and standards for executive departments and agencies to follow when managing their financial management systems. Revisions include incorporating new requirements for agencies to adopt standard financial business practices to use financial management shared service providers to implement and maintain their core financial system.This Circular is issued pursuant to the Chief Financial Officers Act (CFO Act) of 1990; the Federal Managers' Financial Integrity Act (FMFIA) of 1982; and the Federal Financial Management Improvement Act (FFMIA) of 1996.","yes","An OIG audit identified the need for a single integrated reporting system to facilitate the reconciliation of producer crop year data reported to different USDA agencies as required by the Agricultural Risk Protection Act of 2000.  The audit findings stated that  Without significant changes in planning, executing, referring data discrepancies, and correcting information systems, the ability of either agency to enhance the existing data reconciliation process will be extremely limited.","yes","Legacy FMS is the financial system of record for the Agency and Corporation. FMS supports Goal 1 of RMA s Strategic Plan, which maps to Goal 1 of the USDA s Strategic Plan. EITA will replace this legacy system.","P43-005-067","no","","yes","Standard Reinsurance Agreement (SRA) is a cooperative financial instrument whereby the FCIC offers reinsurance to approved insurance providers. The qualifying standards at 7 CFR Part 400 Subpart L for an SRA authorizes Approved Insurance Providers (AIPs) to sell and service crop insurance policies on behalf of the FCIC. EITA applications comply with SRA authorization.","02/28/2014","12:28:35"
"005-000000028","250","005","Department of Agriculture","ROSS - Resource Ordering and Status System","no","Not Applicable (N/A).","no","Not Applicable (N/A).","no","Not Applicable (N/A).","","no","Not Applicable (N/A).","yes","ROSS is required by the 1995 Federal Wildland Fire Policy Memorandum signed by Secretary of Agriculture Dan Glickman and Secretary of Interior Bruce Babbitt, the Federal Wildland fire management agencies were directed as a matter of high priority to implement the principles, policies and recommendations of the Federal Wildland Fire Management Policy and Program Report. This memorandum directed the agencies to correct the deficiencies in the dispatch process. ROSS is a result of this action. In 2005, ROSS Phase 2 was charted. The ROSS Phase 2 charter focuses on additional requirements for the application that were identified by the ROSS change control process. The business needs for ROSS Phase 2 included improve system functionality, the ability to exchange data with external systems, and assure operational continuity.","09/19/2012","09:11:23"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","yes","OMB, HSPD-12, FICAM.","no","","yes","DM-4620, DR-3640.","P43-005-067","yes","HSPD-12.","no","","09/16/2011","15:02:00"
"005-000000018","253","005","Department of Agriculture","Web-Based Supply Chain Management (WBSCM)","no","N/A.","no","N/A.","no","N/A.","","no","N/A.","no","N/A.","09/16/2011","15:02:03"
"005-000000073","393","005","Department of Agriculture","AgPRS - USDA Public Safety Land Mobile Radio System","no","","no","","yes","AgPRs provides essential and instantaneous communication. This communication supports field-oriented administrative, project, incident, safety, and emergency work. The challenge of the program is to provide reliable radio coverage over large land areas to support firefighting, law enforcement, and a range of natural resource work. In many locations, the FS radio system is the only means of communication, further increasing the criticality of this system.","","no","N/A.","no","","09/13/2013","13:10:36"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","no","","no","","no","","","no","Not Applicable (N/A).","no","","09/13/2013","13:20:26"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","yes","ImproperPaymentsInformation Actof 2002.","yes","Financial Statement Audit - 1) Accelerate the conversion of RUS Legacy into RULSS.","yes","The CLP investment is listed as a management initiative within the RD IT Strategic Plan.","P42-005-067","no","None.","no","None.","02/27/2014","14:57:36"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","yes","NRCS needs to implement digital/electronic signature technology in the Conservation Desktop, Client Gateway and Mobile Planning Tools for clients and NRCS staff to help comply with: Government Paperwork Elimination Act (GPEA, P.L. 105-277) and Food, Conservation, and Energy Act of 2008 (Farm Bill 2008).  In addition NRCS needs to implement an enterprise electronic document storage technology for the Conservation Desktop and Client Gateway to help comply with the Government Paperwork Elimination Act (GPEA, P.L. 105-277).","yes","Based on recent financial audit findings NRCS needs to standardize its financial assistance business processes. To help address these deficiencies, CDSI has implemented standardized roles and permissions within its current and future financial assistance contracting software systems. The Conservation Desktop technology will reinforce standardized financial assistance business processes to help improve financial accountability. The Conservation Desktop (when fully implemented) will also bring all of NRCS  contracting and agreements management into one contract management system.","yes","The 2011-2015 NRCS Strategic Plan sets the direction and priorities for NRCS in all activities in helping people help the land. This plan will be used to develop tactics to deliver on our core mission. This plan is focused on three (3) overarching priorities: 1. Get more Conservation on the Ground. 2. Increase organizational effectiveness and efficiency. 3. Create a climate where private lands conservation will thrive. The agency s success on meeting these priorities will be measured by specific outcomes within our core mission and supporting activities. In the USDA's Strategic goal for 2010-2015 Strategic Goal 2: Ensure Our National Forests and Private Working Lands Are Conserved, Restored, and Made More Resilient to Climate Change, While Enhancing Our Water Resource addresses the mission of NRCS, and the PRM codes align to this Strategic goal.","P44-005-068,P43-005-068,P42-005-068,P41-005-068","yes","In the 25 point implementation plan it points to shifting to a Cloud First policy and CDSI will be utilizing a cloud solution. In &quot;DIGITAL GOVERNMENT: BUILDING A 1ST CENTURY PLATFORM TO BETTER SERVE THE AMERICAN PEOPLE&quot; the particular sections that are applicable to CDSI are Part A. Information-Centric sections 1. Make Open Data, Content, and Web APIs the New Default and secton2. Make Existing High-Value Data and Content Available through Web APIs and Part C. Customer-Centric sections 6. Deliver Better Digital Services Using Modern Tools and Technologies; 7. Improve Priority Customer-Facing Services for Mobile Use; 8. Measure Performance and Customer Satisfaction to Improve Service Delivery.","yes","The USDA has made an enterprise-wide decision to migrate all of their financial data and transactions from the Foundation Financial Information System to a new financial management system through the Financial Management Modernization Initiative.  This will drive the need to develop a new financial service to integrate with the business applications developed through the CDSI effort.","09/16/2011","16:58:07"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","yes","FISMA.","no","","no","","","no","","no","","11/30/2012","12:06:20"
"005-000000229","1291","005","Department of Agriculture","USDA Enterprise Data Center & Hosting Shared Services","no","","no","","no","","","yes","Federal Data Center Consolidation Initiative.","yes","The NIST Definition of Cloud Computing (NIST Special Publication 800-145) NIST Cloud Computing Reference Architecture (NIST Special Publication 500-292) NIST Cloud Computing Security Reference Architecture (NIST Special Publication 500-299 draft) Guide to Applying a Risk Management Framework to Federal Information Systems (NIST Special Publication 800-37, Rev 1) Security and Privacy Controls for Federal Information Systems and Organizations (NIST Special Publication 800-53)  Secretary Memorandum Numbers 1509 & 1776.","09/11/2013","10:03:27"
"005-000000232","1293","005","Department of Agriculture","USDA Enterprise End User Shared Services (EUSS)","no","","no","","no","","","no","","yes","FDCC.","09/11/2013","10:03:35"
"005-000000231","1295","005","Department of Agriculture","USDA Enterprise Telecommunications Shared Services","yes","OMB Memorandum M-05-22.","no","","no","","","no","","yes","Transition Planning for Internet Protocol Version 6 (IPv6), OMB Memorandum M-05-22.","09/11/2013","10:03:42"
"005-000000235","1297","005","Department of Agriculture","NFC Shared Services- IT Systems","no","","no","","no","","","no","","yes","Security National Institute of Standards and Technology (NIST) Special Publication 800-53; Federal Informaiton Security Management Act (FISMA); OMB Circular A-130; Privacy Act, Government Information Security Reform Act.  Meets Federal and Departmental security regulations, policies, standards, guidelines and applicable laws.","09/11/2013","10:25:23"
"005-000000186","1301","005","Department of Agriculture","USDA Enterprise Messaging Systems-Cloud Services (EMS-CS)","no","","no","","no","","","no","","no","","09/11/2013","11:27:21"
