Agency Code,Agency Name,Data Center Labor PY,Data Center Software PY,Data Center Hardware PY,Data Center Electricity PY,Data Center Facility PY,Data Center Cloud or Other PY,Telecom Data PY,Telecom Voice PY,Telecom Other Service PY,Help Desk PY,Desktop and Laptop Systems PY,Mobile Devices PY,End User Other Service Contracts PY,Updated Date,Updated Time
"026","National Aeronautics and Space Administration","44.596310","6.864320","6.855690","0.000000","1.715710","0.029520","114.742820","37.168970","7.239920","14.264900","91.787490","7.249090","0.000000","2014-09-08","15:43:36"
"012-12","Department of Labor","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2015-01-05","13:09:20"
"422","National Science Foundation","16.204000","5.966000","1.522000","0.000000","0.000000","0.959000","2.538000","2.994000","0.000000","5.337000","1.675000","0.187000","0.000000","2015-01-06","10:29:51"
"025","Department of Housing and Urban Development","23.682000","2.575000","22.932000","7.385000","0.000000","0.587000","15.741000","0.000000","2.526000","3.458000","5.747000","3.452000","17.709000","2015-01-08","09:06:52"
"016","Social Security Administration","201.077000","220.301000","216.635000","2.900000","13.650000","181.184000","165.385000","26.794000","81.799000","3.652000","179.979000","4.105000","1.555000","2015-01-08","10:55:42"
"010","Department of the Interior","163.416800","23.748930","10.938520","0.000000","0.000000","0.000000","87.764340","79.122330","35.109930","61.706010","100.318900","0.000000","25.427440","2015-01-08","11:10:38"
"028","Small Business Administration","1.250000","1.340000","0.819000","0.000000","0.000000","0.000000","0.018000","0.063500","0.000000","2.044000","1.000000","0.700000","0.000000","2015-01-08","12:47:09"
"006","Department of Commerce","209.678273","89.834911","63.792738","4.652560","9.509453","21.897456","126.910309","31.173511","6.354478","51.000600","69.692610","6.270230","25.282530","2015-01-08","14:34:00"
"202","U.S. Army Corps of Engineers","3.000000","3.840000","4.800000","0.000000","0.000000","0.000000","56.200000","0.000000","3.000000","3.000000","3.200000","8.603000","0.000000","2015-01-08","17:23:24"
"029","Department of Veterans Affairs","165.991084","42.758568","27.141663","5.166018","21.441429","34.734486","91.726130","82.773680","42.247548","62.757160","374.960000","38.952362","0.000000","2015-01-09","11:41:31"
"019","Department of Energy","89.512184","40.794490","40.304249","8.501802","13.301715","72.046726","74.077164","55.934101","53.427914","47.158333","131.231746","23.797393","84.037933","2015-01-09","12:25:05"
"393","National Archives and Records Administration","10.068791","0.767358","2.729489","0.184047","0.015295","0.000000","4.613441","1.481320","0.384000","3.671780","3.607842","0.577557","1.194264","2015-01-09","12:59:46"
"020","Environmental Protection Agency","11.238394","4.351065","3.091943","0.263893","0.302121","0.185000","71.010965","10.001089","0.387530","25.704077","27.168982","5.618296","6.482164","2015-01-09","13:04:24"
"014","Department of State","7.400000","2.135000","22.400000","0.000000","5.185000","54.700000","112.588000","0.000000","0.000000","2.600000","50.800000","35.872000","0.000000","2015-01-09","13:31:47"
"027","Office of Personnel Management","33.792527","17.874701","30.089829","3.818926","1.560804","2.300000","0.838330","0.129420","0.031306","7.885010","0.021200","2.400000","0.035000","2015-01-09","13:46:34"
"018","Department of Education","15.640000","15.323000","16.986196","14.847000","14.902000","67.312000","14.929000","14.847000","14.847000","14.515000","23.497000","12.304000","11.136000","2015-01-09","14:27:35"
"429","Nuclear Regulatory Commission","0.700000","2.015000","1.075000","0.400000","0.600000","0.000000","0.900000","3.000000","0.000000","3.150000","7.230000","3.000000","0.000000","2015-01-09","14:45:22"
"005","Department of Agriculture","48.660327","22.431743","10.324426","10.284092","2.173860","8.269887","10.323000","0.170000","1.813654","31.391208","45.790103","7.121100","115.793500","2015-01-09","15:12:32"
"011","Department of Justice","80.310000","50.565000","98.156000","8.923000","23.795000","23.795000","984.689330","51.245020","9.946850","34.489000","141.848000","53.934000","0.000000","2015-01-09","15:24:45"
"021","Department of Transportation","24.047356","12.588777","80.637615","0.607888","2.373762","5.572019","127.137833","35.311133","47.199708","45.995439","33.417119","13.473296","31.626185","2015-01-09","15:36:25"
"009","Department of Health and Human Services","103.486000","112.602000","84.102000","1.760000","7.435000","35.828000","119.072000","32.304000","35.054000","71.500000","83.017000","23.230000","63.193000","2015-01-09","16:01:58"
"012","Department of Labor","8.532652","18.802524","18.871552","1.198905","0.317736","2.581758","16.390000","21.764800","0.808035","13.238300","25.624700","3.300000","0.580000","2015-01-09","16:37:20"
"024","Department of Homeland Security","407.648000","69.092000","54.263000","9.833000","74.985000","137.417000","168.715000","105.968000","52.256000","83.177000","73.066000","80.170000","171.972000","2015-01-09","17:57:47"
"023","General Services Administration","2.983125","17.556039","9.689321","1.126094","1.822496","21.842232","10.594133","9.839369","3.604724","9.908700","10.487277","9.239058","0.000000","2015-01-28","10:09:19"
"184","U.S. Agency for International Development","9.780000","0.890000","0.050000","0.120000","0.110000","17.560000","10.240000","1.930000","0.630000","3.090000","8.170000","3.730000","7.730000","2015-01-28","11:27:06"
"015","Department of the Treasury","102.169586","4.460000","4.460000","2.890376","8.819217","0.000000","75.144085","76.425193","155.548750","56.788855","78.826362","18.619642","121.435070","2015-01-29","13:04:46"
"007","Department of Defense","777.000000","226.000000","251.000000","96.000000","351.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2015-03-02","11:00:38"
