Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,Performance Measurement Category Mapping,Target 2014,Target 2015,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Status,Latest Actual Result Comment,Latest Actual Result Date,Is Closed?,Metric Updated Date,Metric Updated Time
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1094","1","Maintain network and server availability for use.","Percentage","1 - Customer Satisfaction (Results)","99.700000","0.000000","Over target","Quarterly","","144307","63104","99.970000","","","2015-07-02","no","08/28/2015","21:54:05"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1095","2","ATAC average response time to resolve customer issues.","Time","1 - Customer Satisfaction (Results)","21.700000","21.700000","Under target","Monthly","","144309","63100","21.600000","","","2015-07-02","no","08/28/2015","21:54:05"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1096","3","Application of patches on all systems.","Percentage","3 - Financial Performance","98.000000","98.000000","Over target","Monthly","","144311","63099","98.000000","","","2015-07-01","no","08/28/2015","21:54:05"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1097","","Reduction in number of field office data storage devices.","Number","1 - Customer Satisfaction (Results)","50.000000","0.000000","Under target","Quarterly","","98231","","50.000000","Met","target met","2014-07-03","yes","08/28/2015","21:54:05"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1098","5","Percentage of systems compliant with FDCC requirements.","Percentage","2 - Strategic and Business Results","95.000000","95.000000","Over target","Quarterly","","144313","63103","95.000000","","","2015-07-02","no","08/28/2015","21:54:05"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","6949","6","Percentage of laptops applied with MEE encryption","percentage","2 - Strategic and Business Results","95.000000","95.000000","Over target","Quarterly","P44-005-070","144305","63106","95.000000","","","2015-07-02","no","08/28/2015","21:54:05"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","21491","7","Use customer surveys to measure satisfaction at the user level.","percentage","3 - Financial Performance","0.000000","85.000000","Over target","Semi-Annual","","144315","63102","85.000000","","","2015-07-01","no","08/28/2015","21:54:05"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","21493","8","Improving field office network connection speeds.","number","1 - Customer Satisfaction (Results)","0.000000","45.000000","Over target","Semi-Annual","","144317","63101","45.000000","","","2015-07-02","no","08/28/2015","21:54:05"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1620","1","Average number of days required to complete Direct Loan processing (from application completed to final disposition).","Number of Days","1 - Customer Satisfaction (Results)","30.000000","30.000000","Under target","Monthly","","128521","49573","23.000000","","This metric is below the FY 2015 goal of 31.0 days.","2015-02-28","no","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1621","2","Number of States with average Direct Loan processing time greater than 35 days.","Number of States","1 - Customer Satisfaction (Results)","12.000000","12.000000","Under target","Monthly","","128523","49613","5.000000","","This metric is below the FY 2015 goal of 12 states.","2015-02-28","no","08/30/2015","21:17:59"
