"Agency Code (Investment)","Agency Name (Investment)","Bureau Code (Investment)","Parent UII","Parent Investment Title","Funding Source UII","Investment Category","Line Item Descriptor","Budget Account Code","Budget Account Name","Agency Code (from Budget Account)","Bureau Code (from Budget Account)","Alternative Bureau Code","Total IT Spending FY2015 (PY) ($ M)","Total IT Spending FY2016 (CY) ($ M)","Total IT Spending FY2017 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","IT Portfolio Funding Sources ID","IT Portfolio ID","Updated Date","Updated Time"
"	422","National Science Foundation","	00",422-000000032,"IT Infrastructure, Office Automation and Telecommunications",422-000000032,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",17.528,13.842,15.842,2.789,0,0.426,0,2,0,14.739,0,13.416,0,13.842,0,553888,407373,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000032,"IT Infrastructure, Office Automation and Telecommunications",422-000000032,"	00","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",1.807,1.878,2.579,0,0,0.057,0,0,0,1.807,0,1.821,0,2.579,0,553889,407373,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000032,"IT Infrastructure, Office Automation and Telecommunications",422-000000032,"	00","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",12.092,12.562,17.261,0,0,0.376,0,0,0,12.092,0,12.186,0,17.261,0,553890,407373,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000032,"IT Infrastructure, Office Automation and Telecommunications",422-000000032,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",4.302,5.319,5.544,0.431,0,0.162,0,0.396,0,3.871,0,5.157,0,5.148,0,553891,407373,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001327,iTRAK,422-000001327,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",2.814,1.71,2.326,0.143,0,0.199,0,0.043,0,2.671,0,1.511,0,2.283,0,553892,407374,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001327,iTRAK,422-000001327,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",2.28,2.364,1.98,0.19,0,0.197,0,0.792,0,2.09,0,2.167,0,1.188,0,553893,407374,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001327,iTRAK,422-000001327,"	00","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",5.713,3.472,4.72,0.292,0,0.405,0,1.826,0,5.421,0,3.067,0,2.894,0,553894,407374,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001327,iTRAK,422-000001327,"	00","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0.854,0.518,0.705,0.044,0,0.06,0,0.273,0,0.81,0,0.458,0,0.432,0,553895,407374,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000001,"Financial and Accounting System (FAS).",422-000000001,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,553896,407375,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000001,"Financial and Accounting System (FAS).",422-000000001,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",0.454,0,0,0,0,0,0,0,0,0.454,0,0,0,0,0,553897,407375,2016-01-05,17:38:59
