"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment URL ID","Agency Investment URL ID","Valid Public URL","Investment URL","invURL - A - Related Datasets","invURL - B - Related API","invURL - C - Related Social Media","invURL - D - General Information","invURL - E - Related to Broader Program/Business","invURL - F - Mobile Application Name","invURL - Mobile Audience Focus","invURL - Responsive Design For Mobile","Updated Date","Updated Time"
005-000000018,253,"	005","Department of Agriculture",1687,,No,www.usda.gov/wbscm,yes,yes,no,yes,yes,www.usda.gov/wbscm,yes,yes,02/02/2016,13:56:37
005-000000018,253,"	005","Department of Agriculture",5902,"	6253",No,www.usda.gov/wbscm,yes,yes,no,yes,yes,www.usda.gov/wbscm,yes,yes,02/02/2016,13:56:37
005-000000028,250,"	005","Department of Agriculture",3933,,Yes,http://ross.nwcg.gov,no,no,no,no,yes,http://ross.nwcg.gov,yes,yes,02/02/2016,18:20:53
005-000000028,250,"	005","Department of Agriculture",3935,,Yes,http://egp.nwcg.gov,no,no,no,no,yes,,,,02/02/2016,18:20:53
005-000000028,250,"	005","Department of Agriculture",5908,"	6203",Yes,http://ross.nwcg.gov,no,no,no,no,yes,http://ross.nwcg.gov,no,yes,02/02/2016,18:20:53
005-000000038,214,"	005","Department of Agriculture",1345,,No,N/A,no,no,no,no,no,N/A,no,no,02/02/2016,15:21:01
005-000000038,214,"	005","Department of Agriculture",5943,"	6068",No,N/A,no,no,no,no,no,N/A,no,no,02/02/2016,15:21:01
005-000000039,236,"	005","Department of Agriculture",3937,,Yes,http://www.dm.usda.gov/oppm/psd/index.htm,no,no,no,no,yes,Yes,yes,yes,02/02/2016,15:50:25
005-000000039,236,"	005","Department of Agriculture",4581,,No,https://ias.usda.gov,no,no,no,yes,yes,"IAS is a secure network, only accessible by authorized governmnet officials.",no,no,02/02/2016,15:50:25
005-000000039,236,"	005","Department of Agriculture",5967,"	6150",Yes,http://www.dm.usda.gov/oppm/psd/index.htm,no,no,no,yes,yes,No,no,no,02/02/2016,15:50:25
005-000000039,236,"	005","Department of Agriculture",5968,"	6151",No,https://ias.usda.gov,no,no,no,yes,yes,"IAS is a secure network, only accessible by authorized governmnet officials.",no,no,02/02/2016,15:50:25
005-000000063,249,"	005","Department of Agriculture",1439,,No,"Not Applicable (N/A).",no,no,no,no,no,,,,03/25/2013,08:47:58
005-000000063,249,"	005","Department of Agriculture",1463,,No,"Not Applicable (N/A).",no,no,no,no,no,,,,03/25/2013,08:47:58
005-000000073,393,"	005","Department of Agriculture",1347,,Yes,http://www.fs.fed.us/,no,no,no,no,no,http://www.fs.fed.us/,yes,yes,02/02/2016,17:35:49
005-000000073,393,"	005","Department of Agriculture",5906,"	6055",Yes,http://www.fs.fed.us/,no,no,no,no,no,http://www.fs.fed.us/,yes,yes,02/02/2016,17:35:49
005-000000098,394,"	005","Department of Agriculture",3909,,Yes,http://www.fs.fed.us,yes,yes,yes,yes,yes,http://www.fs.fed.us,yes,yes,02/02/2016,17:49:36
005-000000098,394,"	005","Department of Agriculture",5907,"	6123",Yes,http://www.fs.fed.us,yes,yes,yes,yes,yes,http://www.fs.fed.us,yes,yes,02/02/2016,17:49:36
005-000000235,1297,"	005","Department of Agriculture",4583,,Yes,https://www.nfc.usda.gov/,no,no,no,no,yes,,no,no,02/02/2016,18:38:13
005-000000235,1297,"	005","Department of Agriculture",4585,,Yes,https://www.empowhr.gov/,no,no,no,no,yes,,no,no,02/02/2016,18:38:13
005-000000235,1297,"	005","Department of Agriculture",4587,,No,https://www.pcip.gov,no,no,no,no,yes,,no,no,02/02/2016,18:38:13
005-000000235,1297,"	005","Department of Agriculture",5995,"	6172",Yes,https://www.empowhr.gov/,no,no,no,no,yes,,no,no,02/02/2016,18:38:13
005-000000235,1297,"	005","Department of Agriculture",5996,"	6170",Yes,https://www.nfc.usda.gov/,no,no,no,no,yes,,no,no,02/02/2016,18:38:13
005-000000235,1297,"	005","Department of Agriculture",5997,"	6171",No,https://www.pcip.gov,no,no,no,no,yes,,no,no,02/02/2016,18:38:13
