"Unique Investment Identifier","Business Case Id","Agency Code","Agency Name","Investment Title","Planning Budgetary Resources PY1 and Prior","Planning Budgetary Resources PY","Planning Budgetary Resources CY","Planning Budgetary Resources BY","DME Budgetary Resources PY1 and Prior","DME Budgetary Resources PY","DME Budgetary Resources CY","DME Budgetary Resources BY","DME Government FTE Costs PY1 and Prior","DME Government FTE Costs PY","DME Government FTE Costs CY","DME Government FTE Costs BY","Omd Budgetary Resources PY1 and Prior","Omd Budgetary Resources PY","Omd Budgetary Resources CY","Omd Budgetary Resources BY","Omd Government FTE Costs PY1 and Prior","Omd Government FTE Costs PY","Omd Government FTE Costs CY","Omd Government FTE Costs BY","Government FTE Number PY1 and Prior","Government FTE Number PY","Government FTE Number CY","Government FTE Number BY","Prior Year Cost Change PY","Prior Year Cost Change CY","Prior Year Cost Percentage Change PY","Prior Year Cost Percentage Change CY"
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",9.9,0,0,0,1720.9957,251.3,186.9,158.4,51.556272,2.16,1.62,3.18,39.09937,9.7,10.6,11.8,3.931,1,1,0.5,327,23,23,23,0,-26.5,0,-11.69
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",2.548,0,0,0,496.359,70.516,67.23,78.152,32.329,4.171,3.065,2.361,138.832,67.744,114.55,93.987,8.228,4.007,5.219,4.101,340,68,68,52,39.268,8.284,36.6,4.6
029-555555110,8,"	029","Department of Veterans Affairs","Medical 21st Century TeleHealth",1.666,0,0,0,53.222,4.742,4.07,0.142,3.504,0.563,0.302,0.373,6.895,3.355,8.98,5.461,0.531,0.399,0.673,0.621,34,8,8,8,-8.023,0.975,-47,7.5
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",0,0,0,0,99.384894,2.638732,0.764178,0,0,0,0,0,45.199537,3,3,4.798867,10.71887,0.525195,0.297,0.318699,0,3,3,3,-4.844705,-3.35131,-44.01,-45.21
184-000000005,12,"	184","U.S. Agency for International Development","Billing and Accounting - Core",0,0,0,0,91.5325,2.70481,3.45,1.45,0,0,0,0,101.066153,10.11,10.11,9.575103,9.53705,0.368939,0.297,0.318699,103,3,3,3,-0.64942,2.948748,-4.69,27.03
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",0,0,0,0,756.879,0,0,0,9.161,0,0,0,1445.368,127.161,136.758,134.612,27.831,3.728,3.404,3.478,273,27,24,25,-4.325,6.118,-3,5
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",0,0,0,0,116.783,0,0,0,28.725,0,0,0,349.168,129.134,96.667,90.027,25.186,9.325,8.889,8.956,416,58,53,53,47.121,23.216,52,28
007-000000510,25,"	007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT",0.422,0,0,0,201.674,1.32,4.418,4.182,2.272,0,0,0,790.141,47.357,44.609,45.374,9.301,0.847,0.923,0.938,94,6,7,7,3.544,0,8,0
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",27.253,11.989,9.529,4.257,0,0,0,0,1.859,0,0,0,16.052,10.676,9.394,15.18,1.98,0.84,2.001,1.8,22,6,11,11,2.614,0,13,0
007-000000595,27,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK",277.382,26.216,26.374,6.756,936.924,147.302,196.177,116.521,0,10.541,14.149,7.05,12253.854,1401.372,1321.619,962.236,0,85.128,84.02,55.031,0,724,747,422,-843.033,-727.111,-36,-32
007-000000613,28,"	007","Department of Defense","Defense Medical Logistics Standard Support",0,1.248,2.397,2.397,335.986,3.863,1.933,2.326,6.201,0,0,0,470.909,52.963,44.235,43.055,13.761,2.145,2.166,2.201,155,16,16,16,10.696,2.411,22,5
007-000000881,31,"	007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT",0,30.536,21.503,24.438,42.15,3.019,1.372,1.335,0.051,0,0,0,110.074,91.918,98.803,99.896,31.027,27.863,23.569,24.575,231,167,165,156,-21.482,-7.934,-12,-5
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",0,0,0,0,32.738,0,0,0,0,0,0,0,100.436,10.32,10.32,10.32,0.975,0.18,0.18,0.18,16,1,1,1,10.5,10.5,0,0
007-000000884,33,"	007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM",1.363,2.906,3.14,3.39,262.639,0,0,0,0,0,0,0,304.986,39.104,45.42,45.741,17.077,0.662,0.67,0.679,14,7,7,7,-25.074,-15.337,-37,-24
007-000001046,34,"	007","Department of Defense","Air and Space Operations Center - Weapon System",0,0,0,0,340.174,23.619,8.418,13.419,47.632,8.164,8.424,8.892,831.19,191.009,129.283,2.148,0,0,0,0,335,56,56,56,3.162,-1.41,1,-1
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",0,0,0,0,1571.522,0,0,0,0,0,0,0,2569.811,146.208,149.047,148.815,83.602,8.35,8.918,8.926,99,51,54,53,6.536,7.634,4.4,5.1
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",0,0,0,0,17.85,0,0,0,0,0,0,0,509.361,76.479,78.773,81.137,24.329,5.587,5.808,5.961,103,34,34,34,82.066,84.581,0,0
026-000005030,40,"	026","National Aeronautics and Space Administration","JSC CA Training Systems (TS)",0,0,0,0,8.844,0,0,0,0,0,0,0,146.422,24.894,25.641,26.411,4.974,2.629,2.733,2.805,35,16,16,16,27.523,28.374,0,0
