"BRM Code","BRM Name"
"	001","Homeownership Promotion"
"	002","Community and Regional Development"
"	004","Postal Services"
"	005","Criminal Incarceration"
"	006","Criminal Rehabilitation"
"	008","Disaster Preparedness and Planning"
"	009","Disaster Repair and Restore"
"	010","Emergency Response"
"	011","Business and Industry Development"
"	012","Intellectual Property Protection"
"	013","Financial Sector Oversight"
"	014","Industry Sector Income Stabilization"
"	015","Elementary, Secondary, and Vocational Education"
"	016","Higher Education"
"	017","Cultural and Historic Preservation"
"	018","Cultural and Historic Exhibition"
"	019","Energy Production and Transmission"
"	020","Energy Conservation"
"	021","Energy Resource management"
"	022","Energy Production"
"	023","Environmental Monitoring and Forecasting"
"	024","Environmental Remediation"
"	025","Pollution Prevention and Control"
"	026","Scientific and Technological Research and Innovation"
"	027","Space Exploration and Innovation"
"	033","Border and Transportation Security"
"	034","Key Asset and Critical Infrastructure Protection"
"	036","Retirement and Disability Benefits"
"	037","Unemployment Compensation"
"	038","Housing Assistance"
"	039","Food and Nutrition Assistance"
"	040","Survivor Compensation"
"	041","Foreign Affairs"
"	043","Global Trade"
"	044","Fugitive and Criminal Apprehension"
"	045","Criminal Investigation and Surveillance"
"	047","Crime Prevention"
"	048","Leadership Protection"
"	050","Substance Control"
"	051","Judicial Hearings"
"	052","Legal Defense"
"	053","Legal Investigation"
"	054","Legal Prosecution and Litigation"
"	055","Resolution Facilitation"
"	056","Water Resource Management"
"	057","Conservation, Marine and Land Management"
"	058","Recreational Resource Management and Tourism"
"	060","Air Transportation"
"	061","Ground Transportation"
"	062","Water Transportation"
"	063","Space Transportation"
"	064","Training and Employment"
"	065","Labor Rights Management"
"	066","Worker Safety"
"	070","General Purpose Data and Statistics"
"	077","Inspection and Auditing "
"	079","Permits and Licensing"
"	101","Budget Formulation"
"	103","Enterprise Architecture"
"	104","Strategic Planning"
"	105","Budget Execution"
"	106","Workforce Planning"
"	108","Customer Services"
"	113","Public Comment Tracking"
"	115","Rule Publication"
"	116","Debt Collection"
"	118","Federal Asset Sales"
"	119","Facilities, Fleet and Equipment Management"
"	120","Help Desk Services"
"	121","Security Management"
"	122",Travel
"	124",Accounting
"	126",Payments
"	127","Collections and Receivables"
"	129","Reporting and Information"
"	139","Provide and Maintain IT Infrastructure"
"	143","Goods and Services Acquisition"
"	144","Inventory Control"
"	145","Logistics Management"
"	176","Legislative Functions"
"	180","Taxation Management"
"	211","Operational Defense"
"	212","Tactical Defense"
"	217","Access to Care"
"	228","Labor Relations"
"	247","Health Care Administration"
"	248","Health Care Delivery Services"
"	249","Health Care Research and Practitioner Education"
"	251","Staffing and Recruiting"
"	254","Employee Benefits and Compensation"
"	255","Employee Performance Management"
"	256","Employee Relations"
"	257","Separation Management"
"	259","Budget and Performance Integration"
"	260","Tax and Fiscal Policy"
"	263","System and Network Monitoring"
"	271","Educational Excellence"
"	272","Energy Technology Development"
"	279","Battlespace Networks"
"	280","Command and Control"
"	281","Force Application"
"	282",Protection
"	283","Force Protection"
"	284","Force Training"
"	301","Force Allocation"
"	302","Nuclear Weapons Stockpile Oversight"
"	303","Social Security Benefits"
"	304","Immigration and Naturalization"
"	305",Counter-Intelligence
"	306","Arms Control"
"	308","Environmental Waste Management"
"	309","Environmental Site Stewardship"
"	310","Food and Drug Quality and Safety"
"	311","Vocational Rehabilitation"
"	312",Navigation
"	313","Population Health Management"
"	314","Assistive Technology Services"
"	315","Threat and Vulnerability Management"
"	316","Continuous Monitoring"
"	317","Data Integrity and Privacy Management"
"	318","Business Analytics"
"	319","Regulatory Compliance "
"	320","Credit and Insurance"
"	321","Regulatory Enforcement  "
