"Agency Code (Investment)","Agency Name (Investment)","Bureau Code (Investment)","Parent UII","Parent Investment Title","Funding Source UII","Line Item Descriptor","Budget Account Code","Budget Account Name","Agency Code (from Budget Account)","Bureau Code (from Budget Account)","Alternative Bureau Code","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY BudgetAuthority ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY BudgetAuthority ($ M)","IT Portfolio Funding Sources ID","IT Portfolio ID","Updated Date","Updated Time"
"	005","Department of Agriculture","	45",005-000000018,"AMS-Web-Based Supply Chain Management (WBSCM)",005-000000018,"	04",005-84-3539,"Child Nutrition Programs","	005","	84",,5,5,5,0,0,0,0,0,0,0,5,0,5,0,5,0,0,828694,607909,2019-04-05,12:49:40
"	005","Department of Agriculture","	45",005-000000018,"AMS-Web-Based Supply Chain Management (WBSCM)",005-000000018,"	04",005-45-5209,"Funds for Strengthening Markets, Income, and Supply (section 32)","	005","	45",,33.337,35.539,34.148,11.526,0,10,0,10,0,0,21.811,0,25.539,0,24.148,0,0,828695,607909,2019-04-05,12:49:40
"	005","Department of Agriculture","	45",005-000000018,"AMS-Web-Based Supply Chain Management (WBSCM)",005-000000018,"	04",005-49-0600,"Salaries and Expenses","	005","	49",,1.4,1.4,1.4,0,0,0,0,0,0,0,1.4,0,1.4,0,1.4,0,0,828696,607909,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000027,"FNS-Store Tracking and Redemption System (STARS)",005-000000027,"	04",005-84-3505,"Supplemental Nutrition Assistance Program","	005","	84",,9.852,10.129,10.321,2.95,0,3.039,0,3.596,0,3.596,6.902,0,7.09,0,6.725,0,6.725,828697,607910,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000028,"FS-Resource Ordering and Status System (ROSS)",005-000000028,"	04",005-96-1115,"Wildland Fire Management","	005","	96",,3.748,3.747,3.747,0,0,0,0,0,0,0,3.748,0,3.747,0,3.747,0,3.747,828698,607911,2019-04-05,12:49:40
"	005","Department of Agriculture","	12",005-000000035,"DA-OCIO-e-Learning/AgLearn Combined",005-000000035,"	04",005-04-4609,"Working Capital Fund","	005","	04",,5.9,5.9,5.9,0.25,0,0,0,0,0,0,5.65,0,5.9,0,5.9,0,0,828699,607912,2019-04-05,12:49:40
"	005","Department of Agriculture","	03",005-000000039,"DA-OCP-Integrated Acquisition System (IAS)",005-000000039,"	04",005-04-4609,"Working Capital Fund","	005","	04",,14.448,13.141,14.108,0,0,3.251,0,3.527,0,3.527,14.448,0,9.89,0,10.581,0,10.581,828700,607913,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000042,"FNS-Anti-Fraud Locator Using EBT Retailer Transactions (ALERT)",005-000000042,"	04",005-84-3505,"Supplemental Nutrition Assistance Program","	005","	84",,5.593,5.752,5.861,3.124,0,3.218,0,3.279,0,3.279,2.469,0,2.534,0,2.582,0,2.582,828701,607914,2019-04-05,12:49:40
"	005","Department of Agriculture","	32",005-000000045,"APHIS-MIS 2000",005-000000045,"	04",005-32-1600,"Salaries and Expenses","	005","	32",,1.085,5.083,1.52,0,0,4,0,0.507,0,0.507,1.085,0,1.083,0,1.013,0,1.013,828702,607915,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000047,"FNS-Financial Management Support System (FMSS)",005-000000047,"	04",005-84-3510,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","	005","	84",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828703,607916,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000047,"FNS-Financial Management Support System (FMSS)",005-000000047,"	04",005-84-3505,"Supplemental Nutrition Assistance Program","	005","	84",,4.761,4.899,4.99,0,0,0.745,0,0.756,0,0.756,4.761,0,4.154,0,4.234,0,4.234,828704,607916,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000047,"FNS-Financial Management Support System (FMSS)",005-000000047,"	04",005-84-3508,"Nutrition Programs Administration","	005","	84",,0.065,0.067,0.069,0,0,0,0,0,0,0,0.065,0,0.067,0,0.069,0,0.069,828705,607916,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000047,"FNS-Financial Management Support System (FMSS)",005-000000047,"	04",005-84-3539,"Child Nutrition Programs","	005","	84",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828706,607916,2019-04-05,12:49:40
"	005","Department of Agriculture","	53",005-000000050,"NRCS-Water and Climate Information System (WCIS)",005-000000050,"	04",005-53-1000,"Private Lands Conservation Operations","	005","	53",,0.496,0.446,0.1,0.254,0,0.18,0,0,0,0,0.242,0,0.266,0,0.1,0,0.1,828707,607917,2019-04-05,12:49:40
"	005","Department of Agriculture","	53",005-000000050,"NRCS-Water and Climate Information System (WCIS)",005-000000050,"	04",005-53-1004,"Farm Security and Rural Investment Programs","	005","	53",,0.62,0.56,0.182,0.317,0,0.226,0,0,0,0,0.303,0,0.334,0,0.182,0,0.182,828708,607917,2019-04-05,12:49:40
"	005","Department of Agriculture","	47",005-000000063,"RMA-13 Emerging Information Technology Architecture (EITA)",005-000000063,"	04",005-47-2707,"RMA Salaries and Expenses","	005","	47",,3.501,2.049,1.943,0.95,0,0,0,0,0,0,2.551,0,2.049,0,1.943,0,1.943,828709,607918,2019-04-05,12:49:40
"	005","Department of Agriculture","	47",005-000000063,"RMA-13 Emerging Information Technology Architecture (EITA)",005-000000063,"	04",005-47-4085,"Federal Crop Insurance Corporation Fund","	005","	47",,33.876,9.484,9,21.82,0,0,0,0,0,0,12.056,0,9.484,0,9,0,9,828710,607918,2019-04-05,12:49:40
"	005","Department of Agriculture","	32",005-000000074,"APHIS-VS Laboratory and Regulatory Applications (VSLRA)",005-000000074,"	04",005-32-1600,"Salaries and Expenses","	005","	32",,3.067,2.345,2.2,1.187,0,1.124,0,0.74,0,0.74,1.88,0,1.221,0,1.46,0,1.46,828712,607920,2019-04-05,12:49:40
"	005","Department of Agriculture","	07",005-000000097,"DM-OCR-Civil Rights Enterprise System",005-000000097,"	04",005-10-2300,"Office of the General Counsel","	005","	10",,0.29,0.223,0.235,0.08,0,0.066,0,0.07,0,0,0.21,0,0.157,0,0.165,0,0,828713,607921,2019-04-05,12:49:40
"	005","Department of Agriculture","	35",005-000000123,"FSIS-AssuranceNet (AN)",005-000000123,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,0.431,0.759,0.3,0.2,0,0.228,0,0.3,0,0,0.231,0,0.531,0,0,0,0,828729,607923,2019-04-05,12:49:40
"	005","Department of Agriculture","	35",005-000000132,"FSIS-Incident Management System (FIMS)",005-000000132,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,0.232,0.696,0.301,0,0,0.693,0,0.3,0,0,0.232,0,0.003,0,0.001,0,0,828730,607924,2019-04-05,12:49:40
"	005","Department of Agriculture","	35",005-000000133,"FSIS-Label Submission and Approval System (LSAS)",005-000000133,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,0.243,0.721,0.041,0.08,0,0.68,0,0,0,0,0.163,0,0.041,0,0.041,0,0,828731,607925,2019-04-05,12:49:40
"	005","Department of Agriculture","	35",005-000000141,"FSIS-Web Services (WS)",005-000000141,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,3.528,5.433,3.291,0,0,2.41,0,0,0,0,3.528,0,3.023,0,3.291,0,0,828732,607926,2019-04-05,12:49:40
"	005","Department of Agriculture","	35",005-000000156,"FSIS-USDA Meat & Poultry Hotline (Hotline)",005-000000156,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,0.213,0.585,0.1,0,0,0.585,0,0.1,0,0,0.213,0,0,0,0,0,0,828733,607927,2019-04-05,12:49:40
"	005","Department of Agriculture","	32",005-000000160,"APHIS-Emergency Management Response Services 2.0 (EMRS-2)",005-000000160,"	04",005-32-1600,"Salaries and Expenses","	005","	32",,3.961,3.75,4.46,0.63,0,0.431,0,1.141,0,0.431,3.331,0,3.319,0,3.319,0,3.319,828734,607928,2019-04-05,12:49:40
"	005","Department of Agriculture","	35",005-000000167,"FSIS-Human Resource GSS (HR GSS)",005-000000167,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,3.044,0.304,0.303,2.69,0,0.3,0,0.3,0,0,0.354,0,0.004,0,0.003,0,0,828735,607929,2019-04-05,12:49:40
"	005","Department of Agriculture","	35",005-000000168,"FSIS-Financial Management General Support System (FM GSS)",005-000000168,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,1.678,0.85,0,1.342,0,0.85,0,0,0,0.85,0.336,0,0,0,0,0,0,828736,607930,2019-04-05,12:49:40
"	005","Department of Agriculture","	32",005-000000185,"APHIS-Certification, Accreditation, Registration, Permitting, and Other Licensing (CARPOL)",005-000000185,"	04",005-32-1600,"Salaries and Expenses","	005","	32",,13.821,11.809,11.809,10.259,0,7.971,0,7.971,0,7.971,3.562,0,3.838,0,3.838,0,3.838,828737,607931,2019-04-05,12:49:40
"	005","Department of Agriculture","	03",005-000000187,"DA-OHRM-OneUSDA Human Resources Enterprise Solution Project",005-000000187,"	04",005-04-4609,"Working Capital Fund","	005","	04",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828759,607933,2019-04-05,12:49:40
"	005","Department of Agriculture","	03",005-000000187,"DA-OHRM-OneUSDA Human Resources Enterprise Solution Project",005-000000187,"	04",005-04-4609,"Working Capital Fund","	005","	04",,8.372,8.789,9.228,0,0,0,0,0,0,0,8.372,0,8.789,0,9.228,0,0,828760,607933,2019-04-05,12:49:40
