"Unique Investment Identifier","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","PIID/Ref PIID","Planned Acquisitions","Updated Date","Updated Time"
005-000000018,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","AMS-Web-Based Supply Chain Management (WBSCM)",GSQ0016AJ0002,NO,09/21/2018,17:53:31
005-000000028,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FS-Resource Ordering and Status System (ROSS)",AG-024B-D-27-0030,NO,02/28/2019,20:26:10
005-000000035,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","DA-OCIO-e-Learning/AgLearn Combined",12314418P0020|AG-3144-D-16-0510|AG-3144-P-17-0176|AG-3144-D-15-0027|AG-3151-D-16-0059|12314418P0016|AG-3144-C-16-0019|AG-3144-P-16-0177|AG-3144-C-15-0023,YES,02/27/2019,20:27:28
005-000000039,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","DA-OCP-Integrated Acquisition System (IAS)",AG3142C170008|12314218F0104|AG3142D140075,YES,09/21/2018,17:59:01
005-000000042,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FNS-Anti-Fraud Locator Using EBT Retailer Transactions (ALERT)",AG3198K150047|AG3198K170030,NO,09/21/2018,17:08:01
005-000000047,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FNS-Financial Management Support System (FMSS)",AG3198K170024,NO,09/21/2018,17:08:02
005-000000050,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Water and Climate Information System (WCIS)","12314418F0166|AG-3144-D-12-0121 Mod 24",YES,09/21/2018,12:54:13
005-000000063,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","RMA-13 Emerging Information Technology Architecture (EITA)",GSQ0016AJ0021,NO,09/21/2018,12:41:47
005-000000123,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-AssuranceNet (AN)",AG3A94D140214|AG3A94D140231|AG3A94S160052,NO,09/21/2018,13:03:58
005-000000132,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Incident Management System (FIMS)",AG3A94D170052|AG3A94D140214|AG3A94D140214|AG3A94D150031|AG3A94D150199,NO,09/21/2018,13:03:58
005-000000133,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Label Submission and Approval System (LSAS)",AG3A94D140214|AG3A94D170052|AG3A94D140214|AG3A94D150031|AG-3A94-D13-0217,YES,09/21/2018,13:03:58
005-000000141,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Web Services (WS)",AG3A94D140214|AG3A94D140231|AG3A94D140176,NO,09/21/2018,13:05:25
