"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Revision Date","Revision Reason",Comment,"Project ID","Area of Change","Timeframe of Investment","(Legacy) Total Cost","(Legacy) Planned Completion Date","Updated Date","Updated Time","Baseline ID"
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2010-08-31,"External - Direct Mandate","Other- Required for ITDB submission.",,,,472.356376,2020-09-20,2010-08-31,13:58:22,1074
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2010-08-31,"Rebaseline - other","Other- Required for ITDB submission.",,,,446.624092,2018-09-30,2010-09-17,13:51:59,1470
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2011-02-03,"Rebaseline - other","Errors corrected.",,,,453.162647,2018-09-30,2011-02-15,17:21:16,2806
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2011-02-23,"Rebaseline - other","Addressed issues.",,,,453.135409,2018-09-30,2011-02-23,11:27:03,3083
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2011-02-23,Correction,"Other- Required for ITDB submission.",,,,453.175429,2018-09-30,2011-02-23,15:15:11,3106
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2011-02-23,Correction,"Minor corrections.",,,,453.175429,2018-09-30,2011-02-23,17:19:53,3123
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-05-31,Correction,"Removed Operational Risks from C1. Table.  AGS",,,2007-2017,,,2012-06-30,17:57:43,8627
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-05-31,Correction,"Removed Operational Risks from C1. Table.  AGS",,,2007-2017,,,2012-08-01,16:22:25,8879
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-09-13,Correction,"Correction to meet ITDB validation process requirements in order to comply with new OMB rules.",,,2007-2020,,,2012-09-14,22:16:51,10451
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-09-14,"Rebaseline - current baseline is no longer useful as a management tool","projects have been updated, added, and corrected for this investment.  AGS",,,2007-2020,,,2012-09-17,11:12:33,10517
