"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Objectives / Expected Outcomes","Start Date","Completion Date","Project Life Cycle Cost","SDLC Methodology","Release Every Six Mo","Release Every Six Mo Comment","Production Deployment Date","Funded by TMF or IT WCF Funding?","Commercial Solution(s) Adoption","Commercial Solution(s) Reasoning","Commercial Solution(s) Costs","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	689",7143,"	689","Colorado Wide Area Multilateration (WAM Phase 2)","Implement ADS-B/multilateration surveillance systems at 4 Colorado mountain airports - APB MILESTONE.",2010-10-01,2013-07-31,9.435291,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,0,0,Green,-0.914001,-9.69,Green,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	690",7145,"	690","3 Nautical Mile Separation","Enable three-mile separation standards in order to move airplanes more efficiently through the NAS.",2011-07-01,2012-06-30,3.489873,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,0,0,Green,0.397485,11.39,Yellow,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	691",7147,"	691","Automation Upgrades","The Automation Upgrades project includes ERAM, ATOP and STARS.",2010-10-01,2016-09-30,89.404723,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,22,1,Green,7.017752,7.85,Green,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	692",7149,"	692","Air Traffic Control (ATC) Surface Advisory Services","Integration of aircraft position data from ADS-B transmissions into ATC Surface Advisory Services.",2010-10-01,2015-09-30,137.056153,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,0,0,Green,-4.837969,-7.07,Green,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	693",7151,"	693","Ground Based Interval Management (GIM)","Display of along-track guidance, control and indications, and alerts.",2010-10-01,2015-09-30,122.622689,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,12,0.66,Green,22.666387,18.48,Yellow,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	694",7153,"	694","En Route ATC Separation Services","Integration of aircraft position data from ADS-B transmissions into En Route ATC Separation Services.",2011-10-01,2015-09-30,4.651134,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,-18,-1.29,Green,-2.049014,-44.05,Red,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	695",7155,"	695","Terminal ATC Separation Services","Terminal ATC Separation Services.",2010-10-01,2016-09-30,25.265631,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,2,0.09,Green,-1.09417,-4.33,Green,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	696",7157,"	696","In Trail Procedures","Provide operational benefits in non-surveillance airspace by enabling ""in-trail"" climbs/descents at reduced separation distances.",2010-10-01,2013-08-31,13.663148,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,0,0,Green,3.297506,24.13,Yellow,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	697",7159,"	697","Flight Deck Based Interval Management - Separation (FIM-S)","FIM-S is a set of capabilities and procedures supported by ground and flight deck (FIM) components for controllers and flight crews to use in combination to manage inter-aircraft spacing.",2011-04-01,2014-05-31,7.863588,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,1,0.09,Green,1.563102,19.88,Yellow,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	698",7161,"	698","Traffic Situational Awareness with Alerts (TSAA)","Enhance safety in the National Airspace System by providing alerts to General Aviation pilots of conflicting airborne traffic.",2010-10-01,2014-03-31,7.41409,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,0,0,Green,0.964124,13,Yellow,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	699",7163,"	699","Avionics Upgrades","Upgrade Avionics 260B and 282B.",2010-10-01,2015-05-31,23.278484,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,41,2.41,Green,1.696351,7.29,Green,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	700",7165,"	700","Service Volumes ISAT","Critical Services Implementation Service Acceptance Testing (ISAT).",2010-10-01,2013-12-31,168.447633,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,-120,-10.11,Yellow,26.69164,15.85,Yellow,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	701",7167,"	701","Subscription Fees","Subscription Fees.",2010-10-01,2014-09-30,590.25108,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,0,0,Green,-0.104364,-0.02,Green,Completed,09/18/2018,13:10:54
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	20977",7701,"	20977","ADS-B  FY14-FY20","Baseline activities for ASD-B services, Gulf of Mexico Expansion, and In Trail Procedures for fiscal years 2014 through 2020.",2013-10-01,2020-09-30,1099.508,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,0,0,Green,55.714515,5.5,Green,In-progress,01/28/2019,17:34:13
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	21871",7703,"	21871","Space Based ADS-B","The Space Based ADS-B project is focused on providing ATC surveillance separation services (vis-a-vis ADS-B) to aircraft flying in non-radar airspace, where the deployment of ground infrastructure is not feasible.  The key objectives are to increase efficiency through reduced separation and optimized flight altitudes to minimize fuel burn, as well as to increase safety through more frequent surveillance reports to assist with search and rescue missions.",2013-04-01,2015-10-26,15.50599,"3 - Not Primarily a Software Development Project",n/a,"This is not primarily a software development project.",,N/A,N/A,N/A,N/A,21,2.24,Green,-0.738,-4.96,Green,Completed,09/18/2018,13:10:55
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",PRISM7,1580,PRISM7-1,"GLAAS PRISM 7.1 Upgrade","This project upgrades the PRISM 6.5 COTS Acquisition and Assistance software platform that GLAAS is built upon to version 7.1. PRISM 7.1 introduces a new application framework and redesigned user interface. GLAAS is currently live and the PRISM 6.5 software version will remain supported by the vendor, Compusearch Software Systems, through the end of CY2012.",2012-02-01,2013-10-30,6.836,"3 - Not Primarily a Software Development Project",no,"A 6-month release cycle does not meet core requirements for system stability and user training.",,,,,,15,2.35,Green,0.055186,2.46,Green,Completed,01/27/2017,17:59:23
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",PRISM73,8321,PRISM73,"GLAAS PRISM 7.3 Upgrade","This project upgrades the PRISM 7.1 COTS Acquisition and Assistance software platform that GLAAS is built upon to version 7.3. PRISM 7.3 introduces a new application framework and redesigned user interface for the contracts, solicitation, purchase order, delivery order/task order and BPA modules.  GLAAS is currently live and the PRISM 7.1 software version will remain supported by the vendor, Compusearch Software Systems, through the end of CY2014.",2013-10-01,2017-05-10,9.061745,"3 - Not Primarily a Software Development Project",no,"A 6-month release cycle does not meet core requirements for system stability and user training.",2017-04-10,N/A,N/A,N/A,N/A,-30,-2.33,Green,0.789958,9.7,Green,Completed,09/20/2018,14:14:03
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",FISSO,14684,,"GLAAS Financial Integration Single Sign-On","This project will implement a single sign-on solution that bridges the authentication within the financial integration between the GLAAS and Phoenix system.",2016-10-01,2018-04-30,0.35,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-04-27,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,Completed,09/20/2018,14:14:03
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",GLAAS43,15120,,"GLAAS 4.3","This project upgrades the PRISM 7.2 COTS Acquisition and Assistance software platform that GLAAS is built upon to version 7.3.  GLAAS 4.3 will include Financial Integration Single Sign On to the USAID Financial System and a platform upgrade to Windows Server 2012 and Oracle 12 TDE to maintain support from the COTS vendor and meet security compliance requirements.",2017-02-28,2018-07-31,2.237,"3 - Not Primarily a Software Development Project",no,"A 6-month release cycle does not meet core requirements for system stability and user training.",2018-06-29,N/A,N/A,N/A,N/A,0,0,Green,0.033936,1.52,Green,Completed,10/04/2018,18:00:44
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting","	1",1677,,"Obligation Tagging (Phase 1)","A new obligation tagging tool will enable USAID staff to ""tag"" financial transactions in a system outside of Phoenix, for tracking and reporting purposes. USAID Missions have frequently voiced the need for a system that would enable them to track mission-specific data that is not captured in the accounting system. This would enable staff to report on financial pipeline without doing significant re-work each quarter to manually generate reports.",2011-08-29,2012-04-20,0.33,"3 - Not Primarily a Software Development Project",no,"Followed its own release schedule",,,,,,3,1.28,Green,0,0,Green,Completed,01/27/2017,18:05:34
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting","	7",1683,,"Preliminary Planning for Phoenix Upgrade","Initial planning for the next major upgrade of the baseline software. This project includes reviewing release schedules and features with the vendor, coordinating with other USG agencies that use the same COTS product, and deciding upon the software version and deployment timeline. The upgrade is currently planned for FY 2013.",2011-12-01,2012-06-30,0.048,"3 - Not Primarily a Software Development Project",no,"Followed its own release schedule",,,,,,15,5.49,Green,0,0,Green,Completed,01/27/2017,18:05:34
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting","	9",3183,,"Obligation Tagging (PhoenixMAPPR) Phase 2","USAID has successfully deployed the first version of PhoenixMAPPR (obligation tagging tool) to several overseas missions. USAID will develop and deploy the next version of the tool, PhoenixMAPPR 1.1, which contains enhancements based on user requests.",2012-06-11,2012-07-17,0.035,"3 - Not Primarily a Software Development Project",no,"Followed its own release schedule",,,,,,0,0,Green,0,0,Green,Completed,01/27/2017,18:05:34
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting","	10",6627,,"Phoenix 7.0.2 Upgrade","Upgrade the core Momentum software from version 6.3.1 to version 7.0.2, in order to be compliant with new federal requirements, make improvements to hardware, operating system and databases, bring USAID onto a supported software version, and improve usefulness and efficiency for end users.",2012-05-01,2013-12-31,3.415895,"3 - Not Primarily a Software Development Project",no,"Followed its own release schedule",,,,,,0,0,Green,0.24072,7.05,Green,Completed,01/27/2017,18:05:34
