"Performance Gov ID","Agency Code","Agency Name",Description,"ASO / APG"
"	0","	005","Department of Agriculture","Not Applicable",
005APG18001,"	005","Department of Agriculture","Improve the Customer Experience at USDA",APG
005APG18002,"	005","Department of Agriculture","Modernize USDA's Information Technology",APG
005SO18001,"	005","Department of Agriculture","Modernize information technology infrastructure, facilities and support services to improve the customer experience.",ASO
005SO18002,"	005","Department of Agriculture","Maintain a high performing workforce through employee engagement and empowerment.",ASO
005SO18004,"	005","Department of Agriculture","Improve stewardship of resources and utilize data-driven analyses to maximize the return on investment.",ASO
005SO18005,"	005","Department of Agriculture","Provide an effective financial safety net for farmers and ranchers to sustain economically viable agricultural production and support rural jobs and economic growth.",ASO
005SO18006,"	005","Department of Agriculture","Increase agricultural opportunities and support economic growth by creating new markets and supporting a competitive agricultural system.",ASO
005SO18008,"	005","Department of Agriculture","Expand international marketing opportunities.",ASO
005SO18009,"	005","Department of Agriculture","Prevent or resolve barriers to trade that hinder U.S. food and agricultural exports.",ASO
005SO18010,"	005","Department of Agriculture","Build demand in developing countries through trade capacity building.",ASO
005SO18012,"	005","Department of Agriculture","Enhance conservation planning with science-based tools and information.",ASO
005SO18013,"	005","Department of Agriculture","Promote productive working lands.",ASO
005SO18014,"	005","Department of Agriculture","Enhance productive agricultural landscapes.",ASO
005SO18015,"	005","Department of Agriculture","Contribute to the economic health of rural communities through use and access opportunities.",ASO
005SO18016,"	005","Department of Agriculture","Ensure lands and watersheds are sustainable, healthy, and productive.",ASO
005SO18017,"	005","Department of Agriculture","Mitigate wildfire risk.",ASO
005SO18018,"	005","Department of Agriculture","Prevent foodborne illness and protect public health.",ASO
005SO18019,"	005","Department of Agriculture","Provide access to safe and nutritious food for low-income people while supporting a pathway to self-sufficiency.",ASO
005SO18261,"	005","Department of Agriculture","Reduce the regulatory burden and streamline processes.",ASO
005SO18264,"	005","Department of Agriculture","Support and encourage healthy dietary choices through data-driven, flexible, customer-focused approaches.",ASO
005SO18287,"	005","Department of Agriculture","Protect agricultural health by preventing and mitigating the spread of agricultural pests and disease.",ASO
005SO18288,"	005","Department of Agriculture","Expand rural business opportunity and rural quality of life with access to capital; improvd infrastructure, broadband access, and connectivity; and support for workforce availability.",ASO
"	0","	006","Department of Commerce","Not Applicable",
006APG18003,"	006","Department of Commerce","Accelerate Patent Processing",APG
006APG18004,"	006","Department of Commerce","Mitigate Flood Impacts",APG
006APG18006,"	006","Department of Commerce","Remove Foreign Trade Barriers",APG
006APG18077,"	006","Department of Commerce","Prepare to Conduct a Complete and Accurate 2020 Decennial Census",APG
006SO18021,"	006","Department of Commerce","Expand Commercial Space Activities",ASO
006SO18022,"	006","Department of Commerce","Advance Innovation",ASO
006SO18023,"	006","Department of Commerce","Strengthen Intellectual Property Protection",ASO
006SO18024,"	006","Department of Commerce","Increase Aquaculture Production",ASO
006SO18025,"	006","Department of Commerce","Reduce and Streamline Regulations",ASO
006SO18026,"	006","Department of Commerce","Strengthen Domestic Commerce and the U.S. Industrial Base",ASO
006SO18027,"	006","Department of Commerce","Increase U.S. Exports",ASO
006SO18028,"	006","Department of Commerce","Increase Inward Investment Into the United States",ASO
006SO18029,"	006","Department of Commerce","Enforce the Nation's Trade Laws and Security Laws",ASO
006SO18030,"	006","Department of Commerce","Enhance the Nation's Cybersecurity",ASO
006SO18031,"	006","Department of Commerce","Reduce Extreme Weather Impacts",ASO
006SO18032,"	006","Department of Commerce","Deploy Public Safety Broadband",ASO
006SO18033,"	006","Department of Commerce","Conduct a Full, Fair, and Accurate Decennial Census",ASO
006SO18034,"	006","Department of Commerce","Provide Accurate Data to Support Economic Activity",ASO
006SO18035,"	006","Department of Commerce","Engage Commerce Employees",ASO
006SO18036,"	006","Department of Commerce","Accelerate Information Technology Modernization",ASO
006SO18037,"	006","Department of Commerce","Consolidate Functions for Cost Savings",ASO
006SO18250,"	006","Department of Commerce","Conduct a Complete and Accurate Decennial Census",ASO
"	0","	007","Department of Defense","Not Applicable",
007APG18007,"	007","Department of Defense","Financial Management",APG
007APG18008,"	007","Department of Defense","Force Readiness",APG
007APG18009,"	007","Department of Defense","Reduce Regulatory Burden",APG
007SO18266,"	007","Department of Defense","Restore Military Readiness to Build a More Lethal Force",ASO
007SO18267,"	007","Department of Defense","Lay the foundation for future readiness through recapitalization, innovation, and modernization",ASO
007SO18269,"	007","Department of Defense","Enhance information technology and cybersecurity capabilities",ASO
007SO18270,"	007","Department of Defense","Ensure the best intelligence, counterintelligence, and security support to DoD operations",ASO
007SO18271,"	007","Department of Defense","Implement initiatives to recruit and retain the best total force to bolster capabilities and readiness",ASO
007SO18272,"	007","Department of Defense","Reform the Security Cooperation Enterprise",ASO
007SO18273,"	007","Department of Defense","Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",ASO
007SO18274,"	007","Department of Defense","Optimize organizational structures",ASO
007SO18275,"	007","Department of Defense","Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",ASO
"	0","	009","Department of Health and Human Services","Not Applicable",
009APG18078,"	009","Department of Health and Human Services","Health Security",APG
009APG18080,"	009","Department of Health and Human Services","Combined Data Analyses",APG
009APG18081,"	009","Department of Health and Human Services","Serious Mental Illness",APG
009APG18088,"	009","Department of Health and Human Services","Reducing Opioid Morbidity and Mortality",APG
009SO18204,"	009","Department of Health and Human Services","Promote affordable healthcare, while balancing spending on premiums, deductibles, and out-of-pocket costs",ASO
009SO18205,"	009","Department of Health and Human Services","Expand safe, high-quality healthcare options, and encourage innovation and competition",ASO
009SO18206,"	009","Department of Health and Human Services","Improve Americans' access to healthcare and expand choices of care and service options",ASO
009SO18207,"	009","Department of Health and Human Services","Strengthen and expand the healthcare workforce to meet America's diverse needs",ASO
009SO18208,"	009","Department of Health and Human Services","Empower people to make informed choices for healthier living",ASO
009SO18209,"	009","Department of Health and Human Services","Prevent, treat, and control communicable diseases and chronic conditions",ASO
009SO18210,"	009","Department of Health and Human Services","Reduce the impact of mental and substance use disorders through prevention, early intervention, treatment, and recovery support",ASO
009SO18211,"	009","Department of Health and Human Services","Prepare for and respond to public health emergencies",ASO
009SO18212,"	009","Department of Health and Human Services","Encourage self-sufficiency and personal responsibility, and eliminate barriers to economic opportunity",ASO
009SO18213,"	009","Department of Health and Human Services","Safeguard the public against preventable injuries and violence or their results",ASO
009SO18214,"	009","Department of Health and Human Services","Support strong families and healthy marriage, and prepare children and youth for healthy, productive lives",ASO
009SO18215,"	009","Department of Health and Human Services","Maximize the independence, well-being, and health of older adults, people with disabilities, and their families and caregivers",ASO
009SO18216,"	009","Department of Health and Human Services","Improve surveillance, epidemiology, and laboratory services",ASO
009SO18217,"	009","Department of Health and Human Services","Expand the capacity of the scientific workforce and infrastructure to support innovative research",ASO
009SO18218,"	009","Department of Health and Human Services","Advance basic science knowledge and conduct applied prevention and treatment research to improve health and development",ASO
009SO18219,"	009","Department of Health and Human Services","Leverage translational research, dissemination and implementation science, and evaluation investments to support adoption of evidence-informed practices",ASO
009SO18220,"	009","Department of Health and Human Services","Ensure responsible financial management",ASO
009SO18221,"	009","Department of Health and Human Services","Manage human capital to achieve the HHS mission",ASO
009SO18222,"	009","Department of Health and Human Services","Optimize information technology investments to improve process efficiency and enable innovation to advance program mission goals",ASO
009SO18224,"	009","Department of Health and Human Services","Protect the safety and integrity of our human, physical, and digital assets",ASO
"	0","	010","Department of the Interior","Not Applicable",
010APG18019,"	010","Department of the Interior","Ensure Clear, Quantitative Criteria for Threatened and Endangered Species Recovery Plans",APG
010APG18020,"	010","Department of the Interior","Improve Access to Leasing Public Lands for Oil, Gas, and Mineral Extraction",APG
010APG18021,"	010","Department of the Interior","Improve Condition of Priority Assets Necessary for Mission Delivery Across the Department of the Interior",APG
010APG18022,"	010","Department of the Interior","Improve Processing of Drilling Applications",APG
010APG18023,"	010","Department of the Interior","Water Conservation and Supply Enhancement",APG
010APG18083,"	010","Department of the Interior","Species Status Assessments (SSAs) for Listings with State Input",APG
010SO18229,"	010","Department of the Interior","Utilize science in land, water, species and habitat management supporting decisions and activities",ASO
010SO18231,"	010","Department of the Interior","Foster partnerships to achieve balanced stewardship and use of our public lands",ASO
010SO18232,"	010","Department of the Interior","Inform land use planning processes especially for public use and access",ASO
010SO18233,"	010","Department of the Interior","Ensure energy and economic security for America",ASO
010SO18234,"	010","Department of the Interior","Ensure access to mineral resources",ASO
010SO18236,"	010","Department of the Interior","Focus timber programs on ""healthy forests"" lifecycle",ASO
010SO18237,"	010","Department of the Interior","Manage grazing resources",ASO
010SO18238,"	010","Department of the Interior","Expand hunting, fishing, and other recreation on DOI lands and waters",ASO
010SO18239,"	010","Department of the Interior","Enhance public satisfaction at DOI sites",ASO
010SO18240,"	010","Department of the Interior","Support tribal self-determination, self-governance, and sovereignty",ASO
010SO18241,"	010","Department of the Interior","Fulfill fiduciary trust",ASO
010SO18242,"	010","Department of the Interior","Strengthen economic and health capacities in the US Territories, and fulfill US compact obligations to the freely associated states",ASO
010SO18243,"	010","Department of the Interior","Ensure emergency preparedness & DOI law enforcement staffing addresses public safety risks",ASO
010SO18244,"	010","Department of the Interior","Support securing our southern continental US border",ASO
010SO18245,"	010","Department of the Interior","Manage wildland fire to reduce risk and improve ecosystem and community resilience",ASO
010SO18246,"	010","Department of the Interior","Provide science to safeguard communities from natural hazards",ASO
010SO18247,"	010","Department of the Interior","Align DOI organizational structure and workforce to improve partnership engagement and mission delivery",ASO
010SO18248,"	010","Department of the Interior","Reduce administrative and regulatory burden",ASO
010SO18255,"	010","Department of the Interior","Prioritize DOI infrastructure needs and reduce deferred maintenance backlog",ASO
010SO18256,"	010","Department of the Interior","Manage DOI water storage and delivery to resolve conflicts and expand capacity",ASO
010SO18257,"	010","Department of the Interior","Ensure public receives fair market value for resources; and recover costs where appropriate",ASO
"	0","	011","Department of Justice","Not Applicable",
011APG18096,"	011","Department of Justice","Combate Cyber-Enabled Threats and Attacks",APG
011APG18097,"	011","Department of Justice","Violent Crime Reduction",APG
011APG18098,"	011","Department of Justice","Disrupt Drug Trafficking to Curb Illicit Drug Use",APG
011SO18276,"	011","Department of Justice","Disrupt and defeat terrorist operations",ASO
011SO18277,"	011","Department of Justice","Combat cyber-based threats and attacks",ASO
011SO18278,"	011","Department of Justice","Combat unauthorized disclosures, insider threats, and hostile intelligence activities",ASO
011SO18279,"	011","Department of Justice","Prioritize criminal immigration enforcement",ASO
011SO18280,"	011","Department of Justice","Ensure an immigration system that respects the rule of law, protects the safety of U.S. Citizens and serves the national interest",ASO
011SO18281,"	011","Department of Justice","Combat violent crime, promote safe communities, and uphold the rights of victims of crime",ASO
011SO18282,"	011","Department of Justice","Disrupt and dismantle drug trafficking organizations to curb opioid and other illicit drug use in our nation",ASO
011SO18283,"	011","Department of Justice","Uphold the rule of law and integrity in the proper administration of justice",ASO
011SO18284,"	011","Department of Justice","Defend first amendment rights to exercise religion and free speech",ASO
011SO18285,"	011","Department of Justice","Pursue regulatory reform initiatives",ASO
011SO18286,"	011","Department of Justice","Achieve management excellence",ASO
"	0","	012","Department of Labor","Not Applicable",
012APG18027,"	012","Department of Labor","Administration: Implement an Enterprise-Wide Shared Services Model",APG
012APG18028,"	012","Department of Labor","Combat the Opioid Epidemic",APG
012APG18070,"	012","Department of Labor","Worker Safety: Reduce Miner Injuries",APG
012APG18071,"	012","Department of Labor","Worker Safety: Reduce Trenching and Excavation Hazards",APG
