"Agency Code","Agency Name","Previous UII","Unique Investment Identifier","Shared Services Category","Shared Services Identifier","LOB Title","Mission Support Investment Category","Bureau Code","Bureau Name","Part Of IT Portfolio","Mission Delivery and Management Support Area","Type of Investment","National Security Systems Identifier","IT Infrastructure and Management Type","Line Item Descriptor","Investment Title","Investment Description","FEA BRM Services - Primary service area","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY Budget Authority Agency Funding ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY Budget Authority Agency Funding ($ M)","Cloud Computing Alternatives Evaluation","Total Cloud PaaS/IaaS Cost CY","Total Cloud SaaS Cost CY","Total Other Managed Services Cost CY","Budget Year","Derived Status","Updated Date","Updated Time"
"	005","Department of Agriculture",005-000000039,005-000000039,"00 - Agency Investments",,N/A,"01 - Not Applicable","	03","Office of the Secretary","01 - Mission Delivery","	01","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DA-OCP-Integrated Acquisition System (IAS)","IAS is a department-wide initiative to provide and implement e-government in acquisition.

Formerly: DM-OPPM-Integrated Acquisition System (IAS).","143 - Goods and Services Acquisition",14.448,13.141,14.108,0,0,3.251,0,3.527,0,3.527,14.448,0,9.89,0,10.581,0,10.581,"	1",2.749,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000000187,005-000000187,"00 - Agency Investments",,N/A,"03 - Human Resources","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DA-OHRM-OneUSDA Human Resources Enterprise Solution Project","Generally a DME investment for Enterprise-wide HR IT applications; includes minor systems procured through WCF and Greenbook funding.","254 - Employee Benefits and Compensation",8.372,8.789,9.228,0,0,0,0,0,0,0,8.372,0,8.789,0,9.228,0,0,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-999990020,005-999990020,"24 - E-Gov & LoB initiatives","0020 - Benefits.Gov",Benefits.Gov,"06 - Grants Management","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line",DM-OCIO-EGOV-Benefits.gov,"Provides a single point of access for citizens to locate and determine potential eligibility for government benefits and services. Investment represents USDA's participation in this Presidential initiative.","011 - Business and Industry Development",0.413,0.419,0.466,0,0,0,0,0,0,0,0.413,0,0.419,0,0.466,0,0.466,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999990060,005-999990060,"24 - E-Gov & LoB initiatives","0060 - E-Rulemaking",E-Rulemaking,"07 - Other","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line",DM-OCIO-EGOV-E-Rulemaking,"Improves the access to, and quality of, the rulemaking process for individuals, businesses, and other government entities.  Investment represents USDA's participation in this Presidential initiative.","129 - Reporting and Information",0.7,0.579,0.52,0,0,0,0,0,0,0,0.7,0,0.579,0,0.52,0,0,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999990230,005-999990230,"24 - E-Gov & LoB initiatives","0230 - Integrated Award Environment","Integrated Award Environment","07 - Other","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO-EGOV-Integrated Award Environment","A secure business environment that facilitates and supports cost-effective acquisition of goods and services in support of mission performance.  Investment represents USDA's participation in this Presidential initiative.","145 - Logistics Management",3.748,4.05,2.63,0,0,0,0,0,0,0,3.748,0,4.05,0,2.63,0,0,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999991100,005-999991100,"24 - E-Gov & LoB initiatives","1100 - Financial Management LoB","Financial Management LoB","02 - Financial Management","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO-EGOV-Financial Management LoB","Financial management solution that is efficient and improves business performance while ensuring integrity in accountability, financial controls, and mission effectiveness. Investment represents USDA's participation in this Presidential initiative.","011 - Business and Industry Development",0.168,0.168,0.168,0,0,0,0,0,0,0,0.168,0,0.168,0,0.168,0,0.168,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999991200,005-999991200,"24 - E-Gov & LoB initiatives","1200 - Human Resources LoB","Human Resources LoB","07 - Other","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO-EGOV-Human Resources LoB","Streamlines and automates the electronic exchange, reporting, and analysis of Federal employee HR data.  Investment represents USDA's participation in this Presidential initiative.","251 - Staffing and Recruiting",0.274,0.274,0.274,0,0,0,0,0,0,0,0.274,0,0.274,0,0.274,0,0,"	4",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",,005-999991220,"48 - Multi-agency collaboration","0150 - Multi-agency collaboration",N/A,"07 - Other","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line",DM-OCIO-EGOV-E-Training,"Services acquired through GoLearn.Gov. provide cost-effective economies of scale for the delivery of e-Training services to Federal, state, and local government organizations. Investment represents USDA's participation in this Presidential initiative.","255 - Employee Performance Management",2.64,2.64,2.64,0,0,0,0,0,0,0,2.64,0,2.64,0,2.64,0,0,"	5",0,0,0,2020,New,2019-04-05,12:49:41
"	005","Department of Agriculture",005-999991219,005-999991219,"48 - Multi-agency collaboration","0140 - Multi-agency collaboration",N/A,"03 - Human Resources","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO-EGOV-Enterprise HR Integration","Streamlines and automates the electronic exchange, reporting, and analysis of Federal employee HR data.  Investment represents USDA's participation in this Presidential initiative.","011 - Business and Industry Development",1.86,1.86,1.86,0,0,0,0,0,0,0,1.86,0,1.86,0,1.86,0,0,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999990160,005-999990160,"24 - E-Gov & LoB initiatives","0160 - Grants.Gov",Grants.Gov,"06 - Grants Management","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line",DM-OCIO-EGOV-Grants.gov,"Creates a single portal for all Federal grant customers to find, apply and ultimately manage grants online. Investment represents USDA's participation in this Presidential initiative.","011 - Business and Industry Development",0.494,0.473,0.484,0,0,0,0,0,0,0,0.494,0,0.473,0,0.484,0,0,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
