Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rated Date (Updated Date),Evaluation (by Agency CIO),Comments,Visible on IT Dashboard,CIO Rating ID,Investment Event ID,Updated Time
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","06/29/2009","3","","Yes","383","0","16:38:26"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","08/31/2009","3","","No","384","0","11:47:02"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","09/29/2009","3","","No","385","0","09:44:52"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","10/27/2009","3","","No","386","0","11:59:34"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","11/23/2009","3","","No","387","0","10:23:09"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","12/30/2009","3","","No","388","0","09:28:38"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","01/28/2010","3","","No","389","0","08:29:33"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","01/28/2010","3","","No","390","0","08:39:45"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","02/25/2010","3","","No","391","0","09:12:33"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","04/30/2010","4","","Yes","2765","8285","07:12:54"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","06/03/2010","3","","Yes","3170","12168","10:05:26"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","06/28/2010","4","","Yes","3273","13658","15:21:02"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","07/29/2010","4","This investment is well-managed.","Yes","3717","17319","16:56:59"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","12/30/2010","5","This investment is well-managed.","Yes","4995","42370","16:55:09"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","01/28/2011","5","The agency continues to provide good management the investment.","Yes","5094","44612","14:58:02"
