Unique_Investment_Identifier,Contract_ID,IDV_PIID,Vendor_name,Contract_size,Type of Contract (USAspending),Contract_Description,Timestamp (Contract)
009-000000704,21061,HHSM500200700009I,ACTIONET INCORPORATED,7.98269,Firm Fixed Price,DATA AND DATABASE ADMINISTRATION SUPPORT,2012-03-29 13:26:25
009-000000704,21062,GS06F0542Z,MED TRENDS INCORPORATED,2.020906,Firm Fixed Price,TAS::75 0511::TAS COBOL PROGRAMMING SUPPORT,2012-03-29 13:26:25
009-000000704,21063,HHSM500200700010I,MARICOM SYSTEMS INCORPORATED,27.665055,Cost Plus Award Fee,DATA AND DATABASE ADMINISTRATION SUPPORT,2012-03-29 13:26:25
009-000000704,21066,HHSM500201000002B,"CAS SEVERN, INC.",0.095711,Firm Fixed Price,HHSM-500-2010-00002BHHSM-500-B0022BPA #22,2012-03-29 13:26:25
009-000000714,21075,HHSM500201000026I,"MATHEMATICA POLICY RESEARCH, INC.",1.500111,Firm Fixed Price,MEDICAID STATISTICAL INFORMATION SYSTEM,2012-02-27 13:05:33
009-000000714,21076,HHSM500200500025I,MATHEMATICA POLICY RESEARCH INCORPORATED,7.649625,Cost Plus Fixed Fee,"TAS::75 1701::TAS RECOVERY CER DATA INFRASTRUCTURE MAX PRODUCTION, ENHANCEMENT, AND DATA QUALITY ARRA::YES::ARRA",2012-02-27 13:05:33
009-000000714,21077,HHSM500200700029I,DATA COMPUTER CORPORATION OF AMERICA,5.816783999999999,Cost Plus Fixed Fee,TAS::75 0511::TAS  ENTERPRISE SYSTEMS DEVELOPMENT,2012-02-27 13:16:09
009-000000714,21078,GS35F5120G,DATA COMPUTER CORPORATION OF A,10.543502,Time and Materials,OTHER ADP & TELECOMMUNICATIONS SVCS,2012-02-27 13:16:10
009-000001359,21080,GS35F4689G,CAS SEVERN INCORPORATED,2.111348,Firm Fixed Price,Maintenance and Support Service. Correct IDV ID.,2012-02-23 11:09:55
009-000001361,21081,26301D0050,SYSTEMS RESEARCH AND APPLICATI,89.023763,Combination (two or more),TAS::75 0350::TAS NATIONAL PRACTITIONER DATA BANK-HIPDB 4TH GENERATION,2012-02-24 14:27:33
009-000001361,21083,263010050,SYSTEMS RESEARCH AND APPLICATIONS CORPORATION,4.497626,Fixed Price Incentive,IT AND TELECOM- DATA CENTERS AND STORAGE,2012-02-24 14:27:33
009-000001362,21084,GS35F0304M,VANGENT INCORPORATED,5.03867,Time and Materials,Treasury Account Symbol (TAS): 75 9/0 0389 RPMS applications support,2012-02-23 11:10:09
009-000001362,21085,GS35F0548S,SCIENTIFIC TECHNOLOGIES CORPORATION,0.02046,Firm Fixed Price,HL7 COMMUNICATIONS BRIDGE,2012-02-23 11:07:16
009-000001362,21087,GS35F0343T,CIMARRON MEDICAL INFORMATICS,1.00896,Time and Materials,IT SERVICES,2012-02-23 11:10:09
009-000001362,21088,GS06F0067Z,DATA NETWORKS INCORPORATED,1.0145899999999999,Fixed Price Level of Effort,SOFTWARE QUALITY ASSURANCE AND RELEASE MANAGEMENT FOR THE IHS RESOURCE PATIENT MANAGEMENT SYSTEM (RPMS) SUITE OF APPLICATIONS.,2012-02-23 11:10:09
009-000001362,21089,GS06F0616Z,"DATA NETWORKS, INC.",9.061539,Time and Materials,"THE SCOPE OF WORK WILL INCLUDE PERFORMING SERVICES THAT SUPPORT THE IMPLEMENTATION OF THE IHS IT EPLC PROJECT MANAGEMENT INITIATIVE THROUGHOUT THE OFFICE OF INFORMATION TECHNOLOGY, AS WELL AS OTHER SERVICES THAT SUPPORT THE MISSION OF OIT AND ITS RELATIONSHIP WITH OTHER PROGRAMS WITHIN IHS.",2012-02-23 11:10:09
009-000001362,21090,GS35F0380V,"CAS SEVERN, INC.",5.626666999999999,Time and Materials,SOFTWARE DEVELOPMENT FOR THE INDIAN HEALTH SERVICE,2012-02-23 11:10:09
009-000001362,21091,GS00Q09BGD0061,"VANGENT, INC.",3.3179260000000004,Labor Hours,Meaningful Use for Interoperability Development and Enterprise.,2012-02-23 11:10:09
009-000001362,21092,GS06F0616Z,"DATA NETWORKS, INC.",3.841738,Firm Fixed Price,Indian Health Service Meaningful Use and EHR Certification Management and Area Support,2012-02-23 11:10:09
