Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rebaseline Date,Rebaseline Option,Comment,Project ID,Area of Change,Total Planned Cost of all Activities,Lifecycle Costs (SoF),Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","09/17/2010","Rebaseline - other","Changes required.","","","","","","29.745972","2012-09-30","09/17/2010","13:44:51","1464"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","10/28/2010","Correction","Errors corrected.","","","","","","31.577971","2012-09-30","02/24/2011","11:07:54","3174"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","02/24/2011","Rebaseline - other","Milestones were added and deleted to reflect a more realistic program.","","","","","","91.236971","2014-09-30","02/24/2011","15:59:39","3277"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","02/22/2012","Rebaseline - other","Correction was made to business case to better relect the actual status of the investment.  AGS","1665,1662,1663,1664","Projects, Activities, Metrics","","","1994-2014","","","02/29/2012","11:41:19","7655"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","02/22/2012","Rebaseline - other","Correction was made to business case to better relect the actual status of the investment.  AGS","1665","Projects, Activities","","","1994-2014","","","02/29/2012","11:51:39","7658"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","02/22/2012","Rebaseline - other","Correction was made to business case to better relect the actual status of the investment.  AGS","","Metrics","","","1994-2014","","","03/30/2012","10:09:32","7891"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","05/31/2012","Correction","Correction updating funding difference.  AGS","1665","Projects, Activities","","","1994-2014","","","05/31/2012","17:22:02","8365"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","05/31/2012","Correction","Correction updating funding difference.  AGS","","","","","1994-2014","","","05/31/2012","18:22:44","8371"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","05/31/2012","Correction","Correction updating funding difference.  AGS","","","","","1994-2014","","","05/31/2012","18:39:55","8379"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","05/31/2012","Correction","Correction updating funding difference.  AGS","","SoF","","","1994-2014","","","08/01/2012","16:23:42","8891"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","05/31/2012","Correction","Correction updating funding difference.  AGS","","","","","1994-2014","","","08/01/2012","16:35:50","8915"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","04/28/2010","Internal - Other","Not a real rebaselining.  Several steady state tasks added for out years.  This investment was originally part of the USDA infrastructure business and this is the first year of reporting this investment on its own.","","","","","","95.907630","2011-09-30","04/29/2010","14:15:58","554"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","04/28/2010","Internal - Other","Not a real rebaselining.  Several steady state tasks added for out years.  This investment was originally part of the USDA infrastructure business and this is the first year of reporting this investment on its own.","","","","","","108.533155","2012-09-30","06/02/2010","14:58:11","713"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","04/28/2010","Internal - Other","Not a real rebaselining.  Several steady state tasks added for out years.  This investment was originally part of the USDA infrastructure business and this is the first year of reporting this investment on its own.","","","","","","113.724420","2012-09-30","08/31/2010","13:58:24","1083"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","04/28/2010","Rebaseline - other","Not a real rebaselining.  Several steady state tasks added for out years.  This investment was originally part of the USDA infrastructure business and this is the first year of reporting this investment on its own.","","","","","","106.609205","2012-09-30","09/17/2010","14:09:47","1477"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","11/30/2010","Rebaseline - contract related","Error corrections.","","","","","","108.578061","2012-09-30","11/30/2010","15:46:05","2411"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","12/27/2010","Rebaseline - other","Minor corrections were made to submission.","","","","","","108.453433","2012-09-30","02/24/2011","11:07:54","3175"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","02/24/2011","Rebaseline - other","Rebaseline correction is needed to submit 300 to OMB.Rebaseline other was completed to fix the ID that were not showin up on dashboard.","","","","","","108.453433","2012-09-30","02/24/2011","16:26:11","3283"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","02/25/2011","Rebaseline - other","Fixing PMs per direction OMB.","","","","","","108.453433","2012-09-30","02/25/2011","17:26:17","3467"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","02/26/2011","Correction","Minor corrections to address ITDB submission issues.","","","","","","113.741033","2012-09-30","02/27/2011","11:52:53","3535"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","04/26/2011","Correction","Rebaseline to correct ITDB validation report warnings.","","","","","","113.741033","2012-09-30","04/29/2011","09:12:50","4010"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","05/20/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Update to cost and schedule milestones.","","","","","","113.741032","2012-09-30","05/26/2011","14:25:25","6089"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","06/20/2011","Rebaseline - other","Error on dashboard the agency would like changed.  Noted, agency entered 10/1/11, dashboard showing 10/1/09.  AGS","","","","","","137.246032","2015-09-30","06/29/2011","10:00:36","6178"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","06/20/2011","Rebaseline - other","Error on dashboard the agency would like changed.  Noted, agency entered 10/1/11, dashboard showing 10/1/09.  AGS","","","","","","137.246032","2015-09-30","06/29/2011","10:16:50","6181"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","1762,1763","Projects, Activities","","","1994-2024","","","10/28/2011","10:27:35","6910"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","2938","Projects, Activities, Metrics","","","1994-2024","","","03/30/2012","10:09:35","7893"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","","","","","1994-2024","","","03/30/2012","10:23:46","7903"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","","","","","1994-2024","","","03/30/2012","10:44:17","7917"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","1762,1763","Projects, Activities","","","1994-2024","","","03/30/2012","16:51:18","7951"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","2938","Projects, Activities","","","1994-2024","","","05/31/2012","17:22:05","8367"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","","","","","1994-2024","","","05/31/2012","18:22:48","8373"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","","","","","1994-2024","","","05/31/2012","18:39:58","8381"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","","SoF","","","1994-2024","","","06/30/2012","17:58:39","8639"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","","SoF","","","1994-2024","","","08/01/2012","16:23:45","8893"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","","","","","1994-2024","","","08/01/2012","16:35:53","8917"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","11/30/2010","Rebaseline - change in funding strategy","Due to resource constraints due to the current continuing resolution.","","","","","","362.135715","2015-09-30","11/30/2010","14:45:43","2403"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","01/26/2011","Rebaseline - change in funding strategy","Funding has been changed due to passback information.","","","","","","545.600258","2018-09-30","02/16/2011","16:17:31","2834"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","04/21/2011","Rebaseline - change in funding strategy","Change in funding strategy.","","","","","","545.600258","2023-04-15","04/29/2011","09:12:48","4009"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","10/24/2011","Correction","Crrection applied.","1686,1687,1689,1690,1692,1693,1694,1695,1696,1698,1700,1702,1703,1704,1705,1706,1707,1708,1709,1711,1713","Projects, Activities","","","2011-2016","","","10/28/2011","10:27:33","6909"
