Project_ID,Activity_Name,Description,Output_type,Start_Date_Planned,Completion Date Projected,Planned_Costs,Total Costs Projected,Total Costs Actual,Status,No_Child_Activity,Date of Last Update,ID,Planned_Duration,Actual_duration,Actual_start_delay
1997,295146: Pilot Project Planning Meetings,,Usable Functionality,2011-02-28,2012-09-30,0.143,0.51,,In-progress,1,05/22/2012,8040,580 days,,58 days
1997,295146: Pilot Project Software and Licenses,,Usable Functionality,2011-08-30,2011-11-30,1.101,1.097,,In-progress,1,05/22/2012,8041,92 days,,-29 days
1997,295146: Pilot Project Data Flux Tool,,Key Deliverable,2011-10-01,2012-09-30,0.9,3.259,,In-progress,1,05/22/2012,8042,365 days,,-26 days
1998,"289705: Development, Test and Deployment for Release 5.22","Release 5.22 Development, Test and Deployment",Usable Functionality,2011-06-20,2011-12-16,0.706,0.921,0.921,Completed - Closed,1,07/23/2012,8045,179 days,179 days,0 days
1999,289713: Design for Release 5.23,Design for Release 5.23,Key Deliverable,2011-06-13,2011-09-02,0.15,0.254,0.254,Completed - Closed,1,07/23/2012,8047,81 days,81 days,0 days
1999,"289713: Development, Test and Deployment for Release 5.23","Development, Test and Deployment for Release 5.23",Usable Functionality,2011-09-05,2012-03-02,0.715,0.904,0.904,Completed - Closed,1,07/23/2012,8048,179 days,179 days,0 days
2000,289721: Design for Release 5.24,Design for Release 5.24,Key Deliverable,2011-08-01,2011-11-11,0.24,0.139,0.139,Completed - Closed,1,07/23/2012,8050,102 days,102 days,0 days
2000,"289721: Development, Test and Deployment for Release 5.24","Development, Test and Deployment for Release 5.24",Usable Functionality,2011-11-14,2012-05-11,1.15,0.935,,Completed - Costs Pending,1,07/23/2012,8051,179 days,179 days,0 days
2001,289727: Design for Release 5.25,Design for Release 5.25,Key Deliverable,2011-10-31,2012-01-20,0.192,0.152,0.152,Completed - Closed,1,07/23/2012,8053,81 days,81 days,0 days
2001,"289727: Development, Test and Deployment for Release 5.25","Development, Test and Deployment for Release 5.25",Usable Functionality,2012-01-23,2012-06-20,1.02,1.143,,Completed - Costs Pending,1,07/23/2012,8054,149 days,149 days,0 days
2002,289733: Design for Release 6.01,Design for Release 6.01,Key Deliverable,2012-01-16,2012-04-06,0.2,0.099,0.099,Completed - Closed,1,07/23/2012,8056,81 days,81 days,0 days
2002,"289733: Development, Test and Deployment for Release 6.01","Development, Test and Deployment for Release 6.01",Usable Functionality,2012-04-09,2012-06-20,0.75,1.147,,In-progress,1,07/23/2012,8057,72 days,,0 days
