Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
009-000000463,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000000464,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000000465,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000000466,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,0,0.0
009-000000468,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000000470,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,0,0.0
009-000000473,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,0,0.0
009-000000474,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,649-Access Control,761-Security Management,7-Service Types and Components,170,0.0
009-000000476,Non Major,111-Public Relations,305-Public Affairs,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000000489,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.02
009-000000492,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000000493,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.283
009-000000496,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,0,0.0
009-000000499,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.272
009-000000500,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.0
009-000000519,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.118
009-000000520,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,524-Online Tutorials,703-Customer Initiated Assistance,7-Service Types and Components,0,0.488
009-000000521,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.708
009-000000524,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,410,0.325
009-000000525,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,410,0.744
009-000000532,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,555-Warehouse Management,724-Supply Chain Management,7-Service Types and Components,410,1.281
009-000000533,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,410,0.477
009-000000534,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,1.69
009-000000538,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,593-Modeling,743-Knowledge Discovery,7-Service Types and Components,408,0.266
009-000000539,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,408,0.0
009-000000544,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,410,0.888
009-000000545,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.219
009-000000578,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000000583,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000000584,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,0,0.0
009-000000586,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000000597,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000000601,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,23.45
009-000000607,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.27
009-000000609,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.007
009-000000613,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,547-Performance Management,723-Investment Management,7-Service Types and Components,600,0.0
009-000000614,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,410,2.155
009-000000615,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,410,0.015
009-000000617,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.247
009-000000618,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.0
009-000000621,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.159
009-000000626,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,647-Workforce Acquisition / Optimization,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.074
009-000000627,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,600,0.2
009-000000700,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000000701,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,356.43
009-000000704,Major,247-Health Care Administration,110-Health,1-Services for Citizens,592-Data Mining,743-Knowledge Discovery,7-Service Types and Components,0,0.0
009-000000706,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,220,9.736
009-000000708,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.1
009-000000710,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,0,0.0
009-000000714,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,220,0.0
009-000000783,Non Major,248-Health Care Delivery Services,110-Health,1-Services for Citizens,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,0.0
009-000000792,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000000795,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000000796,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000000797,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.19
009-000000799,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.4
009-000000801,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,663-Task Management,762-Collaboration,7-Service Types and Components,408,0.101
009-000000805,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.397
009-000000809,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.03
009-000000833,Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,1.298
009-000000834,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,408,0.17
009-000000835,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000000851,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,600,0.0
009-000000859,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,642-Resource Planning and Allocation,756-Human Capital / Workforce Management,7-Service Types and Components,408,0.0
