Unique_Investment_Identifier,Agency Code,Investment Title,Performance_Metric_ID,Metric_Description,Unit_of_Measure,Measurement_category,Baseline,Target for CY,Metric_results
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3578,FPLS Benefit-to-Cost Ratio (Annual FPLS-attributable child support collections to IT dollars spent).,Ratio to 1,202-Process and Activities - Productivity,118.0,75.0,
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3579,"Total FPLS-Attributable Child Support Collections ($) (from Federal Offset, Passport Denial, MSFIDM, Insurance Matching, SSA Garnishments and NDNH-Attributable Collections).",% increase,101-Mission and Business Results - Services for Citizens,1.1,2.7,
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3580,Percent of NDNH records submitted with valid SSN information that are available for matching.,% of records,214-Technology - Information and Data,96.2,95.0,
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3581,Number of FPLS data processing standards met in the month. ,# of standards met,215-Technology - Reliability and Availability,7.0,7.0,Met
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3582,Number of FPLS system availability standards met in the month. ,# of standards met,215-Technology - Reliability and Availability,2.0,2.0,Met
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3583,"Percent of data match transactions processed within 48 hours.  Data match transactions are matches run on behalf of FPLS data access partners, including State and Fed agencies who use FPLS data to determine eligibility for public assistance programs that benefit vulnerable populations.",% processed within acceptable timeframe (48 hours),115-Customer Results - Service Accessibility,100.0,100.0,Met
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3584,"Percentage of required technical security controls at the Manassas Data Facility that map to a design component, have compensating controls in place, or have a  POA&M in place to address the issue.",% of security controls,205-Process and Activities - Security and Privacy,100.0,100.0,Met
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3585,Annual percent increase in locate and enforcement actions initiated by the FPLS to assist states in locating child support case participants for the purposes of establishing and enforcing child support obligations.,% increase,214-Technology - Information and Data,6.0,2.0,
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3586,Annual percent increase in number of IWOs sent electronically.,% increase,112-Customer Results - Service Coverage,28.1,10.0,
009-000001422,9,ACF Expanded Federal Parent Locator Service (OCSE),3587,Number of States with access to the business functions provided by the State Services Portal.,# of states,115-Customer Results - Service Accessibility,1.0,30.0,
009-000001462,9,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence,3204,Development Capacity,Velocity,202-Process and Activities - Productivity,50.0,50.0,
009-000001462,9,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence,3205,Customer Satisfaction,Satisfaction Rating,114-Customer Results - Service Quality,90.0,92.0,
009-000001462,9,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence,3206,System Availability,Percent of scheduled availability,215-Technology - Reliability and Availability,99.9,99.9,
009-000001462,9,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence,3207,System Reliability,Incidents of system unreliablity,215-Technology - Reliability and Availability,3.0,2.0,
009-000001462,9,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence,3208,Meeting Service Level Agreements,Days of service below the SLA,215-Technology - Reliability and Availability,3.0,2.0,
009-000001462,9,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence,3209,Customer Support Response Time,Turnaround hours for escalated issues,113-Customer Results - Timeliness and Responsiveness,16.0,10.0,
009-000001424,9,AHRQ Medical Expenditures Panel Survey (MEPS),3199,1.3.16 Insurance Component tables will be available within 6 months of collection ,Months,113-Customer Results - Timeliness and Responsiveness,6.0,6.0,
009-000001424,9,AHRQ Medical Expenditures Panel Survey (MEPS),3200,1.3.19 Increase the number of topical area tables included in the MEPS Tables Compendia,Topical Areas,214-Technology - Information and Data,1.0,1.0,Not Met
009-000001424,9,AHRQ Medical Expenditures Panel Survey (MEPS),3201,1.3.20 Increase the number of MEPS Data users,Data Users,204-Process and Activities - Quality,39.0,41.0,
009-000001424,9,AHRQ Medical Expenditures Panel Survey (MEPS),3202,"1.3.21 The number of months required to produce MEPS data files (i.e. point-in-time, utilization and expenditure files) for public dissemination following data collection",Months,113-Customer Results - Timeliness and Responsiveness,10.8,10.0,
