Project_ID,Activity_Name,Description,Output_type,Start_Date_Planned,Completion Date Projected,Planned_Costs,Total Costs Projected,Status,No_Child_Activity,Date of Last Update,ID,Planned_Duration,Actual_duration,Actual_start_delay
2,"Deploy to 2,500 Users","Enterprise Deployment to 2,500 users",Usable Functionality,2011-10-01,2012-02-29,2.375,0.299,Completed - Closed,1,04/30/2012,6,151 days,424 days,-273 days
2,"Deploy to 12,000 Users","Enterprise Deployment to 12,000 users",Usable Functionality,2012-03-01,2012-09-29,2.375,2.375,In-progress,1,04/30/2012,7,212 days,,0 days
2,"Windows 7/Office 2010 Delta Operational Test and Evaluation (OTE) to deploy to 5,000 workstations","Engineer, Test, and Deploy a standard CBP image, based on the Windows 7 operating system",Usable Functionality,2011-07-01,2011-09-30,1.5,1.5,Completed - Closed,1,04/30/2012,8,91 days,77 days,14 days
3,System Release 2.5,"Bug/Fix, Data Sources added",Usable Functionality,2011-07-23,2011-10-21,5.1,5.1,Completed - Closed,1,08/22/2012,9,92 days,90 days,0 days
3,System Release 3.0,IntelView and Collaboration functionality,Usable Functionality,2011-10-24,2012-01-22,6.85,6.85,Completed - Closed,1,08/22/2012,10,90 days,88 days,0 days
3,System Release 3.5,"Bug/Fix, Data Sources added",Usable Functionality,2012-01-23,2012-04-22,5.85,5.85,Completed - Closed,1,08/22/2012,11,90 days,91 days,0 days
3,System Release 4.0,Add Analytical Tools and User Provisioning,Usable Functionality,2012-04-23,2012-07-22,5.85,5.85,Completed - Closed,1,08/22/2012,12,90 days,90 days,0 days
3,System Release 4.5,"Bug/Fix, Data Sources added",Usable Functionality,2012-07-23,2012-10-21,5.7,5.7,In-progress,1,08/22/2012,13,90 days,,0 days
4,Built/Installed:,"Detroit OIC, NTC Cargo, Key West",Usable Functionality,2011-04-01,2011-09-30,1.3,1.3,Completed - Closed,1,08/22/2012,14,182 days,182 days,0 days
4,Built/Installed:,"Harper's Ferry, NDC-1, Cincinnati, Falls Church",Usable Functionality,2011-10-01,2012-05-31,1.2,1.2,Completed - Closed,1,08/22/2012,15,182 days,243 days,0 days
4,Built/Installed:,"San Angelo, JFK, Bellingham, Memphis",Usable Functionality,2012-04-01,2012-09-30,1.79,1.79,In-progress,1,08/22/2012,16,182 days,,0 days
5,IDENT FY11 HW Refresh,Provide FY11 IDENT Maintenance-related hardware refresh for matchers,Usable Functionality,2011-03-01,2011-08-31,11.469,11.469,Completed - Closed,1,06/29/2012,17,183 days,183 days,0 days
5,IDENT FY11 HW Refresh,Provide FY11 IDENT Maintenance related hardware refresh for database/storage hardware,Usable Functionality,2011-04-01,2012-04-30,3.091,3.091,In-progress,1,06/29/2012,18,182 days,,0 days
6,IDENT FY12 HW Refresh,Provide FY12 IDENT Maintenance-related hardware refresh for matchers,Usable Functionality,2012-03-01,2012-08-31,15.528,15.528,In-progress,1,06/29/2012,19,183 days,,4 days
6,IDENT FY12 HW Refresh,Provide FY12 IDENT Maintenance related hardware refresh for database/storage hardware,Usable Functionality,2012-04-01,2012-09-30,3.149,3.149,In-progress,1,06/29/2012,20,182 days,,61 days
10,Service provider 1,Service provider 1 Release 1 Feature design,Key Deliverable,2009-10-01,2010-03-24,0.578,0.578,Completed - Closed,1,08/19/2012,28,174 days,174 days,0 days
10,Service provider 1,Service provider 1  Release 1 Feature development,Key Deliverable,2010-03-25,2010-09-15,0.578,0.578,Completed - Closed,1,08/19/2012,29,174 days,174 days,0 days
10,Service provider 1,Service provider 1  Release 1 Feature pre-production testing,Key Deliverable,2010-09-19,2011-03-09,0.578,0.578,Completed - Closed,1,08/19/2012,30,171 days,171 days,0 days
10,Service provider 1,Service provider 1  Release 2 Feature design,Key Deliverable,2011-01-01,2011-02-03,0.578,0.578,Completed - Closed,1,08/19/2012,31,33 days,125 days,-92 days
10,Service provider 1,Service provider 1  Release 2 Feature development,Key Deliverable,2011-02-04,2011-06-09,0.578,0.578,Completed - Closed,1,08/19/2012,32,125 days,125 days,0 days
