Unique_Investment_Identifier,Contract_ID,IDV_PIID,Vendor_name,Contract_size,Type of Contract (USAspending),Contract_Description,Timestamp (Contract)
005-000000067,22329,GS00Q09BGD0048,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,29.535882,Cost Plus Award Fee,"The purpose of this acquisition is to procure Information Technology (IT) services to support the mission of the Risk Management Agency (RMA), an agency of the United States Department of Agriculture (USDA).  RMA requires the full range of IT services in order to develop and deliver new crop insurance products, support high employee productivity, develop and maintain new IT systems, and design, deploy, and maintain the underlying infrastructure for aforementioned activities.",2012-02-29 11:51:39
005-000001430,22334,GS00Q09BGD0048,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,29.535882,Cost Plus Award Fee,"The purpose of this acquisition is to procure Information Technology (IT) services to support the mission of the Risk Management Agency (RMA), an agency of the United States Department of Agriculture (USDA).  RMA requires the full range of IT services in order to develop and deliver new crop insurance products, support high employee productivity, develop and maintain new IT systems, and design, deploy, and maintain the underlying infrastructure for aforementioned activities.",2012-02-28 13:27:33
005-999991841,21914,AG3142B110017,UNISYS CORPORATION,0.443851,Firm Fixed Price,BELTSVILLE AND NITC HARDWARE SUPPORT,2012-02-28 16:17:14
005-000000038,22998,GS35F0265X,"IMMIXTECHNOLOGY, INC.",0.056599000000000003,Firm Fixed Price,IMMIXTECHNOLOGY QUOTE #QUO-224102-8B7QV6 FOR RENEWING ORACLE MAINTENANCE.  PREVIOUS PO #AG-32KW-D-10-0637.  POP 09/30/2011 TO 09/29/2012.  POC BRIAN BOWMAN.  COTR RHIANA SHUMATE.,2012-08-01 16:21:07
005-000000038,23225,GS35F0494T,IT FEDERAL SALES LIMITED LIABILITY COMPANY,0.02895,Firm Fixed Price,"IT FEDERAL SALES - CORE IMPACT PRO SECURITY SOFTWARE FOR NETWORK, ENDPOINT, E-MAIL AND WEB APPLICATIONS - 1 MACHINE AND 1 SUBSCRIPTION.  QUOTE FROM GSA ADVANTAGE.  RHIANA SHUMATE IS COTR.  TERRI SHUEY IS POC.  REV #1 TO ADD FMMI CODES.",2012-08-01 16:21:07
005-000000038,23286,GS35F0265X,"IMMIXTECHNOLOGY, INC.",0.121802,Firm Fixed Price,"IBM SOFTWARE RENEWAL - LOTUS INTEGRATOR, WEBSPHERE AND RATIONAL FOR ANNUAL SUBSCRIPTION AND SUPPORT RENEWAL.  POP 10/01/2011 - 09/30/2012.  RHIANA SHUMATE IS COTR.  REV #1 ADD FMMI CODES.",2012-08-01 16:21:07
005-000000038,23287,AG3142B090025,"IRON BOW TECHNOLOGIES, LLC",0.115416,Firm Fixed Price,"IRON BOW Q#434032 RVD-01DEC11 FOR BMC SOFTWARE TO RENEW THE ASSET MANAGEMENT, ATRIUM DASHBOARDS, CHANGE MANAGEMENT, REMEDY AND SERVICE DESK SOFTWARE.  POP IN 10/01/2011 - 09/30/2012.  RHIANA SHUMATE IS COTR.  REV #1 TO ADD FMMI CODE.",2012-08-01 16:21:08
005-000000038,23570,NNG07DA50B,"COUNTERTRADE PRODUCTS, INC.",0.023549,Firm Fixed Price,THE REQUIREMENT IS FOR SINGLEWIRE SOFTWARE,2012-08-01 16:21:08
005-000000038,23571,GS35F0779J,GOVERNMENT ACQUISITIONS INC,0.014937,Firm Fixed Price,IT PURCHASE GOVERNMENT ACQUISITIONS - RED HAT QUOTE #RFQ647345-YVJ FOR A ONE (1) YEAR SUBSCRIPTION RENEWAL.  POP 12/23/2011 - 12/22/2012.  RHIANA SHUMATE IS COTR.  REV#2 REQUESTED BY RODNEY WALKER.,2012-08-01 16:21:08
005-000000038,23572,AG32KWP120026,"ACTIVIDENTITY, INC.",0.014530000000000001,Firm Fixed Price,ACTIVIDENTITY Q# USDA-APHIS-20111208 PREMIUM RENEWAL FOR ACTIVCLIENT ADVANCED-PER USER PER YEAR.  POP 01/01/2012 - 12/31/2012.  RHIANA SHUMATE IS COTR.  PREVIOUS PO #AG-32KW-P-11-0041.,2012-08-01 16:21:08
005-000000038,23973,NNG07DA12B,INTERNATIONAL BUSINESS MACHINES CORPORATION,0.151631,Firm Fixed Price,IBM SOFTWARE SALES - LOTUS SAMETIME USER LICENSE + SUBSCRIPTION.  POP 01/01/2012 - 12/31/2012.  CONTRACT #NNG07DA12B. QUOTE# PCS APHIS ST 20091221. MOD #3 TO PO# AG-32KW-D-10-0058.  RHIANA SHUMATE IS COTR. REV#1 TO CORRECT AMT PER CONTRACT.,2012-08-01 16:21:08
005-000000038,23975,GS35F4708G,"METASTORM GOVERNMENT SOLUTIONS, LLC",0.049319,Firm Fixed Price,OPENTEXT Q#3402000009 - METASTORM MAINTENANCE CONTRACT - RENEWAL.  LAST PO #AG-32KW-D-11-0100.  POP 04/01/2012 - 03/31/2013.  ATTENTION:  NATE JOHNSON.  RHIANA SHUMATE IS COTR.,2012-08-01 16:21:08
005-000000038,24551,AG32KWC100006,"CSBS BUSINESS SERVICES, LLC",0.3817,Firm Fixed Price,"OPERATOR SERVICES INCREMENTAL FUNDING FORAPRIL 1 - MARCH 31, 2013",2012-08-01 16:21:08
