Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
005-000002386,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,150,0.0
005-000000121,Non Major,120-Help Desk Services,401-Administrative Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.215
005-000002179,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.502559
005-000002381,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,150,5.178164
005-000001010,Migration/Implementation,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,220,0.0
005-000001654,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,"634-Asset Transfer, Allocation, and Maintenance",754-Asset / Materials Management,7-Service Types and Components,100,0.0
005-000001745,Non Major,059-Agricultural Innovation and Services,117-Natural Resources,1-Services for Citizens,541-Business Rule Management,721-Management of Process,7-Service Types and Components,0,0.0
005-000001585,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
005-000001748,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,150,0.0
005-000000045,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,410,0.0
005-000001809,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000001537,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,0,0.0
005-000000035,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
005-000002163,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000002325,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,200,0.017
005-000001636,Non Major,014-Industry Sector Income Stabilization,105-Economic Development,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,500,0.0
005-000001600,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,310,0.0
005-000002344,Non Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,550,1.8
005-000001570,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000001556,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000001499,Non Major,124-Accounting,402-Financial Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,500,0.0
005-000001579,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
005-000002377,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.350157
005-000001737,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,0.715731
005-000001901,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.24875
005-000002171,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,200,0.0
005-000001574,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,310,0.0
005-000001519,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000000025,Non Major,104-Strategic Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,200,0.867
005-999994300,Funding Contribution,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,510,0.0
005-999991217,Funding Contribution,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
005-000002196,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,500,0.0
005-000001774,Non Major,039-Food and Nutrition Assistance,112-Income Security,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,19.281579
005-000001764,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,0.0
005-000001544,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.06
005-000000067,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,598-Ad Hoc,745-Reporting,7-Service Types and Components,220,0.0
005-000001744,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,100,0.289095
005-000002169,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,1.409
005-000001430,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,100,0.0
005-000001733,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,661-Document Library,762-Collaboration,7-Service Types and Components,510,0.0
005-000002206,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,410,0.52
005-000001763,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,150,0.0
005-000001631,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,500,0.406907
005-999990060,Funding Contribution,113-Public Comment Tracking,306-Regulatory Development,3-Support Delivery of Services to Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,200,0.0
005-000002172,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000002298,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,0.0
005-000001739,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,150,0.711
005-000001884,Non Major,059-Agricultural Innovation and Services,117-Natural Resources,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
005-000001530,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,310,0.342999
005-000001542,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000001405,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,681-Forms Creation,766-Forms Management,7-Service Types and Components,0,0.985
005-000002321,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,23.262969000000002
005-000002392,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,520-Personalization,702-Customer Preferences,7-Service Types and Components,220,0.0
005-000001696,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
005-999990020,Funding Contribution,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,0,0.0
005-000002192,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,310,0.0
005-999991841,Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,500,11.255
005-000002318,Funding Contribution,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,200,1.34
005-999993200,Funding Contribution,125-Funds Control,402-Financial Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,510,0.0
005-000000097,Non Major,256-Employee Relations,403-Human Resource Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
005-000001729,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,100,0.15
005-000002144,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,200,1.718
005-000002312,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.107
005-000002396,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,"634-Asset Transfer, Allocation, and Maintenance",754-Asset / Materials Management,7-Service Types and Components,100,0.0
005-000001904,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.275
005-000001567,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,200,0.0
005-000002345,Non Major,123-Workplace Policy Development and Management,401-Administrative Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,550,0.0
005-000000038,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,0.0
005-000002224,Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,0.0
005-999990010,Funding Contribution,058-Recreational Resource Management and Tourism,117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
005-000002303,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,557-Logistics and Transportation,724-Supply Chain Management,7-Service Types and Components,0,0.0
005-000001524,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,200,0.091
005-000001529,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,310,0.0
005-000000132,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.1
005-000002152,Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,0,0.0
005-000001497,Non Major,126-Payments,402-Financial Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,500,0.0
005-000001578,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
005-000002324,Non Major,127-Collections and Receivables,402-Financial Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,500,1.7227
005-000001709,Non Major,020-Energy Conservation and Preparedness,107-Energy,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,200,0.0
005-000002205,Non Major,091-Corrective Action,301-Controls and Oversight,3-Support Delivery of Services to Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,200,0.0
005-000002376,Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,150,9.548509
005-000001903,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000002341,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.774
005-000002223,Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,200,0.0
005-000002320,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,537-Requirements Management,721-Management of Process,7-Service Types and Components,150,0.0
005-000000027,Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
005-000000028,Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,557-Logistics and Transportation,724-Supply Chain Management,7-Service Types and Components,220,3.038
005-000002388,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,150,6.929275
005-000000124,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000002195,Non Major,043-Global Trade,114-International Affairs and Commerce,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
005-000002276,Major,256-Employee Relations,403-Human Resource Management,4-Management of Government Resources,642-Resource Planning and Allocation,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
005-000000157,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000000024,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,572-Information Mapping / Taxonomy,733-Knowledge Management,7-Service Types and Components,0,0.8
005-000000158,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,536-Configuration Management,721-Management of Process,7-Service Types and Components,410,1.0
005-000001586,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000000130,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000002387,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,3.7888300000000004
005-000001527,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,310,0.0
005-000000048,Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,310,0.0
005-000001804,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,310,0.0
005-000000093,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,500,0.0
005-000002353,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,3.96
005-000001822,Major,043-Global Trade,114-International Affairs and Commerce,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.0
005-000001538,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,0.0
005-000000094,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,150,0.0
