Unique_Investment_Identifier,Agency Code,Investment Title,Performance_Metric_ID,Metric_Description,Unit_of_Measure,Measurement_category,Baseline,Target for CY,Metric_results
005-000001723,5,AMS Infrastructure WAN and DMZ (AMSWAN),1073,% time system available,hours of up-time,115-Customer Results - Service Accessibility,99.0,99.1,Met
005-000001723,5,AMS Infrastructure WAN and DMZ (AMSWAN),1075,% of workstations using MS Windows 7 Enterprise 32-bit w/Bit-locker operating system,percentage,212-Technology - Quality Assurance,25.0,100.0,Not Met
005-000001723,5,AMS Infrastructure WAN and DMZ (AMSWAN),1076,"Time, Effort &amp; Cost saved to centrally host and support AMS-wide IT solutions for Regulatory IT Investments",time,103-Mission and Business Results - Management of Government Resources,2.0,3.0,Met
005-000001723,5,AMS Infrastructure WAN and DMZ (AMSWAN),1077,Percent of  servers reduced as a result of virtualization,Quantity,211-Technology - Technology Costs,66.0,100.0,Not Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1083,Number of Applicants using ePermits,Percent,112-Customer Results - Service Coverage,45.0,60.0,Not Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1084,Number of applicants registered to use ePermits,Percent,112-Customer Results - Service Coverage,75.0,60.0,Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1085,Add external groups to the ePermits System.,Number,112-Customer Results - Service Coverage,1.0,2.0,Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1086,Precentage of Permit application processed within 75 days.,Percent,113-Customer Results - Timeliness and Responsiveness,10.0,25.0,Not Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1087,Collect and Process User Fees electronically via Pay.gov.,Number,103-Mission and Business Results - Management of Government Resources,10000.0,13000.0,Not Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1088,Integrate the permiting activity of multile independent permit programs,Number,101-Mission and Business Results - Services for Citizens,1.0,3.0,Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1089,Precentage of  applications submitted using ePermits,Precentage,202-Process and Activities - Productivity,25.0,60.0,Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1090,Number of Repeat Customers using system,Percent,216-Technology - Effectiveness,1000.0,2500.0,Not Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1091,Number of additional forms automated via ePermits,Number,215-Technology - Reliability and Availability,10.0,6.0,Not Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1092,Number of security test and recovery exercises.,Number,215-Technology - Reliability and Availability,2.0,3.0,Met
005-000001822,5,APHIS Electronic Permits System (ePermits),1093,System Outages Downtime,Percent,215-Technology - Reliability and Availability,5.0,0.0,Met
005-000000038,5,APHIS Enterprise Infrastructure,1094,Network and server uptime,Up time,115-Customer Results - Service Accessibility,99.97,99.97,Met
005-000000038,5,APHIS Enterprise Infrastructure,1095,ATAC average response time,Time,103-Mission and Business Results - Management of Government Resources,22.5,21.7,Met
005-000000038,5,APHIS Enterprise Infrastructure,1096,Application of patches on all systems,Number,205-Process and Activities - Security and Privacy,98.0,98.0,Met
005-000000038,5,APHIS Enterprise Infrastructure,1097,Reduction in number of field office data storage devices,Number,214-Technology - Information and Data,60.0,60.0,Met
005-000000038,5,APHIS Enterprise Infrastructure,1098,FDCC Compliance,percentage compliant,213-Technology - Efficiency,95.0,95.0,Met
005-000000093,5,ATSA - Automated Timber Sale Accounting,2945,% of system users who complete security awareness and role based access training.,Percent,205-Process and Activities - Security and Privacy,100.0,100.0,Met
005-000000093,5,ATSA - Automated Timber Sale Accounting,2946,% of reports available to customers on the reports website as scheduled.,Percent,111-Customer Results - Customer Benefit,100.0,100.0,Met
005-000000093,5,ATSA - Automated Timber Sale Accounting,2947,Certification of user access to the system is conducted quarterly.,Percent,205-Process and Activities - Security and Privacy,100.0,100.0,Met
005-000000093,5,ATSA - Automated Timber Sale Accounting,2948,Contribute to agency maintaining an unqualified audit opinion by ensuring no material deficiencies are identified in the ATSA system during the audit.,Audit report,114-Customer Results - Service Quality,0.0,0.0,Met
005-000000093,5,ATSA - Automated Timber Sale Accounting,2949,% of scheduled production cycles completed without issues.,Percent,203-Process and Activities - Cycle Time and Timeliness,92.0,91.0,Not Met
005-000000093,5,ATSA - Automated Timber Sale Accounting,2950,% of scheduled time that application is operational.,Percent,215-Technology - Reliability and Availability,97.0,97.0,Not Met
005-000000093,5,ATSA - Automated Timber Sale Accounting,2951,% of customer issues that are addressed and fully resolved within 24-hours.,percent,203-Process and Activities - Cycle Time and Timeliness,92.0,92.0,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1620,Average number of days required to complete Direct Loan processing (from application completed to final disposition),Number of Days,113-Customer Results - Timeliness and Responsiveness,35.0,32.5,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1621,Number of States with average Direct Loan processing time greater than 35 days,Number of States,113-Customer Results - Timeliness and Responsiveness,10.0,12.0,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1622,Total Direct Loan Delinquency Rates,Percent,102-Mission and Business Results - Support Delivery of Services,9.5,8.5,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1623,Total Direct Loan Loss Rates,Percent,102-Mission and Business Results - Support Delivery of Services,5.2,3.5,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1624,Percent of time that system is available to internal users during normal business hours,Percent,202-Process and Activities - Productivity,80.0,95.0,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1625,Number of separate systems to query to provide input data to annual audit process,Number of Systems,213-Technology - Efficiency,1.0,1.0,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1626,Maximum number of manual data entry and/or manual file transfer points among systems during a delinquent loan cycle,Number,213-Technology - Efficiency,5.0,2.0,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1627,First Year Delinquent Rates for New Loans,Delinquency Percentage,102-Mission and Business Results - Support Delivery of Services,13.4,10.0,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1628,Average number of days from application receipt to disposition of Emergency Loans,Number of Days,102-Mission and Business Results - Support Delivery of Services,37.0,32.5,Met
005-000001231,5,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1629,"Increase Lending to Minorities, Women, and Beginning Farmers and Ranchers",Percent,102-Mission and Business Results - Support Delivery of Services,36.7,38.7,Met
005-000001232,5,Consolidated Financial Management Information Systems (CFMIS) #106,2806,Number of legacy payment systems sending payment through NPS for disbursement,Legacy disbursement systems paying thru NPS,216-Technology - Effectiveness,0.0,2.0,Met
