Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Revision Date,Revision Reason,Comment,Project ID,Area of Change,Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","08/31/2010","Rebaseline - other","Per OMB guidance the program has rewritten some activity descriptions to provide greater clarity and actual costs were updated to reflect the corect total cost for completing the activity.Additionally, since OMB will be baselining performance goals for the BY12 E300 submission the program has modified the Performance Goals table by deactivating some goals and adding new goals that can more accurately measured.","","","","4208.63","2035-09-30","09/16/2010","17:39:04","1333"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","09/17/2010","Correction","Milestone revision was performed to provide more clarity.","","","","4217.02","2035-09-30","09/20/2010","10:38:41","1672"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","09/21/2010","Rebaseline - other","Deactivation of performance metrics.","","","","4217.02","2035-09-30","09/21/2010","11:29:33","1701"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","11/08/2010","Rebaseline - other","This was a correction to a data error","","","","4234.013","2035-09-30","11/16/2010","13:53:49","2310"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","02/10/2011","Rebaseline - change in funding strategy","Added several ERAM related milestones and one milestone for the Passback plus up of $15M for 2014.","","","","4272.413","2035-09-30","02/24/2011","15:13:50","3251"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","02/24/2011","Correction","Update description to ID 36 and actual cost to ID 63.","","","","4286.356","2035-09-30","02/25/2011","09:16:35","3321"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","04/19/2011","Rebaseline - change in funding strategy","The program went to the FAA Investment Decision Authority for rebaseline approval on March 16, 2011. The rebaseline request was due to the program changing their implementation strategy. Instead of rolling out ADS-B just based on location the program wanted to implement ADS-B in the locations where the most aircraft have been equipped. The Cost and Schedule table now reflects current program execution.","","","","4282.556","2035-09-30","04/22/2011","09:35:01","3949"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","04/25/2011","Correction","Deactivated milestone 62 and 63. Changed Planned cost for milestone 54.","","","","4243.645","2035-09-30","04/25/2011","10:53:01","3975"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","04/25/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Corrected typographical error on Planned Start Date for milestone 45269.","","","","4243.645","2035-09-30","04/28/2011","14:14:46","3994"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","05/16/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Corrected typographical errors on Planned Completion Dates for milestones 45247, 45259, 45274, and 45275","","","","4247.69","2035-09-30","05/24/2011","09:53:46","6065"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","11/18/2011","Correction","Program made changes to Projected Start Dates, Actual Start Dates, Projected Completion Dates and Actual Completion Dates.","866,867,868,869,870,871,872,873,874,876,877,878","Projects, Activities","2006-2035","","","11/23/2011","12:51:51","7101"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","02/06/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Changes to some planned completion dates were made to Activity table as the Activity 3376 has been reforecasted for completion on September 30, 2012.  Activity 3364 reflects three fewer sites are expected to achieve Initial Operational Capability (IOC) by the end of FY2012 due to delays in the preceding ERAM and STARS dependent IOCs.  These changes reflect a replan (not baseline change) and these changes are not expected to have long term inpacts on the baseline.","867,869,870,876","Projects, Activities","2006-2035","","","02/24/2012","15:58:11","7478"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","07/11/2012","Correction","This submission corrects an earlier, inadvertant entry of $0.00 for the Actual Costs of activity 3378. Actual Costs are not available to date, and this field is now null.","874","Projects, Activities","2006-2035","","","07/25/2012","17:43:58","8727"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","08/28/2012","Replan - adding or modifying detail within the overall cost and schedule goals","Project durations and costs were updated and extended into BY14. Project Manager information was updated, and Project and Activity Names/Descriptions were clarified.  An early estimate for Activity 3369 was updated.  Superseded performance metrics were replaced.","866,867,868,869,870,871,872,873,874,875,876,877,878","Projects, Activities, Metrics","2006-2035","","","09/14/2012","16:37:34","10289"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","11/09/2012","Correction","Correction to grammatical typo in activity description","869,870,872,874,877","Projects, Activities","2006-2035","","","11/30/2012","09:14:52","11483"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","12/13/2012","Replan - adding or modifying detail within the overall cost and schedule goals","This submission revises Activity 6.2, decreasing the number of sites to achieve Initial Operating Capability (IOC) from 15 to 12. This replan is based on ERAM availability at the sites, and does not impact the ADS-B cost or schedule baseline.","871","Projects, Activities","2006-2035","","","12/28/2012","09:11:54","11791"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","01/18/2013","Correction","The Activity Description for Activity 6.3 was corrected in order to be consistent with last month's replan.  This Correction removes the previous number of additional sites for Fiscal Year 2014, while ensuring responsibility for achieving the total, cumulative sites.","871","Projects, Activities","2006-2035","","","01/28/2013","11:23:34","11971"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","04/24/2013","Correction","Activity 2.3, Target Level of Safety Final Assessment 3 Nautical Mile Separation, was completed and approved by the ADSB leadership team in June of 2012. Further actions are outside the scope of this activity.","867","Projects, Activities","2006-2035","","","04/30/2013","13:24:40","13193"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","05/30/2013","Correction","DOT will be transitioning to a new CPIC tool starting in June for the ITDB updates and annual submission. We are submitting updates now to reflect formatting conversion required by the new CPIC tool. These corrections are cosmetic in nature and do not impact cost, schedule, funding or scope.","","SoF","2006-2035","","","05/31/2013","17:03:47","13617"
