Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment URL ID,Agency Investment URL ID,Valid Public URL,Investment URL,Investment URL Attribute A,Investment URL Attribute B,Investment URL Attribute C,Investment URL Attribute D,Investment URL Attribute E,Updated Date,Updated Time
"021-142305975","3","021","Department of Transportation","1445","","No","http://www.faa.gov/nextgen/implementation/portfolio/trans_support_progs/adsb/","no","no","no","yes","no","09/14/2012","10:29:20"
"021-142305975","3","021","Department of Transportation","1447","","Yes","http://www.faa.gov/nextgen/implementation/programs/adsb/","no","no","no","no","yes","03/25/2013","17:12:40"
"429-000002005","4","429","Nuclear Regulatory Commission","4037","","Yes","http://www.fema.gov/","no","no","no","yes","yes","09/28/2012","14:24:20"
"429-000002005","4","429","Nuclear Regulatory Commission","4039","","Yes","http://www.nei.org/","no","no","no","yes","yes","09/28/2012","14:24:20"
"029-888888105","7","029","Department of Veterans Affairs","231","","Yes","https://www.ebenefits.va.gov/ebenefits-portal/ebenefits.portal","yes","yes","no","no","yes","09/12/2012","12:38:14"
"029-888888105","7","029","Department of Veterans Affairs","233","","Yes","https://www.ebenefits.va.gov/ebenefits-portal/ebenefits.portal_nfpb&#61;true&amp;_portlet.async&#61;false&amp;_pageLabel&#61;ebenefits_myeb_vonapp1","yes","yes","no","no","yes","03/25/2013","16:18:05"
"029-555555110","8","029","Department of Veterans Affairs","247","","Yes","http://www.telehealth.va.gov/","no","no","no","no","yes","09/12/2012","12:39:53"
"029-555555110","8","029","Department of Veterans Affairs","249","","Yes","http://www.telehealth.va.gov/ccht/index.asp","no","no","no","no","yes","09/12/2012","12:39:53"
"029-555555110","8","029","Department of Veterans Affairs","251","","Yes","http://www.telehealth.va.gov/real-time/index.asp","no","no","no","no","yes","09/12/2012","12:39:53"
"029-555555110","8","029","Department of Veterans Affairs","253","","Yes","http://www.itdashboard.gov/investmentbuscid&#61;8","no","yes","no","yes","no","03/25/2013","14:56:41"
"184-000000005","12","184","U.S. Agency for International Development","1101","","Yes","http://www.usaid.gov/results-and-data/budget-spending/where-does-money-go","yes","yes","no","yes","yes","09/13/2012","17:41:46"
"026-000001501","37","026","National Aeronautics and Space Administration","1453","","No","","yes","yes","no","yes","yes","09/14/2012","10:30:02"
"026-000001501","37","026","National Aeronautics and Space Administration","4075","65509","Yes","http://earthdata.nasa.gov/","yes","yes","no","yes","yes","03/20/2013","15:42:29"
"026-000005010","38","026","National Aeronautics and Space Administration","1257","","No","","no","no","no","yes","no","09/14/2012","09:34:13"
"026-000005010","38","026","National Aeronautics and Space Administration","1259","","No","","no","no","no","yes","no","09/14/2012","09:34:13"
"026-000005010","38","026","National Aeronautics and Space Administration","1261","","No","","no","no","no","no","yes","09/14/2012","09:34:13"
"026-000005010","38","026","National Aeronautics and Space Administration","1263","","No","","no","no","no","no","yes","09/14/2012","09:34:13"
"026-000005010","38","026","National Aeronautics and Space Administration","4135","65518","Yes","http://www.nasa.gov/centers/johnson/pdf/160406main_mission_control_fact_sheet.pdf","no","no","no","yes","no","03/20/2013","16:23:02"
"026-000005010","38","026","National Aeronautics and Space Administration","4137","65517","Yes","http://research.jsc.nasa.gov/BiennialResearchReport/2011/227-2011-Biennial.pdf","no","no","no","yes","no","03/20/2013","16:23:02"
"026-000005010","38","026","National Aeronautics and Space Administration","4139","65520","Yes","http://www.nasa.gov/mission_pages/station/main/index.html","no","no","no","no","yes","03/20/2013","16:23:02"
"026-000005010","38","026","National Aeronautics and Space Administration","4141","65519","Yes","http://www.nasa.gov/exploration/commercial/index.html","no","no","no","no","yes","03/20/2013","16:23:02"
"026-000005020","39","026","National Aeronautics and Space Administration","1269","","No","","no","no","no","yes","no","09/14/2012","09:49:17"
"026-000005020","39","026","National Aeronautics and Space Administration","1271","","No","","no","no","no","yes","no","09/14/2012","09:49:17"
"026-000005020","39","026","National Aeronautics and Space Administration","1273","","No","","no","no","no","no","yes","09/14/2012","09:49:17"
"026-000005020","39","026","National Aeronautics and Space Administration","1275","","No","","no","no","no","no","yes","09/14/2012","09:49:17"
"026-000005020","39","026","National Aeronautics and Space Administration","4127","65510","Yes","http://www.nasa.gov/centers/johnson/pdf/160406main_mission_control_fact_sheet.pdf","no","no","no","yes","no","03/20/2013","16:20:10"
"026-000005020","39","026","National Aeronautics and Space Administration","4129","65513","Yes","http://research.jsc.nasa.gov/BiennialResearchReport/2011/227-2011-Biennial.pdf","no","no","no","yes","no","03/20/2013","16:20:10"
"026-000005020","39","026","National Aeronautics and Space Administration","4131","65511","Yes","http://www.nasa.gov/mission_pages/station/main/index.html","no","no","no","no","yes","03/20/2013","16:20:10"
"026-000005020","39","026","National Aeronautics and Space Administration","4133","65512","Yes","http://www.nasa.gov/exploration/commercial/index.html","no","no","no","no","yes","03/20/2013","16:20:10"
"026-000005030","40","026","National Aeronautics and Space Administration","1277","","No","","no","no","no","yes","no","09/14/2012","09:50:54"
"026-000005030","40","026","National Aeronautics and Space Administration","1279","","No","","no","no","no","no","yes","09/14/2012","09:50:54"
"026-000005030","40","026","National Aeronautics and Space Administration","1281","","No","","no","no","no","no","yes","09/14/2012","09:50:54"
"026-000005030","40","026","National Aeronautics and Space Administration","4121","65514","Yes","http://crgis.ndc.nasa.gov/historic/Jake_Garn_Simulator_and_Training_Facility","no","no","no","yes","no","03/20/2013","16:14:58"
"026-000005030","40","026","National Aeronautics and Space Administration","4123","65516","Yes","http://www.nasa.gov/mission_pages/station/main/index.html","no","no","no","no","yes","03/20/2013","16:14:58"
"026-000005030","40","026","National Aeronautics and Space Administration","4125","65515","Yes","http://www.nasa.gov/exploration/commercial/index.html","no","no","no","no","yes","03/20/2013","16:14:58"
"026-000001408","41","026","National Aeronautics and Space Administration","1283","","No","","no","no","no","yes","yes","09/14/2012","10:02:01"
"026-000001408","41","026","National Aeronautics and Space Administration","1285","","No","","no","no","no","yes","yes","09/14/2012","10:02:01"
"026-000001408","41","026","National Aeronautics and Space Administration","1287","","No","","no","no","no","yes","yes","09/14/2012","10:02:01"
"026-000001408","41","026","National Aeronautics and Space Administration","1289","","No","","no","no","no","yes","yes","09/14/2012","10:02:01"
"026-000001408","41","026","National Aeronautics and Space Administration","1291","","No","","no","no","no","yes","yes","09/14/2012","10:02:01"
"026-000001408","41","026","National Aeronautics and Space Administration","4059","65559","No","http://sdilweb.jsc.nasa.gov/sites/sdilportal/default.aspx","no","no","no","yes","yes","03/19/2013","11:48:03"
"026-000001408","41","026","National Aeronautics and Space Administration","4061","65558","No","www.jsc.nasa.gov/nwo/avionics/sd/scm/web/ target=_blank>https://iss-<A class=dialogLink href=http://www.jsc.nasa.gov/nwo/avionics/sd/scm/web/</A target=_blank>www.jsc.nasa.gov/nwo/avionics/sd/scm/web/</A</A>>","no","no","no","yes","yes","03/19/2013","11:48:03"
"026-000001408","41","026","National Aeronautics and Space Administration","4063","65557","No","www.jsc.nasa.gov/nwo/avionics/sd/svfipt/web/ target=_blank>https://iss-<A class=dialogLink href=http://www.jsc.nasa.gov/nwo/avionics/sd/svfipt/web/</A target=_blank>www.jsc.nasa.gov/nwo/avionics/sd/svfipt/web/</A</A>>","no","no","no","yes","yes","03/19/2013","11:48:03"
"026-000001408","41","026","National Aeronautics and Space Administration","4065","65561","No","http://sdil.jsc.nasa.gov/","no","no","no","yes","yes","03/19/2013","11:48:03"
"026-000001408","41","026","National Aeronautics and Space Administration","4067","65560","No","www.jsc.nasa.gov/nwo/avionics/sd/home/web/sitemap.shtml target=_blank>https://iss-<A class=dialogLink href=http://www.jsc.nasa.gov/nwo/avionics/sd/home/web/sitemap.shtml</A target=_blank>www.jsc.nasa.gov/nwo/avionics/sd/home/web/sitemap.shtml</A</A>>","no","no","no","yes","yes","03/19/2013","11:48:03"
"026-000001502","43","026","National Aeronautics and Space Administration","1361","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1363","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1365","","No","","no","no","no","yes","yes","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1367","","No","","no","no","no","yes","yes","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1369","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1371","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1373","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1375","","No","","no","no","no","yes","yes","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1377","","No","","no","no","yes","no","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1379","","No","","no","no","yes","no","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1381","","No","","no","no","no","yes","yes","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1383","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1385","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1387","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1389","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1391","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1393","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1395","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1397","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1399","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","1401","","No","","no","no","no","yes","no","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","4079","65454","Yes","http://www.nccs.nasa.gov/","no","no","no","yes","no","03/20/2013","16:10:08"
"026-000001502","43","026","National Aeronautics and Space Administration","4081","65455","Yes","https://hec.reisys.com/hec/external/portfolio.do","no","no","no","yes","no","03/20/2013","16:10:08"
