Unique Investment Identifier,Business Case ID,Affected Investment ID,Agency Affected Investment ID,Affected Investment UII,To Be Status,Updated Date,Updated Time
"429-000001020","9","337","","429-000001013","to be eliminated","08/02/2013","13:16:34"
"012-000003470","88","332","","012-000003150","to be eliminated","07/15/2013","09:37:41"
"012-000002630","131","333","","012-000003345","to be eliminated","07/15/2013","10:22:31"
"024-000005664","173","77","187803","024-000005628","to be eliminated","09/13/2012","07:19:38"
"024-000006115","203","79","187778","024-000006006","to be reduced","09/13/2012","07:22:31"
"009-000001386","257","71","6216","009-000006216","to be eliminated","09/12/2012","16:05:14"
"024-000005358","308","83","191719","024-000005082","to be reduced","09/13/2012","13:44:14"
"024-000005053","314","119","195783","024-000005058","to be eliminated","09/13/2012","16:23:22"
"024-000005053","314","117","195784","024-000005214","to be eliminated","09/13/2012","16:23:22"
"009-000006267","317","85","5354","009-000005354","to be reduced","09/13/2012","15:22:55"
"021-089571105","361","157","FAAXX318","021-681137436","to be reduced","09/14/2012","10:11:40"
"021-089571105","361","155","FAAXX327","021-040828751","to be reduced","09/14/2012","10:11:40"
"021-514765477","368","91","URET","021-864879837","to be eliminated","09/13/2012","15:25:24"
"021-514765477","368","89","DSR","021-864879837","to be reduced","09/13/2012","15:25:24"
"021-514765477","368","87","Host","021-423294720","to be eliminated","09/13/2012","15:25:24"
"020-000015010","402","336","","020-000015050","to be eliminated","07/31/2013","17:50:32"
"020-000013015","412","129","","020-000013010","to be eliminated","09/13/2012","16:59:52"
"020-000013015","412","133","","020-000013015","to be eliminated","09/13/2012","16:59:52"
"020-000013015","412","131","","020-000013015","to be eliminated","09/13/2012","16:59:52"
"020-000013015","412","135","","020-000013003","to be eliminated","09/13/2012","16:59:52"
"422-000001327","451","159","75213","422-000000001","to be eliminated","09/14/2012","10:26:14"
"016-000002141","630","327","","016-000002125","to be eliminated","06/26/2013","16:12:07"
"015-000000044","637","1","20","015-000000010","to be eliminated","09/11/2012","12:04:20"
"010-000000316","673","35","","010-000000160","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","25","","010-000000001","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","49","","010-000000462","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","39","","010-000000295","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","29","","010-000000315","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","53","","010-000000476","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","43","","010-000000308","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","33","","010-000000160","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","47","","010-000000460","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","37","","010-000000280","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","27","","010-000000017","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","51","","010-000000774","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","41","","010-000000278","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","31","","010-000000365","to be eliminated","09/12/2012","15:26:18"
"010-000000316","673","45","","010-000000410","to be eliminated","09/12/2012","15:26:18"
"010-000000319","674","21","","010-000000454","to be eliminated","09/12/2012","15:08:07"
"014-000000012","718","165","","014-000000113","to be eliminated","09/14/2012","11:25:43"
"014-000000012","718","169","","014-000000039","to be eliminated","09/14/2012","11:25:43"
"014-000000012","718","167","","014-000000103","to be eliminated","09/14/2012","11:25:43"
"014-000000029","742","145","","014-000000026","to be reduced","09/14/2012","08:57:43"
"006-000731200","782","231","","006-000731600","to be eliminated","02/27/2013","17:11:59"
"393-000000031","789","75","","393-000000013","to be eliminated","09/12/2012","16:24:18"
"393-000000001","799","67","","393-000000047","to be reduced","09/12/2012","15:58:45"
"393-000000001","799","65","","393-000000048","to be reduced","09/12/2012","15:58:45"
"015-000000057","827","9","16","015-000000216","to be eliminated","09/11/2012","13:31:59"
"005-000002317","832","201","","005-000000041","to be eliminated","09/19/2012","17:38:48"
