Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost ($M),Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Updated Date,Updated Time
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","1","656","","Operations","Annual Agency Operations.","2011-10-01","2012-09-30","15.297000","-334","-91.51","Red","0.000000","0.00","Green","2011-09-22","13:22:25"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","2","657","","Virtualization","Program Areas will migrate their data over to the agencys virtual servers and shut down their current server.","2011-10-01","2012-03-31","0.179000","-517","-284.07","Red","0.000000","0.00","Green","2011-11-30","08:09:57"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","3","658","","Refresh","Programs Areas will replace 1/3 of their computers which have an expired warranty.","2012-04-01","2012-09-30","1.460000","0","0.00","Green","-0.000124","-0.01","Green","2012-11-01","13:20:23"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","4","5939","","Refresh-13","Program Areas will replace 1/3 of their current systems (laptops & desktops) of which have expired warranties.","2012-10-01","2013-09-30","1.460000","0","0.00","Green","1.442821","98.82","Red","2013-01-31","17:22:28"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","5","5941","","Refresh-14","Program Areas will replace 1/3 of their current systems (laptops & desktops) of which have expired warranties.","2013-10-01","2014-09-30","1.460000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:30:32"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","PER1822001","661","","ePermits O&amp;M FY11 Part 1.","Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.","2011-04-01","2011-09-30","1.820500","0","0.00","Green","0.364100","20.00","Yellow","2012-09-18","14:44:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","PER1822002","662","","ePermits O&amp;M FY12 Part 1","Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.","2012-04-01","2012-09-30","1.713000","-334","-183.52","Red","0.000000","0.00","Green","2012-09-18","14:44:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","PER1822003","663","","ePermits O&amp;M FY12 Part 2","Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.","2012-10-01","2013-03-31","1.450000","-152","-83.98","Red","0.000000","0.00","Green","2012-12-28","15:14:50"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","PERD182202","664","","BRS Field Reports Phase 2","UAT Bug Fixes.","2010-12-31","2011-03-31","0.010000","0","0.00","Green","0.000000","0.00","Green","2011-09-22","13:34:24"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","PER1822012","5737","","ePermits O&amp;M FY14 Part 1","Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.","2014-04-01","2014-09-30","3.500000","364","200.00","Red","0.000000","0.00","Green","2012-11-01","13:30:32"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","PER1822013","5739","","ePermits O&amp;M FY14 Part 2","Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.","2014-10-01","2015-03-31","3.500000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:30:32"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","PER182205","5741","","ePermits O&amp;M FY13 Part 2","Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.","2013-10-01","2014-04-01","3.500000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:30:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038000","665","","Enterprise Management","Management of APHIS Enterprise IT Systems.","2010-10-01","2011-09-30","46.960000","10","2.75","Green","0.000000","0.00","Green","2011-09-22","13:34:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038001","666","","VoIP Riverdale","Installation of voice over IP phones in Riverdale, MD headquarters facility.","2011-08-15","2012-04-30","0.662000","0","0.00","Green","0.000000","0.00","Green","2012-05-31","17:20:13"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038002","667","","Enterprise Security","Maintain Enterprise Security integrity.","2011-09-06","2012-12-31","3.155000","0","0.00","Green","0.000000","0.00","Green","2013-01-31","17:22:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038003","668","","Telecom","Maintain Enterprise telecom service integrity.","2011-09-06","2012-12-21","14.239000","0","0.00","Green","2.024400","83.14","Red","2013-01-31","17:22:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038004","669","","Enterprise Software license optimization","Maintain and update all Enterprise software licenses.","2011-10-03","2012-09-07","10.058000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:20:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038005","670","","Hardware Maintenance","Maintain Enterprise hardware service support and operational integrity.","2011-11-01","2012-05-31","4.268000","0","0.00","Green","0.000000","0.00","Green","2012-09-19","10:39:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038006","671","","Enterprise Life Cycle Management","Engage life cycle management of Enterprise systems. Target is optimal performance of Enterprise.","2012-03-01","2012-08-24","4.010000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:20:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338000","5873","","Enterprise Management-1","Management of APHIS Enterprise IT Systems.","2012-10-01","2013-09-30","23.717000","0","0.00","Green","0.000000","0.00","Green","2013-04-29","21:24:39"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338001","5875","","Enterprise Security-1","Maintain the security of the Enterprise Infrastructure.","2012-10-01","2013-09-30","0.119000","0","0.00","Green","0.000000","0.00","Green","2013-05-29","18:28:06"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338003","5877","","Enterprise Software License management","Maintain and update all Enterprise Software licenses.","2012-11-05","2013-08-09","3.014000","0","0.00","Green","0.000000","0.00","Green","2013-08-20","15:24:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338004","5879","","Hardware Maintenance-1","Maintain Enterprise hardware service support and operational integrity.","2013-02-04","2013-06-28","0.311000","0","0.00","Green","0.000000","0.00","Green","2013-07-23","13:19:34"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438000","5881","","Enterprise Management-2","Management of APHIS Enterprise IT systems.","2013-01-01","2014-09-30","30.975000","0","0.00","Green","0.000000","0.00","Green","2013-04-29","21:24:39"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438001","5883","","Enterprise Security-2","Maintain Enterprise Level Security.","2013-01-01","2014-09-30","0.033000","0","0.00","Green","0.000000","0.00","Green","2013-07-23","13:19:35"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438002","5885","","Enterprise Software license optimization-1","Maintain and update all Enterprise software licenses.","2013-11-04","2014-08-08","12.959000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:30:40"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438003","5887","","Hardware Maintenance-2","Maintain Enterprise hardware service, support, and integrity.","2013-12-16","2014-07-18","4.696000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","13:30:40"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1231-11-01","1092","","Program Loan Accounting System (PLAS)","PLAS is a legacy mainframe system of record for the Farm Loan Programs designed in the late 1970s. This system is quickly reaching the end of its useful life. The Direct Loan System (DLS) is the new project that is being designed to replace PLAS functionality by streamlining and modernizing the direct loan process. During the development of DLS, PLAS is in a Steady State maintenance only mode unless large unexpected modifications such as Stimulus or disaster relief require quick solutions.","2002-10-01","2018-09-28","46.720000","0","0.00","Green","-0.245000","-5.40","Green","2013-08-20","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1231-19-01","1093","","Electronic Debt and Loan Restructure System (eDALR$)","eDALR$ is an Intranet web-based program developed to assist authorized agency officials in determining and evaluating the effect of primary loan servicing. The eDALR$ system completes calculations based on information regarding the borrower's cash flow and loan status. This information is used to restructure the borrower's debt and maximize their repayment ability, while minimizing loss to the Government. This system replaced the Legacy DALR$ system in Feb 2008 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","0","0.00","Green","0.000000","0.00","Green","2013-08-20","17:08:50"
