Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","no","N/A.","no","N/A.","no","","","no","N/A.","no","N/A.","09/14/2012","10:25:44"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","no","None.","yes","Biotechnology Regalatory Services (BRS) implemented a reporting module to comply with an IG audit finding.","yes","ePermits directly supports Strategic Goal 2: Ensure our national forests and private working lands are conserved, restored, and made resilient to climate change, while enhancing our water resources, Strategic Goal 3: Help America promote agricultural production and biotechnology exports as America works to increase food security, Strategic Goal 4: Ensure that all of America s children have access to safe, nutritious, and balanced meals, by providing an automated centralized solution for permitting.","P44-005-070","no","","no","","09/16/2011","14:58:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","no","","no","","no","","","no","","no","","09/16/2011","14:58:48"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","no","N/A.","no","N/A.","no","N/A.","","no","N/A.","no","N/A.","09/17/2012","17:23:53"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","no","","no","","yes","The CFLPIDS project strictly adheres to the Agency's Strategic Plan requirements and recommendations. The Agency s primary mission is to deliver timely, effective programs and services to America's farmers and ranchers to support them in sustaining our Nation's vibrant agricultural economy, as well as to provide first-rate support for domestic and international food aid efforts.  CFLPIDS supports this initiative by reliably and equitably providing capital to qualified Farmers and Ranchers for ownership, operating, and emergency loans through a streamlined and modernized integration of IT platforms, processes, and data stores.  Throughout the development of the CFLPIDS system, great care is taken in order to leverage existing technology, COTS packages, and new innovations in order to provide first-rate support to our customers through both in-office and mobile services.","","no","","no","","09/16/2011","15:00:03"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","no","Not Applicable (N/A).","no","Not Applicable (N/A).","no","Not Applicable (N/A).","","no","Not Applicable (N/A).","no","Not Applicable (N/A).","09/14/2012","10:26:52"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","no","Not Applicable.","no","","no","Not Applicable.","","no","Not Applicable.","yes","The technical direction of this investment is driven by USDA and FSA architecture and security requirements.  Examples are the use of SQL Server 2008, the migration of the client/server application to the web using FSA's reference architecture, and numerous changed to conform to FSA Information Bulletins.","09/14/2012","10:26:59"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","yes","The Chief Financial Officers (CFO) Act of 1990 - Improve the government's financial management, outlining standards of financial performance and disclosure.","no","","no","","","no","","no","","09/16/2011","15:00:15"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","yes","As applicable, the MIDAS program is working to align with the U.S. CIO  25 Point Implementation Plan to Reform Federal Information Technology Management .","no","","yes","MIDAS is aligned with USDA Management Initiative #4 (Leverage USDA Departmental Management to Increase Performance, Efficiency, and Alignment) and #5 (Optimize Information Technology (IT) Policy and Applications), as defined in USDA 2010-2015 Strategic Plan. MIDAS is aligned with FSA Strategic Goal #4 (Transform and modernize the Farm Service Agency), as defined in Farm Service Agency (FSA) 2012-2016 Strategic Plan.","001-003-002","no","","no","","09/16/2011","15:00:58"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","yes","Federal Financial Managers Integrity Act (FMFIA) Requires managers to assess the effectiveness of management controls applicable to their responsibilities. Federal Funding Accountability and Transparency Act (FFATA) - Ensures that the public can access information on all entities and organizations receiving Federal funds. American Recovery and Reinvestment Act (ARRA) - Foster unprecedented levels of accountability and transparency in government spending. Freedom of Information Act (FOIA) Ensures public access to U.S. government records.","no","","yes","USDA FY 2010 2015 Strategic Plan FMMI aligns with several management initiatives outlined in the strategic plan including the following: Initiative IV: Leverage USDA Departmental Management to Increase Performance, Efficiency, and Alignment Initiative V: Optimize Information Technology (IT) Policy and Applications.","P43-005-067","no","","no","","09/16/2011","15:01:02"
