Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment URL ID,Agency Investment URL ID,Valid Public URL,Investment URL,invURL - A - Related Datasets,invURL - B - Related API,invURL - C - Related Social Media,invURL - D - General Information,invURL - E - Related to Broader Program/Business,invURL - F - Mobile Application Name,invURL - Mobile Audience Focus,invURL - Responsive Design For Mobile,Updated Date,Updated Time
"021-142305975","3","021","Department of Transportation","1445","","No","http://www.faa.gov/nextgen/implementation/portfolio/trans_support_progs/adsb/","no","no","no","yes","no","","","","09/14/2012","10:29:20"
"021-142305975","3","021","Department of Transportation","4475","2579","Yes","http://www.faa.gov/nextgen","no","no","no","no","yes","","no","no","09/10/2013","15:41:38"
"021-142305975","3","021","Department of Transportation","1447","","Yes","http://www.faa.gov/nextgen/implementation/programs/adsb/","no","no","no","no","yes","","","","03/25/2013","17:12:40"
"021-142305975","3","021","Department of Transportation","4477","2580","No","http://www.faa.gov/nextgen/implementation/portfolio/trans_support_progs/adsb/","no","no","no","yes","no","","no","no","09/10/2013","15:41:38"
"429-000002005","4","429","Nuclear Regulatory Commission","4039","","Yes","http://www.nei.org/","no","no","no","yes","yes","","","","09/28/2012","14:24:20"
"429-000002005","4","429","Nuclear Regulatory Commission","4037","","Yes","http://www.fema.gov/","no","no","no","yes","yes","","no","no","09/25/2013","08:57:18"
"029-888888105","7","029","Department of Veterans Affairs","233","","Yes","https://www.ebenefits.va.gov/ebenefits-portal/ebenefits.portal_nfpb&#61;true&amp;_portlet.async&#61;false&amp;_pageLabel&#61;ebenefits_myeb_vonapp1","yes","yes","no","no","yes","N/A","no","no","09/10/2013","12:27:02"
"029-888888105","7","029","Department of Veterans Affairs","231","","Yes","https://www.ebenefits.va.gov/ebenefits-portal/ebenefits.portal","yes","yes","no","no","yes","N/A","no","no","09/10/2013","12:27:02"
"029-555555110","8","029","Department of Veterans Affairs","249","","Yes","http://www.telehealth.va.gov/ccht/index.asp","no","no","no","no","yes","","","","09/12/2012","12:39:53"
"029-555555110","8","029","Department of Veterans Affairs","253","","No","http://www.itdashboard.gov/investmentbuscid&#61;8","no","yes","no","yes","no","","","","03/25/2013","14:56:41"
