Agency Code,Agency Name,Mega 53 Agency Name,Agency Abbreviation,CGAC Agency Code,Mega 53 Sort Order,IT Dashboard,CFO Act,CIO Council,First Active BY,Last Active BY
"000","International Assistance Programs (not including USAID)","","","","0","","","","","2013"
"001","Legislative Branch","","","000","0","","","","","2016"
"002","Judicial Branch","","","010","0","","","","","2016"
"005","Department of Agriculture","Department of Agriculture","USDA","012","10","1","1","1","","2016"
"006","Department of Commerce","Department of Commerce","Commerce","013","40","1","1","1","","2016"
"007","Department of Defense","Department of Defense","DOD","n/a","50","1","1","1","","2016"
"009","Department of Health and Human Services","Department of Health and Human Services","HHS","075","80","1","1","1","","2016"
"010","Department of the Interior","Department of the Interior","Interior","014","100","1","1","1","","2016"
"011","Department of Justice","Department of Justice","Justice","015","110","1","1","1","","2016"
"012","Department of Labor","Department of Labor","Labor","016","120","1","1","1","","2016"
"014","Department of State","Department of State","State","019","140","1","1","1","","2016"
"015","Department of the Treasury","Department of the Treasury","Treasury","020","160","1","1","1","","2016"
"016","Social Security Administration","Social Security Administration","SSA","028","310","1","1","1","","2016"
"018","Department of Education","Department of Education","ED","091","60","1","1","1","","2016"
"019","Department of Energy","Department of Energy","Energy","089","70","1","1","1","","2016"
"020","Environmental Protection Agency","Environmental Protection Agency","EPA","068","200","1","1","1","","2016"
"021","Department of Transportation","Department of Transportation","DOT","069","150","1","1","1","","2016"
"023","General Services Administration","General Services Administration","GSA","047","230","1","1","1","","2016"
"024","Department of Homeland Security","Department of Homeland Security","DHS","070","90","1","1","1","","2016"
"025","Department of Housing and Urban Development","Department of Housing and Urban Development","HUD","086","95","1","1","1","","2016"
"026","National Aeronautics and Space Administration","National Aeronautics and Space Administration","NASA","080","240","1","1","1","","2016"
"027","Office of Personnel Management","Office of Personnel Management","OPM","024","280","1","1","1","","2016"
"028","Small Business Administration","Small Business Administration","SBA","073","290","1","1","1","","2016"
"029","Department of Veterans Affairs","Department of Veterans Affairs","VA","036","170","1","1","1","","2016"
"100","Executive Office of the President","Office of Management and Budget","OMB","011","270","","","","","2016"
"154","Federal Drug Control Programs","","","n/a","0","","","","","2016"
"184","U.S. Agency for International Development","U.S. Agency for International Development","USAID","n/a","145","1","1","1","","2016"
"200","Other Defense Civil Programs","","","n/a","0","","","","","2016"
"202","U.S. Army Corps of Engineers","U.S. Army Corps of Engineers","USACE","096","190","1","","1","","2016"
"302","Administrative Conference of the United States","","","302","","","","","","2016"
"306","Advisory Council on Historic Preservation","","","306","0","","","","","2016"
"309","Appalachian Regional Commission","","","309","0","","","","","2016"
"310","Access Board","","","310","0","","","","","2016"
"313","Barry Goldwater Scholarship and Excellence in Education Foundation","","","313","0","","","","","2016"
"316","Central Intelligence Agency","","CIA","056","0","","","1","","2016"
"323","Commission of Fine Arts","","","323","0","","","","","2016"
"326","Commission on Civil Rights","","","326","0","","","","","2016"
"338","Committee for Purchase from People who are Blind or Severely Disabled, activities","","","338","0","","","","","2016"
"339","Commodity Futures Trading Commission","Commodity Futures Trading Commission","CFTC","339","0","","","","","2016"
"343","Consumer Product Safety Commission","Consumer Product Safety Commission","CPSC","061","0","","","","","2016"
"344","Corporation for Public Broadcasting","","","n/a","0","","","","","2016"
"345","United States Court of Appeals for Veterans Claims","","","345","0","","","","","2016"
"347","Defense Nuclear Facilities Safety Board","","","347","0","","","","","2016"
"349","District of Columbia","","","349","0","","","","","2016"
"350","Equal Employment Opportunity Commission","Equal Employment Opportunity Commission","EEOC","045","0","","","","","2016"
"351","Export-Import Bank of the United States","Export-Import Bank of the US","Export","083","0","","","","","2016"
"352","Farm Credit Administration","","","352","0","","","","","2016"
"354","Farm Credit System Financial Assistance Corporation","","","","0","","","","","2013"
"355","Farm Credit System Insurance Corporation","","","n/a","0","","","","","2016"
"356","Federal Communications Commission","Federal Communications Commission","FCC","027","0","","","","","2016"
"357","Federal Deposit Insurance Corporation","Federal Deposit Insurance Corporation","FDIC","051","0","","","","","2016"
"360","Federal Election Commission","Federal Election Commission","FEC","360","0","","","","","2016"
"362","Federal Financial Institutions Examination Council","","","362","0","","","","","2016"
"364","Federal Housing Finance Board","","","","0","","","","","2014"
"365","Federal Labor Relations Authority","","","054","0","","","","","2016"
"366","Federal Maritime Commission","","","065","0","","","","","2016"
"367","Federal Mediation and Conciliation Service","","","093","0","","","","","2016"
"368","Federal Mine Safety and Health Review Commission","","FMSHRC","368","0","","","","","2016"
"369","Federal Retirement Thrift Investment Board","","","026","0","","","","","2016"
"370","Federal Trade Commission","Federal Trade Commission","FTC","029","0","","","","","2016"
"372","Harry S Truman Scholarship Foundation","","","372","0","","","","","2016"
"373","Institute of American Indian and Alaska Native Culture and Arts Development","","","373","0","","","","","2016"
"376","United States Interagency Council on Homelessness","","","376","0","","","","","2016"
"378","International Trade Commission","","","034","0","","","","","2016"
"381","James Madison Memorial Fellowship Foundation","","","381","0","","","","","2016"
"382","Japan-United States Friendship Commission","","","382","0","","","","","2016"
"385","Legal Services Corporation","","","n/a","0","","","","","2016"
"387","Marine Mammal Commission","","","387","0","","","","","2016"
"389","Merit Systems Protection Board","","","389","0","","","","","2016"
"393","National Archives and Records Administration","National Archives and Records Administration","NARA","088","241","1","","1","","2016"
"394","National Capital Planning Commission","","","394","0","","","","","2016"
"400","National Commission on Libraries and Information Science","","","","0","","","","","2013"
"413","National Council on Disability","","","413","0","","","","","2016"
"415","National Credit Union Administration","","","025","0","","","","","2016"
"417","National Endowment for the Arts","National Endowment for the Arts","NEA","417","0","","","","","2016"
"418","National Endowment for the Humanities","National Endowment for the Humanities","NEH","417","0","","","","","2016"
"420","National Labor Relations Board","National Labor Relations Board","NLRB","420","0","","","","","2016"
"421","National Mediation Board","","","421","0","","","","","2016"
"422","National Science Foundation","National Science Foundation","NSF","049","250","1","1","1","","2016"
"424","National Transportation Safety Board","","","424","0","","","","","2016"
"428","Neighborhood Reinvestment Corporation","","","428","0","","","","","2016"
