Agency Code,Agency Name,Public Cloud PY,Public Cloud CY,Public Cloud BY,Private Cloud PY,Private Cloud CY,Private Cloud BY,Community Cloud PY,Community Cloud CY,Community Cloud BY,Hybrid Cloud PY,Hybrid Cloud CY,Hybrid Cloud BY,Deployment Model Other Service CY,Deployment Model Other Service BY,SaaS PY,SaaS CY,SaaS BY,PaaS PY,PaaS CY,PaaS BY,IaaS PY,IaaS CY,IaaS BY,Service Model Other Service CY,Service Model Other Service BY,XML Request ID,Updated Date,Updated Time
"026","National Aeronautics and Space Administration","13.829480","15.117040","15.494100","5.596500","9.866000","10.432000","0.000000","0.000000","0.000000","0.040500","0.203500","0.220000","89.090882","87.302092","0.185980","0.816540","1.026100","11.762000","12.712000","12.528000","7.518500","11.658000","12.592000","89.090882","87.302092","4223321","2014-09-08","15:43:34"
"012-12","Department of Labor","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.032000","0.032000","2.532000","2.425000","1.249000","2.650000","1.253000","1.253000","2.457000","1.281000","5.182000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.253000","1.253000","4388317","2015-01-05","13:09:20"
"422","National Science Foundation","0.399000","0.441000","0.299000","8.720000","4.393000","5.700000","0.302000","3.435000","3.352000","0.000000","0.000000","0.000000","2.748000","2.899000","9.061000","7.058000","8.868000","0.000000","0.000000","0.000000","0.360000","1.211000","0.483000","2.748000","2.899000","4388431","2015-01-06","10:29:51"
"202","U.S. Army Corps of Engineers","0.225000","0.250000","0.250000","0.356000","1.856000","1.544000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.356000","1.856000","1.544000","0.000000","0.000000","0.000000","0.225000","0.250000","0.250000","0.000000","0.000000","4389035","2015-01-07","19:54:56"
"025","Department of Housing and Urban Development","5.045059","8.793315","37.632167","120.994828","132.864115","127.171758","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","6.448887","9.871900","36.197325","0.000000","0.000000","0.000000","119.591000","131.785530","128.606600","0.000000","0.000000","4389067","2015-01-08","09:06:50"
"016","Social Security Administration","3.990000","2.990200","4.001100","36.682700","39.580100","112.207000","0.000000","0.000000","0.000000","14.565700","12.950700","15.949500","2.873000","4.336000","17.492100","15.736700","19.550800","14.368900","15.847500","19.698000","23.377400","23.936800","92.908800","2.873000","4.336000","4390421","2015-01-08","10:55:40"
"010","Department of the Interior","0.919725","1.541860","1.585078","0.452400","0.943000","0.588400","10.002056","9.862861","13.245466","0.000000","0.000000","0.000000","27.234389","27.856161","5.320277","4.842825","4.916234","0.032400","0.156945","0.155505","6.021504","7.347951","10.347205","27.234389","27.856161","4390433","2015-01-08","11:06:41"
"028","Small Business Administration","0.000000","0.055000","0.000000","0.225000","0.225000","0.225000","0.049300","3.902300","3.902300","0.000000","0.000000","0.000000","11.686920","12.304000","0.225000","4.078000","4.078000","0.000000","0.000000","0.000000","0.049300","0.104300","0.049300","11.686920","12.304000","4390655","2015-01-08","13:17:11"
"029","Department of Veterans Affairs","3.330000","0.000000","0.000000","46.397881","68.961297","47.851611","0.500000","0.500000","0.510000","1.730000","1.730000","0.000000","0.155500","0.178610","6.060000","3.130000","1.680000","0.500000","0.500000","0.510000","45.397881","67.561297","46.171611","0.155500","0.178610","4391257","2015-01-09","11:41:30"
"019","Department of Energy","9.021753","12.039830","10.532626","16.847142","28.309047","27.130341","1.174000","1.346000","1.298000","1.533549","2.344733","2.392868","8.750737","8.909192","9.572266","13.497161","11.255454","1.479912","1.114430","0.895430","17.524266","29.428019","29.202951","8.750737","8.909192","4391287","2015-01-09","12:24:54"
"393","National Archives and Records Administration","0.215000","0.215000","0.221000","10.570000","10.876000","11.094000","4.447000","4.456500","4.676500","1.249600","1.163400","1.177300","3.888500","3.891500","7.938600","7.700900","7.903800","0.351000","0.292000","0.307000","8.192000","8.718000","8.958000","3.888500","3.891500","4391311","2015-01-09","12:59:45"
"020","Environmental Protection Agency","1.882505","2.712809","2.967632","4.404273","3.467335","1.199927","0.010036","0.013244","0.008948","0.200677","0.475762","0.529762","9.004441","10.382177","3.576368","3.887816","1.648611","1.541000","2.726000","2.999000","1.380123","0.055334","0.058658","9.004441","10.382177","4391317","2015-01-09","13:03:34"
