Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Solicitation ID (Agency),Modular Approaches / Contracting,EVM Required,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","45491","6439","Awarded","3144","AG3144D120121","GS06F0629Z","1205","AG-3144-D-12-0121","no","no","No","","","","","","","","","","","","","2015-08-28 22:04:06",""
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","45493","","Awarded","3142","AG3142B090033","GS35F5014H","1205","AG-3144-K-13-0072","no","no","Yes","GARTNER, INC.","","","Firm Fixed Price","","04/30/2010","01/01/1970","U","CHANGE VENDOR CODE TO MATCH THE NEW FINANICAL SYSTEM DATA BASE ","218327","1205","","2015-03-27 09:54:13","2015-03-27 09:54:13"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","45497","","Awarded","3142","68-7482-14-514","CESU Agreement","1205","CESU Agreement","no","no","No","","","","","","","","","","","","","2014-10-30 15:08:49",""
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","46893","","Awarded","3144","AG3144D130034","GS06F1207Z","1205","AG-3144-D-13-0034","no","no","Yes","EMAGINE IT, INC.","AG-3144-S-12-0007","27.376991","Firm Fixed Price","","02/19/2015","12/14/2017","U","NRCS STRATEGIC PMO SUPPORTIGF::OT::IGF","218331","1205","0","2015-03-27 09:54:14","2015-03-27 09:54:14"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","47397","61898","Awarded","3142","AG3142B090033","GS35F5014H","1205","AG-3144-K-13-0072","no","no","No","","","","","","","","","","","","","2015-08-28 22:04:06",""
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","47399","61897","Awarded","3144","AG3144D130034","GS06F1207Z","1205","AG-3144-D-13-0034","no","no","No","","","","","","","","","","","","","2015-08-28 22:04:06",""
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","47401","61895","Awarded","3144","AG3144D130064","GS35F199AA","1205","AG-3144-D-13-0064","no","no","No","","","","","","","","","","","","","2015-08-28 22:04:06",""
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","47403","61896","Awarded","3142","68748214514","CESU Agreement","1205","CESU Agreement","no","no","No","","","","","","","","","","","","","2015-07-29 13:55:07",""
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","45929","6561","Awarded","12G2","AG-3A94-D-140155","HHSN316201200075W","4730","AG-3A94-S-14-0098","yes","no","No","","","","","","","","","","","","","2015-08-30 17:26:52",""
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","45933","6560","Awarded","12G2","AG-3A94-D-130174/0001","GS06F0618Z","4730","AG-3A94-S-14-0093","yes","yes","No","","","","","","","","","","","","","2015-05-29 10:53:30",""
