Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost,SDLC Methodology,Other SDLC,Release Every Six Mo,Release Every Six Mo Comment,PM Experience Level,Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Project Status,Updated Date,Updated Time
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038000","665","","Enterprise Management","Management of APHIS Enterprise IT Systems.","2010-10-01","2011-09-30","46.960000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","10","2.75","Green","0.000000","0.00","Green","Completed","2011-09-22","13:34:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038001","666","","VoIP Riverdale","Installation of voice over IP phones in Riverdale, MD headquarters facility.","2011-08-15","2012-04-30","0.662000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2012-05-31","17:20:13"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038002","667","","Enterprise Security","Maintain Enterprise Security integrity.","2011-09-06","2012-12-31","3.155000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2013-01-31","17:22:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038003","668","","Telecom","Maintain Enterprise telecom service integrity.","2011-09-06","2012-12-21","14.239000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","2.024400","83.14","Red","Completed","2014-03-18","11:34:15"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038004","669","","Enterprise Software license optimization","Maintain and update all Enterprise software licenses.","2011-10-03","2012-09-07","10.058000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2012-11-01","13:20:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038005","670","","Hardware Maintenance","Maintain Enterprise hardware service support and operational integrity.","2011-11-01","2012-05-31","4.268000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2012-09-19","10:39:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI0038006","671","","Enterprise Life Cycle Management","Engage life cycle management of Enterprise systems. Target is optimal performance of Enterprise.","2012-03-01","2012-08-24","4.010000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2012-11-01","13:20:32"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338000","5873","","Enterprise Management-1","Management of APHIS Enterprise IT Systems.","2012-10-01","2013-09-30","23.717000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2013-04-29","21:24:39"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338001","5875","","Enterprise Security-1","Maintain the security of the Enterprise Infrastructure.","2012-10-01","2013-09-30","0.119000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-03-18","11:34:15"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338003","5877","","Enterprise Software License management","Maintain and update all Enterprise Software licenses.","2012-11-05","2013-08-09","3.014000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-03-18","11:34:15"
