"Unique Investment Identifier","Business Case ID","Affected Investment ID","Agency Affected Investment ID","Affected Investment UII","To Be Status","Updated Date","Updated Time"
015-000000044,637,1,"	20",015-000000010,"to be eliminated",09/11/2012,12:04:20
015-000000057,827,9,"	16",015-000000216,"to be eliminated",09/11/2012,13:31:59
029-777777137,1169,11,,029-666666268,"to be reduced",03/25/2013,15:06:09
029-777777137,1169,13,,029-777777109,"to be reduced",03/25/2013,15:06:09
029-777777137,1169,15,,029-555555114,"to be reduced",03/25/2013,15:06:09
010-000000319,674,21,,010-000000454,"to be reduced",02/04/2016,18:30:50
010-000000316,673,25,,010-000000001,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,27,,010-000000017,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,29,,010-000000315,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,31,,010-000000365,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,33,,010-000000160,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,35,,010-000000160,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,37,,010-000000280,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,39,,010-000000295,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,41,,010-000000278,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,43,,010-000000308,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,45,,010-000000410,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,47,,010-000000460,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,49,,010-000000462,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,51,,010-000000774,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,53,,010-000000476,"to be eliminated",02/04/2016,18:30:21
024-000005664,173,77,"	187803",024-000005628,"to be eliminated",02/08/2016,17:03:40
024-000006115,203,79,"	187778",024-000006006,"to be reduced",02/08/2016,17:02:04
024-000005072,1104,81,"	187442",024-000005082,"to be eliminated",02/08/2016,17:02:57
024-000005358,308,83,"	191719",024-000005082,"to be reduced",02/08/2016,17:03:53
021-514765477,368,87,Host,021-423294720,"to be eliminated",03/19/2014,15:43:33
021-514765477,368,89,DSR,021-864879837,"to be reduced",03/19/2014,15:43:33
021-514765477,368,91,URET,021-864879837,"to be eliminated",03/19/2014,15:43:33
