"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Target 2015","Agency Baseline Capability","Target 2016","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Status","Latest Actual Result Met/Not Met (derived)","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",7749,"	4630","Percent difference in 5-year Alaska aviation accident rate for Part 135 aircraft comparing ADS-B equipped and non-equipped aircraft",Percent,"2 - Strategic and Business Results",18,,18,"Over target",Semi-Annual,"45542 - Reduce the rate of aviation accidents",160780,"	43909",24,,Met,,2016-01-31,n,2016-07-28,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",7751,"	4631","Flight time time savings (in hours) comparing ADS-B equipped and non-equipped helicopter flights in low altitude Gulf of Mexico.  Actual relies on ADS-B flight counts, distance based calculations data",Hours,"1 - Customer Satisfaction (Results)",1667,,1050,"Over target",Quarterly,,167202,"	44919",1286.45,,Met,,2016-05-31,n,2016-07-28,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",7753,"	4632","Position Update interval - Terminal: The WAM Service in Colorodo service volumes shall provide for each aircraft in the Terminal domain a CO WAM Report containing position information with an update interval no greater than 3.0 seconds (95%) at each SDP",Seconds,"1 - Customer Satisfaction (Results)",3,,3,"Under target",Monthly,,170151,"	45210",1.638,,Met,,2016-05-31,n,2016-07-28,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",7755,"	4633","TIS-B Availability",Percent,"2 - Strategic and Business Results",99.9,,99.9,"Over target",Monthly,,170152,"	45211",0.99125,,"Not Met",,2016-05-31,n,2016-07-28,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",7757,"	4634","FIS-B Availability",Percent,"2 - Strategic and Business Results",99.9,,99.9,"Over target",Monthly,,170153,"	45212",0.99881,,"Not Met",,2016-05-31,n,2016-07-28,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",21983,"	30490","Peak hourly Instrument Flight Rules (IFR) load in low altitude Gulf of Mexico area. ",Count,"1 - Customer Satisfaction (Results)",54,,54,"Over target",Semi-Annual,,160785,"	43914",63,,Met,,2016-01-31,n,2016-07-28,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",21985,"	30569","Program cost per equiped flight hour.",Dollars,"3 - Financial Performance",42,,42,"Under target",Annual,,160786,"	43915",14.2,,Met,,2016-01-31,n,2016-07-28,14:34:06
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10447,"	081214120803","Percentage of electronic claims (526EZ) submitted monthly vs. total electronic & paper",Percentage,"2 - Strategic and Business Results",0.2,,0.2,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168603,"	1607137948",0.313,,Met,"End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10449,"	081214120821","American Customer Satisfaction Index (ACSI) score for VDC 526ez",Integer,"1 - Customer Satisfaction (Results)",61,,61,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168604,"	1607137936",46,,"Not Met","End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10451,"	081214120828","Percentage of electronic claims (526EZ)  submitted monthly via VDC only vs. total electronic & paper",Percentage,"2 - Strategic and Business Results",0.2,,0.2,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168605,"	1607137946",0.313,,Met,"End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
