"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Objectives / Expected Outcomes","Start Date","Completion Date","Project Life Cycle Cost","SDLC Methodology","Other SDLC","Release Every Six Mo","Release Every Six Mo Comment","PM Experience Level","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	689",7143,"	689","Colorado Wide Area Multilateration (WAM Phase 2)","Implement ADS-B/multilateration surveillance systems at 4 Colorado mountain airports - APB MILESTONE.",2010-10-01,2013-07-31,9.435291,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-0.914001,-9.69,Green,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	690",7145,"	690","3 Nautical Mile Separation","Enable three-mile separation standards in order to move airplanes more efficiently through the NAS.",2011-07-01,2012-06-30,3.489873,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0.397485,11.39,Yellow,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	691",7147,"	691","Automation Upgrades","The Automation Upgrades project includes ERAM, ATOP and STARS.",2010-10-01,2016-09-30,89.404723,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",404,18.44,Yellow,9.738807,10.89,Yellow,In-progress,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	692",7149,"	692","Air Traffic Control (ATC) Surface Advisory Services","Integration of aircraft position data from ADS-B transmissions into ATC Surface Advisory Services.",2010-10-01,2015-09-30,137.056153,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-4.837969,-7.07,Green,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	693",7151,"	693","Ground Based Interval Management (GIM)","Display of along-track guidance, control and indications, and alerts.",2010-10-01,2015-09-30,122.622689,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",12,0.66,Green,22.666387,18.48,Yellow,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	694",7153,"	694","En Route ATC Separation Services","Integration of aircraft position data from ADS-B transmissions into En Route ATC Separation Services.",2011-10-01,2015-09-30,4.651134,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",-18,-1.29,Green,-2.049014,-44.05,Red,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	695",7155,"	695","Terminal ATC Separation Services","Terminal ATC Separation Services.",2010-10-01,2016-09-30,25.265631,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-0.348792,-1.38,Green,In-progress,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	696",7157,"	696","In Trail Procedures","Provide operational benefits in non-surveillance airspace by enabling ""in-trail"" climbs/descents at reduced separation distances.",2010-10-01,2013-08-31,13.663148,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,3.297506,24.13,Yellow,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	697",7159,"	697","Flight Deck Based Interval Management - Separation (FIM-S)","FIM-S is a set of capabilities and procedures supported by ground and flight deck (FIM) components for controllers and flight crews to use in combination to manage inter-aircraft spacing.",2011-04-01,2014-05-31,7.863588,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",1,0.09,Green,1.563102,19.88,Yellow,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	698",7161,"	698","Traffic Situational Awareness with Alerts (TSAA)","Enhance safety in the National Airspace System by providing alerts to General Aviation pilots of conflicting airborne traffic.",2010-10-01,2014-03-31,7.41409,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0.964124,13,Yellow,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	699",7163,"	699","Avionics Upgrades","Upgrade Avionics 260B and 282B.",2010-10-01,2015-05-31,23.278484,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",41,2.41,Green,1.696351,7.29,Green,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	700",7165,"	700","Service Volumes ISAT","Critical Services Implementation Service Acceptance Testing (ISAT).",2010-10-01,2013-12-31,168.447633,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",-120,-10.11,Yellow,26.69164,15.85,Yellow,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	701",7167,"	701","Subscription Fees","Subscription Fees.",2010-10-01,2014-09-30,590.25108,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-0.104364,-0.02,Green,Completed,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	20977",7701,"	20977","ADS-B  FY14-FY20","Baseline activities for ASD-B services, Gulf of Mexico Expansion, and In Trail Procedures for fiscal years 2014 through 2020.",2013-10-01,2020-09-30,960.5,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,86.726186,15.21,Yellow,In-progress,07/28/2016,14:34:06
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","	21871",7703,"	21871","Space Based ADS-B","The Space Based ADS-B project is focused on providing ATC surveillance separation services (vis-a-vis ADS-B) to aircraft flying in non-radar airspace, where the deployment of ground infrastructure is not feasible.  The key objectives are to increase efficiency through reduced separation and optimized flight altitudes to minimize fuel burn, as well as to increase safety through more frequent surveillance reports to assist with search and rescue missions.",2013-04-01,2016-09-30,19.961622,"7 - Not Primarily a Software Development Project",,no,"This is not primarily a software development project.","1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-0.738,-3.7,Green,In-progress,07/28/2016,14:34:06
