"Agency Code","Agency Name","Public Cloud PY","Public Cloud CY","Public Cloud BY","Private Cloud PY","Private Cloud CY","Private Cloud BY","Community Cloud PY","Community Cloud CY","Community Cloud BY","Hybrid Cloud PY","Hybrid Cloud CY","Hybrid Cloud BY","Deployment Model Other Service PY","Deployment Model Other Service CY","Deployment Model Other Service BY","SaaS PY","SaaS CY","SaaS BY","PaaS PY","PaaS CY","PaaS BY","IaaS PY","IaaS CY","IaaS BY","Service Model Other Service PY","Service Model Other Service CY","Service Model Other Service BY","XML Request ID","Updated Date","Updated Time"
"	005","Department of Agriculture",0.602774,1.34892,1.232323,23.938,23.521,24.082,54.8271,52.9273,60.971335,0.933,0.734,1.035,12.58,16.245,45.604357,22.056864,21.786864,21.538161,25.68501,25.622356,41.518322,32.559,31.122,24.264175,12.58,16.245,45.604357,254216,2016-01-14,20:34:33
"	006","Department of Commerce",17.392443,11.629971,10.663346,155.150459,184.977932,120.812891,39.264173,41.437304,38.743609,11.072187,36.883141,32.897621,42.345238,50.118645,56.260033,72.841795,94.726199,78.995588,26.283935,36.273665,31.457318,123.753532,143.928484,92.664561,42.345238,50.118645,56.260033,253138,2016-01-13,22:46:41
"	007","Department of Defense",849.754,859.799,843.678,333.85,335.283,168.099,49.565,57.173,20.069,0.484,6.179,4.258,1973.721,1994.487,1627.846,145.836,147.971,136.476,3.449,5.439,3.979,1084.368,1105.024,895.649,1973.721,1994.487,1627.846,284499,2016-01-29,20:25:33
"	009","Department of Health and Human Services",13.739,15.786,12.963,38.963,52.925,31.018,11.393,11.845,6.773,0.821,0.849,0.199,71.485,76.278,45.274,24.942,25.372,14.44,14.641,18.557,14.201,25.333,37.476,22.312,71.485,76.278,45.274,251648,2016-01-07,17:19:51
"	010","Department of the Interior",2.235834,3.006034,2.018434,0.641,0.6954,2.664,7.0691,8.9523,7.9446,0.090035,0.17521,0.17501,24.997943,27.202377,25.881667,2.934849,3.485954,4.702144,0.10831,0.33008,0.42262,6.99281,9.01291,7.67728,24.997943,27.202377,25.881667,253064,2016-01-13,19:21:10
"	011","Department of Justice",4.50904,2.03775,0.49637,22.357287,29.697223,24.81942,2.52162,2.322,2.109,1.530028,0.619787,0.75128,127.18611,121.00642,99.228211,6.42394,6.941039,5.51228,4.41013,11.14323,13.00361,20.083905,16.592491,9.66018,127.18611,121.00642,99.228211,254006,2016-01-14,19:56:50
"	012","Department of Labor",0.621956,0.551459,0.556768,42.812085,54.623361,54.623861,9.044012,1.706197,1.228435,3.047,3.317,2.655,160.353694,157.400757,184.800866,41.820924,42.786814,41.580785,10.580295,13.716519,13.776861,3.123834,3.694684,3.706418,160.353694,157.400757,184.800866,255087,2016-01-15,20:33:32
"	012","Department of Labor",0,0,0,0,0,0,0.152,0.532,0.8,0,0,0,3.025,4.134,4.035,0.152,0.232,0.3,0,0,0,0,0.3,0.5,3.025,4.134,4.035,251567,2016-01-07,15:15:14
"	014","Department of State",4.953,9.092,11.514,1.5,1.6,1.595,4.42,4.42,5.2,4.05,4.1,4.208,0.01463,0.016341,0.019258,10.993,14.382,19.287,1.88,1.63,1.63,2.05,3.2,1.6,0.01463,0.016341,0.019258,253127,2016-01-13,21:31:14
"	015","Department of the Treasury",50.52213,55.911061,58.85208,54.721061,55.437144,55.832418,17.760797,23.424032,20.472032,11.39,10.698449,8.811118,212.495071,237.659803,240.733138,67.64713,70.176529,73.490651,12.495797,18.137032,13.218032,54.251061,57.157125,57.258965,212.495071,237.659803,240.733138,254431,2016-01-14,22:37:05
