"Performance Gov ID","Agency Code","Agency Name",Description,"ASO / APG"
829,"	005","Department of Agriculture","Enhance Rural Prosperity including leveraging capital markets to increase the government's investment in rural America",ASO
830,"	005","Department of Agriculture","Increase Agricultural Opportunities by Ensuring a Robust Safety Net, Creating New Markets, and Supporting a Competitive Agricultural System",ASO
831,"	005","Department of Agriculture","Contribute to the Expansion of the Bioeconomy by Supporting Development, Production, and Consumption of Renewable Energy and Biobased Products",ASO
832,"	005","Department of Agriculture","Improve the Health of the Nation's Forests, Grasslands, and Working Lands by Managing our Natural Resources",ASO
833,"	005","Department of Agriculture","Contribute to Clean and Abundant Water by Protecting and Enhancing Water Resources on National Forests and Working Lands",ASO
834,"	005","Department of Agriculture","Reduce Risk of Catastrophic Wildfire",ASO
835,"	005","Department of Agriculture","Ensure US agricultural resources contribute to enhanced global food security",ASO
836,"	005","Department of Agriculture","Enhance America's Ability to Develop and Trade Agricultural Products Derived from New and Emerging Technologies",ASO
838,"	005","Department of Agriculture","Improve access to nutritious food",ASO
839,"	005","Department of Agriculture","Promote healthy diet and physical activity behavior",ASO
840,"	005","Department of Agriculture","Protect Public Health by Ensuring Food is Safe",ASO
841,"	005","Department of Agriculture","Protect Agricultural Health by Minimizing Major Diseases and Pests to Ensure Access to Safe, Plentiful, and Nutritious Food",ASO
915,"	005","Department of Agriculture","Lead Efforts to Mitigate and Adapt to Climate Change, Drought, and Extreme Weather in Agriculture and Forestry",ASO
1394,"	005","Department of Agriculture","Create new economic opportunities through farming and the creation of new markets for agricultural products.",APG
1396,"	005","Department of Agriculture","Improve the health of our Nation' soils to make our food, fiber, and energy production systems resilient and sustainable.",APG
3227,"	005","Department of Agriculture","Develop a Customer-centric, Inclusive, and High-performing Workforce by Investing in and Engaging Employees to Improve Service Delivery",ASO
3228,"	005","Department of Agriculture","Build a Safe, Secure, and Efficient Workplace by Leveraging Technology and Shared Solutions Across Organizational Boundaries",ASO
3229,"	005","Department of Agriculture","Maximize the Return on Taxpayer Investment in USDA Through Enhanced Stewardship Activities and Focused Program Evaluations",ASO
3355,"	005","Department of Agriculture","Reduce the number of foodborne Salmonella illnesses that are associated with USDA' Food Safety and Inspection Service (FSIS)-regulated products-meat, poultry, and processed egg products.",APG
45872,"	005","Department of Agriculture","Soil Health & Sustainability",APG
45912,"	005","Department of Agriculture","Pollinator Habitat Health",APG
45932,"	005","Department of Agriculture","Access and Opportunity for Beginning Farmers and Ranchers",APG
45952,"	005","Department of Agriculture","Increased Food Security and Diet Quality",APG
74401,"	005","Department of Agriculture","Increasing Assistance for Rural, Persistent Poverty Communities",APG
843,"	006","Department of Commerce","Foster healthy and sustainable marine resources, habitats, and ecosystems through improved management and partnerships. (NOAA)",ASO
1064,"	006","Department of Commerce","Improve Patent Processing Time and Quality",APG
1066,"	006","Department of Commerce","Improve Forecasting Accuracy and Lead Times for Severe Weather",APG
1068,"	006","Department of Commerce","Confirm elimination of Overfishing",APG
1074,"	006","Department of Commerce","""Expand U.S. Broadband Infrastructure """,APG
1089,"	006","Department of Commerce","Improve preparedness, response, and recovery from weather and water events by building a Weather-Ready Nation. (NOAA, Census)",ASO
1090,"	006","Department of Commerce","Enable U.S. businesses to adapt and prosper by developing environmental and climate informed solutions.  (ITA, ESA, NIST, NOAA)",ASO
1091,"	006","Department of Commerce","Strengthen the resiliency of communities and regions by delivering targeted services to build capacity. (NOAA, NIST, EDA)",ASO
1092,"	006","Department of Commerce","Advance the understanding and prediction of changes in the environment through world class science and observations. (NOAA, NIST)",ASO
1094,"	006","Department of Commerce","Transform the Department's data capacity to enhance the value, accessibility and usability of Commerce data for government, business and the public. (ESA, NOAA, NIST, NTIS)",ASO
1095,"	006","Department of Commerce","Improve data based services, decision-making and data sharing within the Department and with other parts of the Federal Government. (ESA, BEA, Census, BIS, ITA, MBDA)",ASO
1096,"	006","Department of Commerce","Collaborate with the business community to provide more timely, accurate, and relevant data products and services for all our customers (ESA, NOAA)",ASO
1098,"	006","Department of Commerce","Grow a more productive, agile, and high-value manufacturing sector through partnerships and collaborations that accelerate technology development and commercialization (NIST)",ASO
