"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Legislative Mandate Required","Legislative Mandate Description","Audit Finding Resolution Required","Audit Finding Resolution Description","Published Agency Strategic Performance Plan Required","Published Agency Strategic Performance Plan Description","Presidential Priority Required","Presidential Priority Description","Other Requirement Required","Other Requirement Description","Updated Date","Updated Time"
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",no,,no,,yes,"FAA Strategic Goals:
 - Make aviation safer and smarter; 
-  Deliver benefits through technology and infrastructure.
 
The AJM-2 Directorate's activities influence the performance metrics for Average Daily Airport Capacity and NAS On-Time Arrivals. The enabling technologies provided by ADS-B also facilitate transition to Next Generation Air Transportation System (NextGen) capabilities.",no,,no,,2014-09-12,17:20:22
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",yes,"Veterans Opportunity to Work Act (VOW Act).",no,,yes,"Veterans Relationship Management (VRM) represents one of VA's top transformation initiatives. As the main investment for VRM, the One Vet program seeks to address VA's need for state of the art customer relationship management program. The VA FY11-FY15 Strategic Plan Refresh (VA Strategic Plan) highlights a number of statistics about the breadth of VA and the changing Veteran population, including: the sheer size and scope of VA hospitals, centers, clinics, cemeteries, and installations, the increasing number of claims being processed, the increased lifespan of Veterans, and the rising disabilities rating which together place an enormous burden on the VA system as demand for services rises and remains for a longer duration of time. VA/DoD Joint Strategic Plan (JSP) - serves as a uniting function between Goal 1 (Benefits and Services) and Goal 2 (Health Care) in order to positively impact Goal 3 (Efficiencies of Operations).",yes,"The Presidential executive order released on April 27, 2011 tasks federal agencies with creating technology that improves customer service within 6 months, and gather customer feedback through their websites and through other channels such as email, U.S. mail and phone contact with a focus on future improvements. President s Commission on Care for America s Returning Wounded Warriors which requires the VA to create a patient-centered recovery plan for every seriously injured Service member.  This project will enable VHA and VBA case managers to track, document, manage, share, and report on this recovery plan.",no,"The Presidental executive order released on April 27, 2011 tasks federal agencies with creating technology that improves customer service within 6 months, and gather customer feedback through their websites and through other channels such as email, U.S. mail and phone contact with a focus on future improvements.",2016-02-02,20:55:55
029-555555110,8,"	029","Department of Veterans Affairs","Medical 21st Century TeleHealth",yes,"General provisions of the Millennium Health and Benefits Act of 1999 promise Veterans better long-term health care, new Veterans' cemeteries, immediate construction of the World War II Memorial, and several other improved benefits supporting Veterans in non-institutional care (NIC) settings. Benefits to the Veteran include (1) Improved access to long-term care for severely disabled Veterans. (2) VA's duty to provide alternatives to nursing home care is expanded. (3) The VA would be authorized to pay reasonable emergency care costs for Veterans obtaining their principal health care from the VA. (4) Improved specialized mental health care services for Veterans. (5) Authorize the VA to offer health care to TRICARE-eligible retirees and Purple Heart recipients who otherwise do not qualify for VA care. (6) Allow the VA greater flexibility in how it generates new income and how it can spend it to enhance Veterans' care.",no,,yes,"The VA Strategic Plan Refresh FY 2014-2020 is the cornerstone of our transformation effort, laying out Telehealth's business and technical goals and strategies for working together on its highest priorities, such as Home Telehealth.",no,,no,,2016-02-02,16:28:02
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",no,,no,,yes,"Two major segments of the Agency's ""USAID Forward"" Reform Agenda (https://pages.usaid.gov/usaidforward/) center on (a) Implementation & Procurement and (b) Rebuilding Budget Management.

The GLAAS Investment supports these reform goals by providing an enterprise web-based system that streamlines and standardizes USAID's Acquisition and Assistance (A&A) business processes.  This results in improved compliance, accountability and transparency of A&A actions.  The system also provides real-time integration with USAID's financial system (Phoenix) and other United States Government systems, such as FPDS-NG, FAADS, and Grants.gov. Through this integration, GLAAS improves competition of contracts and grants, disclosure, and accessibility of the Agency's spending of public funds and provides for real-time accountability.

In sum, the GLAAS system provides faster and more comprehensive and accurate data required to support USAID Forward's individual reform objectives.",no,,no,,2015-09-17,14:13:46
184-000000005,12,"	184","U.S. Agency for International Development","Billing and Accounting - Core",yes,"The Federal Financial Management Improvement Act (FFMIA) requires each agency to implement and maintain systems that comply substantially with Federal financial management system requirements.  OMB Circular A-123 Appendix D prescribes specific policies and requirements for Federal Financial Management System Requirements that consist of three parts: (a) reliable financial reporting, (b) effective and efficient operations, and (c) compliance with applicable laws and regulations.  Phoenix complies with the Federal Information Security Management Act of 2002 and the ""Federal Financial Management System Requirements"" contained in the Treasury Financial Manual.",yes,"The single Material Weakness that USAID has received on several past financial statements has been, ""USAID Does Not Reconcile Its Fund Balance with Treasury Account with the U.S. Treasury and Resolve Reconciling Items in a Timely Manner.""  USAID's Office of the Inspector General has recommended that USAID's OCFO intensify its efforts to reconcile monthly transactions with Treasury and identify, track, and resolve legacy differences recorded in the suspense accounts and in other appropriation accounts.  The Phoenix system is central to several changes USAID is making to address this problem, including the deployment of an online version of its Cash Reconciliation Tool, called eCART, which uses data from a Phoenix interface, as well as the deployment of an Agency-wide Automated Deobligation Tool that provides the means more efficient and effective of deobligations.",yes,"An accounting system is critical to USAID's operations and is therefore indirectly necessary to achieve the USAID and Department of State joint goals.  Phoenix aligns with the Foreign Assistance Standardized Program Structure, and inter-agency framework that aligns with the goals outlined in the Joint Strategic plan, which is used to aggregate foreign assistance budget requests and reporting.  The Phoenix program has incorporated this Standardized Program Structure and tracks with any updates to it, so that USAID staff can tie budget and expenditure to this framework.",yes,"It supports the Presidential Memorandum on Transparency and Open Government, and the resulting Open Government Directive and subsequent guidance from OMB. The Phoenix financial system and reports are essential to provide accurate, financial information to the public. It developed the ""Where Does USAID Money Go?"" report published on http://www.usaid.gov/open, and is essential in generating financial data for several of the other reports published on that page. This team has provided essential data and support to the Foreign Assistance Dashboard, www.foreignassistance.gov, a Flagship Initiative described in USAID's 2012 Open Government Plan, and was also the source for the ""USAID Dollars Obligated and Dollars Spent"" dataset on data.gov - https://explore.data.gov/Foreign-Commerce-and-Aid/USAID-Dollars-Obligated-and-Dollars-Spent/cy2i-w7ni. Its recent initiatives support the Federal CIO's '25 Point Implementation Plan (from 2010) to Reform Federal Information Technology Management'.",yes,"OMB directed USAID and the Department of State to work jointly in implementing financial systems; after reviewing alternatives, USAID and Department of State decided to consolidate their financial systems operations, and have implemented systems run from a joint platform at the Department of State's facilities in Charleston, South Carolina.",2015-09-17,14:13:21
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",no,.,no,.,yes,"Strategic goal: To preserve, enhance, sustain and strengthen the health of the All-Volunteer Force, and total workforce.
This initiative promotes the strategic goal through the collection of health data that will be used for items such as patient encounters, and other day-to-day operational healthcare decision-making and management.",no,.,yes,"1) Improved documentation and tracking of specific patient populations (Sexual Assault Tracking and Reporting Enhancements) ~Mandate by Secretary of Defense
2) Improved clinical management capabilities: The Joint Commission on Accreditation of Healthcare Organizations (JCAHO), establishes standards by which health care organizations are expected to perform. These standards are designed to ensure the health of the public.
3) Support for the Medical Home initiative (Common Access Card/ID card patient check-in) ~Assistant Secretary of Defense, Health Affairs (ASD HA) Patient Centered Medical Home initiative.",2016-02-04,16:34:04
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",no,.,no,.,yes,"Navy ERP is aligned with and supports the following strategic plan goals and objectives:
- DOD Strategic Mgt. Plan:  Improve IT acquisition performance; ensure effective logistics support to the warfighter; acquire the resources necessary to meet national defense objectives and ensure the legal, effective, and efficient use of DoD resources   
- DON IM/IT Strategic Plan:  implement an enterprise approach to telecommunications within the DON, ensuring a robust infrastructure with improved financial mgt. and leveraging new technologies to provide maximum capability to Sailors; accelerate the migration of applications and data to a net-centric environment to facilitate warfighting and business transformation; identify and designate DON wide authoritative data sources and enterprise services.
- ERP is one of four key elements supporting the objective of Business Transformation in the DON Financial Mgt. Strategic Plan. 
- ERP is included in the DOD Enterprise Transformation plan.",no,.,yes,"The Navy Enterprise Resource Planning (ERP) Program has an approved Operational Requirements Document (ORD), Capabilities Production Document (CPD), and validated Key Performance Parameters (KPPs). The ORD was approved by the Joint Requirements and Oversight Council (JROC) on 12 August 2004. The CPD was approved prior to Milestone 'C' in August of 2007 and updated in January of 2010. The CPD is the master document for all KPP information and descriptions. The Navy ERP Program was developed in response to the need to transform Navy business practices as expressed by the Chief of Naval Operation's vision in Sea Power 21.",2015-10-13,16:55:47
007-000000510,25,"	007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT",no,.,no,.,yes,"Strategic goal: To preserve, enhance, sustain and strengthen the health of the All-Volunteer Force, and total workforce.
This initiative promotes the strategic goal through the collection of health data that will be used for day-to-day operational healthcare decision-making and management.",no,.,yes,"Within EI/DS, the TED application must apply the same standardization of Claims Processing under TRICARE Program to be identical to the claims processing requirements under the Medicare program. TITLE 10 Subtitle A  PART II  CHAPTER 55   S. 1095c. 
Within EI/DS, the Protected Health Information Management Tool (PHIMT) application addresses the requirements for timely access to health care information and its goal for modernization and incorporation of Health Care Insurance Portability and Accountability Act (HIPAA), and HIPAA's Privacy provisions.",2016-02-04,18:44:03
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",yes,"Replacing the Joint Personnel Adjudication System (JPAS), the DISS program specifically addresses the requirements of Section 3001(e) of PL 108-458, Intelligence Reform and Terrorism Prevention Act of 2004 (IRTPA).",no,.,yes,"The DISS program supports the the FY 2014/2015 DoD Strategic Management Plan (SMP)''s Business Goal 1, ""Optimize DoD personnel by developing and instituting policies and practices that focus on readiness and support for Service members, their families, those transitioning to veteran status, and civilian staff, in a constrained fiscal environment"" and SMP Business Goal 3, ""Build agile and secure information capabilities to enhance combat power and decision making while optimizing value.   

The DISS program is contributing to the development and deployment of the end-to-end framework identified in the Business Enterprise Architecture (BEA) and is applying business process re-engineering to maximize this goal. The DISS program has also been given direction by previous DoD SMPs. This work has been critical to improving performance and achieving results in the hiring and clearance processes across the DoD enterprise.",yes,"Homeland Security Presidential Directive 12: The USD(I) Memorandum ""DoD Central Adjudications Facilities (CAF) Consolidation , dated 3 March, 2012 directed a complete consolidation of all security adjudicative functions to maximize operational efficiencies.  In addition to security functions, this memorandum also directed the consolidated DoD CAF to process HSPD-12 and Suitability favorable determination with the Case Adjudication Tracking System (CATS).  CATS will support the electronic delivery, electronic case management, and storage of HSPD-12 and Suitability determinations for the DoD.",no,.,2015-10-13,17:06:05
007-000000595,27,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK",no,.,yes,"Reference correspondence of GAO/C-IMTEC-89-1, Telecommunications Modifications Needed to Expedite Critical Defense Systems, January 25, 1989; DODIG Audit Report No. 90-097, Defense Data Network, July 5, 1990; and GAO/IMTEC-91-6, Defense Communications Millions May Be Spent Unnecessarily to Expand Data Network, November 1990, resulted in the Assistant Secretary of Defense for Command, Control, Communications and Intelligence (ASDC3I) establishing and convening an ad hoc Task Force to study DoD data communications.  The resulting study recommendations for consolidation of DoD data networks was vetted through the DoD Telecommunications Program Review Group and approved by ASD(C3I) on 11 Sep 1991.  Subsequnt GAO audits have effectively validated the consolidation and integration of DoD common user communications as technically efficient and cost effective, both being beneficial to the taxpayer.",yes,"Initial implementation of the DISN was validated by the Joint Requirement Oversight Council (JROC) with their approval of the DISN Joint Mission Needs Statement (JMNS) and the Joint Capstone Requirements Document (JCRD). The Office of the Secretary of Defense (OSD) and the Joint Staff (JS) determined that DISN fulfilled DoD''s requirements as defined in the Department''s mission statements and its force projection vision contained within the Command, Control, Communications, Computers, and Intelligence (C4I) for the Warrior (C4IFTW) doctrine. In subsequent years, it was deemed to be the critical underlying C4I infrastructure to support the Department''s vision statements for power projection, interoperability, information assurance and cyber warfare.",no,.,no,.,2012-09-11,11:38:32
