"Agency Code","Agency Name","Budget Account Code","Budget Account Name","CIO Authority FY2020 (BY) ($ M)","Total Agency Funding 2018 PY ($ M)","Total Agency Funding 2019 CY ($ M)","Total Agency Funding 2020 BY ($ M)","Total Agency Funding Budget Authority 2020 BY ($ M)","Updated Date","Updated Time"
"	005","Department of Agriculture",005-13-1701,"Economic Research Service",0,11.304,12.216,12.615,1.154,2019-04-05,12:49:41
"	005","Department of Agriculture",005-60-4226,"Rural Water and Waste Disposal Direct Loans Financing Account",0,0.033,0.036,0.03,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-47-2707,"RMA Salaries and Expenses",0,5.937,7.338,6.019,2.542,2019-04-05,12:49:41
"	005","Department of Agriculture",005-96-1106,"National Forest System",0,238.947,527.01,540.187,396.312,2019-04-05,12:49:41
"	005","Department of Agriculture",005-14-0014,"Office of the Chief Financial Officer",0,176.367,70.522,73.227,60.926,2019-04-05,12:49:41
"	005","Department of Agriculture",005-63-1953,"Rural Housing Assistance Grants",0,0.177,0.177,0.177,0.108,2019-04-05,12:49:41
"	005","Department of Agriculture",005-47-4085,"Federal Crop Insurance Corporation Fund",0,34.626,9.484,9,9,2019-04-05,12:49:41
"	005","Department of Agriculture",005-96-1107,"Presidential Wildland Fire Contingency Reserve",0,8.027,7.628,7.329,6.778,2019-04-05,12:49:41
"	005","Department of Agriculture",005-15-1801,"National Agricultural Statistics Service",0,20.168,32.787,33.292,17.933,2019-04-05,12:49:41
"	005","Department of Agriculture",005-63-2081,"Rural Housing Insurance Fund Program Account",0,1.034,1.125,0.733,0.002,2019-04-05,12:49:41
"	005","Department of Agriculture",005-49-0600,"Salaries and Expenses",0,149.534,405.266,269.037,132.667,2019-04-05,12:49:41
"	005","Department of Agriculture",005-96-1115,"Wildland Fire Management",0,7.956,6.748,6.748,6.748,2019-04-05,12:49:41
"	005","Department of Agriculture",005-18-1400,"Salaries and Expenses",0,45.516,61.841,59.473,6.25,2019-04-05,12:49:41
"	005","Department of Agriculture",005-63-4216,"Rural Housing Insurance Fund Guaranteed Loan Financing Account",0,0.006,0.006,0.006,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-49-4213,"Agricultural Credit Insurance Fund Guaranteed Loan Financing Account",0,2.596,0.859,0.871,0.666,2019-04-05,12:49:41
"	005","Department of Agriculture",005-96-4605,"Working Capital Fund",0,50.572,53.209,52.687,44.659,2019-04-05,12:49:41
"	005","Department of Agriculture",005-19-0117,"Agriculture Buildings and Facilities and Rental Payments",0,0.614,0.632,0.651,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-65-1902,"Rural Business Program Account",0,0.086,0.091,0.071,0.001,2019-04-05,12:49:41
"	005","Department of Agriculture",005-49-4336,"Commodity Credit Corporation Fund",0,14.02,23.956,25.878,25.318,2019-04-05,12:49:41
"	005","Department of Agriculture",005-96-9974,"Forest Service Trust Funds",0,0,7.7,0,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-20-1003,"Biomass Research and Development",0,0,1.004,1.004,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-65-1907,"Rural Business Investment Program Account",0,0.02,0.017,0.021,0.002,2019-04-05,12:49:41
"	005","Department of Agriculture",005-03-9913,"Office of the Secretary",12.373,8.281,9.3,9.172,2.048,2019-04-05,12:49:41
"	005","Department of Agriculture",005-53-1000,"Private Lands Conservation Operations",0,170.702,195.951,157.577,45.215,2019-04-05,12:49:41
"	005","Department of Agriculture",005-53-1004,"Farm Security and Rural Investment Programs",0,24.785,15.409,8.874,8.149,2019-04-05,12:49:41
"	005","Department of Agriculture",005-20-1500,"Research and Education Activities",0,22.405,24.155,22.773,2.346,2019-04-05,12:49:41
"	005","Department of Agriculture",005-65-4033,"Rural Business Investment Program Guarantee Financing Account",0,0.003,0.003,0.003,0.002,2019-04-05,12:49:41
"	005","Department of Agriculture",005-04-0123,"Office of the Chief Economist",0.927,0.885,0.982,0.931,0.764,2019-04-05,12:49:41
"	005","Department of Agriculture",005-53-1010,"Resource Conservation and Development",0,1.136,3.391,2.231,0.646,2019-04-05,12:49:41
"	005","Department of Agriculture",005-20-1502,"Integrated Activities",0,0.058,0.005,0.005,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-65-4223,"Rural Business and Industry Direct Loans Financing Account",0,0.001,0.001,0.001,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-04-0503,"Office of Budget and Program Analysis",0.373,0.253,0.371,0.377,0.053,2019-04-05,12:49:41
"	005","Department of Agriculture",005-53-3318,"Colorado River Basin Salinity Control Program",0,2.72,3.183,4.024,0.058,2019-04-05,12:49:41
"	005","Department of Agriculture",005-25-0180,"Farm Production and Conservation Business Center",0,0,0,33.858,24.31,2019-04-05,12:49:41
"	005","Department of Agriculture",005-65-4355,"Biorefinery Assistance Guaranteed Loan Financing Account",0,7.232,7.606,7.787,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-04-0706,"Office of Hearings and Appeals",1.086,1.108,1.014,1.061,0.054,2019-04-05,12:49:41
"	005","Department of Agriculture",005-53-3336,"Forestry Incentives Program",0,2.005,4.989,3.606,2.526,2019-04-05,12:49:41
"	005","Department of Agriculture",005-32-1600,"Salaries and Expenses",0,80.314,164.952,140.385,74.343,2019-04-05,12:49:41
"	005","Department of Agriculture",005-68-2900,"Salaries and Expenses",0,13.787,12.698,12.175,10.284,2019-04-05,12:49:41
"	005","Department of Agriculture",005-04-4609,"Working Capital Fund",118.051,87.696,119.163,119.996,49.884,2019-04-05,12:49:41
"	005","Department of Agriculture",005-53-4368,"Damage Assessment and Restoration Revolving Fund",0,0.557,0.483,0.489,0,2019-04-05,12:49:41
