"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Affected Investment ID","Agency Affected Investment ID","Affected Investment UII","To Be Status","Updated Date","Updated Time"
015-000000044,637,"01 - Major IT","01 - Not Applicable",1,"	20",015-000000010,"to be eliminated",09/11/2012,12:04:20
015-000000057,827,"01 - Major IT","01 - Not Applicable",9,"	16",015-000000216,"to be eliminated",09/11/2012,13:31:59
010-000000319,674,"01 - Major IT","01 - Not Applicable",21,,010-000000454,"to be reduced",09/11/2014,20:07:23
010-000000316,673,"01 - Major IT","01 - Not Applicable",25,,010-000000001,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",27,,010-000000017,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",29,,010-000000315,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",31,,010-000000365,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",35,,010-000000160,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",37,,010-000000280,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",39,,010-000000295,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",41,,010-000000278,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",43,,010-000000308,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",45,,010-000000410,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",47,,010-000000460,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",49,,010-000000462,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",51,,010-000000774,"to be eliminated",09/12/2012,15:26:18
010-000000316,673,"01 - Major IT","01 - Not Applicable",53,,010-000000476,"to be eliminated",09/12/2012,15:26:18
024-000005664,173,"01 - Major IT","01 - Not Applicable",77,"	187803",024-000005628,"to be eliminated",09/13/2012,07:19:38
024-000006115,203,"01 - Major IT","01 - Not Applicable",79,"	187778",024-000006006,"to be reduced",09/13/2012,07:22:31
024-000005358,308,"01 - Major IT","01 - Not Applicable",83,"	191719",024-000005082,"to be reduced",09/13/2012,13:44:14
012-000003615,1047,"01 - Major IT","01 - Not Applicable",105,,012-000002025,"to be eliminated",09/13/2012,15:30:24
012-000003615,1047,"01 - Major IT","01 - Not Applicable",107,,012-000002265,"to be eliminated",09/13/2012,15:30:24
024-000005053,314,"01 - Major IT","01 - Not Applicable",117,"	195784",024-000005214,"to be reduced",09/12/2017,16:27:01
020-000013015,412,"01 - Major IT","01 - Not Applicable",129,,020-000013010,"to be eliminated",09/13/2012,16:59:52
020-000013015,412,"01 - Major IT","01 - Not Applicable",133,,020-000013015,"to be eliminated",09/13/2012,16:59:52
020-000013015,412,"01 - Major IT","01 - Not Applicable",135,,020-000013003,"to be eliminated",09/13/2012,16:59:52
014-000000029,742,"01 - Major IT","01 - Not Applicable",145,,014-000000026,"to be reduced",09/14/2012,08:57:43
422-000001327,451,"01 - Major IT","01 - Not Applicable",159,"	75213",422-000000001,"to be eliminated",09/14/2012,10:26:14
014-000000032,1132,"01 - Major IT","01 - Not Applicable",163,,014-000000034,"to be reduced",09/14/2012,11:01:30
014-000000012,718,"01 - Major IT","01 - Not Applicable",165,,014-000000113,"to be eliminated",09/14/2012,11:25:43
014-000000012,718,"01 - Major IT","01 - Not Applicable",167,,014-000000103,"to be eliminated",09/14/2012,11:25:43
014-000000012,718,"01 - Major IT","01 - Not Applicable",169,,014-000000039,"to be eliminated",09/14/2012,11:25:43
005-000002317,832,"01 - Major IT","01 - Not Applicable",201,,005-000000041,"to be eliminated",09/19/2012,17:38:48
015-000000432,1269,"01 - Major IT","01 - Not Applicable",259,"	29",015-000014197,"to be eliminated",03/22/2013,12:58:54
006-000552000,1080,"01 - Major IT","01 - Not Applicable",261,,006-000551500,"to be eliminated",03/22/2013,13:55:26
006-000552000,1080,"01 - Major IT","01 - Not Applicable",263,,006-000550100,"to be eliminated",03/22/2013,13:55:26
024-000007128,1279,"01 - Major IT","01 - Not Applicable",283,"	197016",024-000007127,"to be reduced",03/29/2013,11:07:01
016-000002141,630,"01 - Major IT","01 - Not Applicable",327,,016-000002125,"to be eliminated",06/26/2013,16:12:07
012-000002630,131,"01 - Major IT","01 - Not Applicable",333,,012-000003345,"to be reduced",09/12/2014,11:53:48
020-000015010,402,"01 - Major IT","01 - Not Applicable",336,,020-000015050,"to be eliminated",07/31/2013,17:50:32
024-000005664,173,"01 - Major IT","01 - Not Applicable",355,"	213149",024-000005633,"to be reduced",09/10/2013,10:57:02
024-000005664,173,"01 - Major IT","01 - Not Applicable",357,"	213152",024-000005625,"to be eliminated",09/10/2013,10:57:02
024-000005664,173,"01 - Major IT","01 - Not Applicable",359,"	213150",024-000005670,"to be reduced",09/10/2013,10:57:02
011-000003372,429,"01 - Major IT","01 - Not Applicable",365,,011-000002505,"to be eliminated",09/10/2013,14:01:02
005-000002317,832,"01 - Major IT","01 - Not Applicable",371,,005-000001070,"to be eliminated",09/10/2013,16:11:05
005-000002317,832,"01 - Major IT","01 - Not Applicable",373,,005-000001050,"to be eliminated",09/10/2013,16:11:05
005-000002317,832,"01 - Major IT","01 - Not Applicable",375,,005-000002008,"to be eliminated",09/10/2013,16:11:05
005-000002317,832,"01 - Major IT","01 - Not Applicable",377,,005-000000061,"to be eliminated",09/10/2013,16:11:05
005-000002317,832,"01 - Major IT","01 - Not Applicable",379,,005-000001060,"to be eliminated",09/10/2013,16:11:05
005-000002317,832,"01 - Major IT","01 - Not Applicable",381,,005-000000063,"to be eliminated",09/10/2013,16:11:05
005-000002317,832,"01 - Major IT","01 - Not Applicable",383,,005-000001118,"to be eliminated",09/10/2013,16:11:05
018-000000092,1289,"01 - Major IT","01 - Not Applicable",387,,018-000000046,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",389,,018-000002693,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",391,,018-000002692,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",393,,018-000000001,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",395,,018-000002697,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",397,,018-000002696,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",399,,018-000002180,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",401,,018-000002699,"to be eliminated",09/11/2013,09:41:34
018-000000092,1289,"01 - Major IT","01 - Not Applicable",403,,018-000002170,"to be eliminated",09/11/2013,09:41:34
018-000000094,1299,"01 - Major IT","01 - Not Applicable",417,,018-000002200,"to be eliminated",09/11/2013,10:30:37
018-000000094,1299,"01 - Major IT","01 - Not Applicable",419,,018-000002280,"to be eliminated",09/11/2013,10:30:37
018-000000094,1299,"01 - Major IT","01 - Not Applicable",421,,018-000002710,"to be eliminated",09/11/2013,10:30:37
018-000000091,1305,"01 - Major IT","01 - Not Applicable",437,,018-000002570,"to be eliminated",09/11/2013,12:52:59
018-000000091,1305,"01 - Major IT","01 - Not Applicable",439,,018-000002640,"to be eliminated",09/11/2013,12:52:59
021-000001000,1307,"01 - Major IT","01 - Not Applicable",445,"	22941",021-000001001,"to be eliminated",09/14/2017,14:13:01
018-999991341,811,"01 - Major IT","01 - Not Applicable",447,,018-000003125,"to be eliminated",09/11/2013,15:12:00
010-000000316,673,"01 - Major IT","01 - Not Applicable",453,,010-000000477,"to be eliminated",09/12/2013,00:13:35
010-000000316,673,"01 - Major IT","01 - Not Applicable",455,,010-000000479,"to be eliminated",09/12/2013,00:13:35
010-000000316,673,"01 - Major IT","01 - Not Applicable",457,,010-000000722,"to be eliminated",09/12/2013,00:13:35
010-000000316,673,"01 - Major IT","01 - Not Applicable",459,,010-000000766,"to be eliminated",09/12/2013,00:13:36
010-000000316,673,"01 - Major IT","01 - Not Applicable",461,,010-000001046,"to be eliminated",09/12/2013,00:13:36
010-000000316,673,"01 - Major IT","01 - Not Applicable",463,,010-000000009,"to be eliminated",09/12/2013,00:13:36
010-000000316,673,"01 - Major IT","01 - Not Applicable",465,,010-000000416,"to be eliminated",09/12/2013,00:13:37
010-000000316,673,"01 - Major IT","01 - Not Applicable",467,,010-000000552,"to be eliminated",09/12/2013,00:13:37
010-000000316,673,"01 - Major IT","01 - Not Applicable",469,,010-000000286,"to be eliminated",09/12/2013,00:13:37
010-000000316,673,"01 - Major IT","01 - Not Applicable",471,,010-000000064,"to be eliminated",09/12/2013,00:13:38
010-000000316,673,"01 - Major IT","01 - Not Applicable",473,,010-000001477,"to be eliminated",09/12/2013,00:13:39
010-000000316,673,"01 - Major IT","01 - Not Applicable",475,,010-000001478,"to be eliminated",09/12/2013,00:13:39
010-000000316,673,"01 - Major IT","01 - Not Applicable",477,,010-000001479,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",479,,010-000000078,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",481,,010-000001475,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",483,,010-000000079,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",485,,010-000000411,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",487,,010-000000503,"to be eliminated",09/12/2013,00:13:41
010-000000316,673,"01 - Major IT","01 - Not Applicable",489,,010-000000997,"to be eliminated",09/12/2013,00:13:41
010-000000316,673,"01 - Major IT","01 - Not Applicable",491,,010-000000504,"to be eliminated",09/12/2013,00:13:41
010-000000316,673,"01 - Major IT","01 - Not Applicable",493,,010-000001474,"to be eliminated",09/12/2013,00:13:41
010-000000316,673,"01 - Major IT","01 - Not Applicable",495,,010-000000281,"to be eliminated",09/12/2013,00:13:41
010-000000319,674,"01 - Major IT","01 - Not Applicable",497,,010-000000455,"to be reduced",09/12/2013,10:00:20
012-000003615,1047,"01 - Major IT","01 - Not Applicable",505,,012-000003160,"to be eliminated",09/12/2013,17:24:14
028-000000045,1349,"01 - Major IT","01 - Not Applicable",513,,028-000001219,"to be eliminated",09/13/2013,13:00:22
028-000000045,1349,"01 - Major IT","01 - Not Applicable",515,,028-000001225,"to be eliminated",09/13/2013,13:00:22
