"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Planning Budgetary Resources PY1 and Prior","Planning Budgetary Resources PY","Planning Budgetary Resources CY","Planning Budgetary Resources BY","DME Budgetary Resources PY1 and Prior","DME Budgetary Resources PY","DME Budgetary Resources CY","DME Budgetary Resources BY","DME Government FTE Costs PY1 and Prior","DME Government FTE Costs PY","DME Government FTE Costs CY","DME Government FTE Costs BY","Omd Budgetary Resources PY1 and Prior","Omd Budgetary Resources PY","Omd Budgetary Resources CY","Omd Budgetary Resources BY","Omd Government FTE Costs PY1 and Prior","Omd Government FTE Costs PY","Omd Government FTE Costs CY","Omd Government FTE Costs BY","Government FTE Number PY1 and Prior","Government FTE Number PY","Government FTE Number CY","Government FTE Number BY","Prior Year Cost Change PY","Prior Year Cost Change CY","Prior Year Cost Percentage Change PY","Prior Year Cost Percentage Change CY"
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153,0,-100,-0.637511
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",0,0,0,0,103.640999,0.389708,0,2.02,0,0,0,0,58.488762,6.694819,5.311001,5.290571,11.923551,0.137463,0.171296,0.17352,4,1,1,1,7.22199,5.482297,0,0
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting",0,0,0,0,97.919562,1.339,1.2935,2.25,0,0,0,0,132.489164,11.558393,11.27935,10.070853,10.407643,0,0,0,3,0,0,0,12.897393,12.57285,0,0
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",0,0,0,0,0,0,0,0,0,0,0,0,1820.432,131.988,120.973,81.254,45.2,2.177,2.051,1.46,305.71,13,13,9,-0.441,-4.716,-0.33,-3.69
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",0,0,0,0,0,0,0,0,0,0,0,0,0,59.625,65.2,69.067,12.668,0.175,0.185,0.19,3,1,1,1,-4.452,0,-6.93,0
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",0,0,0,0,32.851,76.743,73.868,48.694,48.207,6.855,6.855,6.06,189.692,69.277,75.327,73.855,0,0,0,0,481,61,61,54,-9.689,-6.376,-5.96,-3.93
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",0,0,0,0,0,0,0,0,0,0,0,0,0,131.197,163.341,312.69,15.757,9.009,9.915,7.091,106,51,36,36,8.615,-8.895,6.55,-4.88
007-000000314,19,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","General Fund Enterprise Business System",0,9.601,1.553,1.729,0,27.207,31.538,22.984,0,0,0,0,87.134,151.848,177.44,154.369,0,3.992,3.089,3.154,0,36,18,18,43.381,51.435,29.06,31.71
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",0,0,0,0,80.873,4.666,2.397,2.397,0,0,0,0,533.638,51.045,51.089,51.153,23.76,1.035,1.132,0.977,157.89,8,8,7,0.193,-0.048,0.34,-0.09
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",0,0,0,0,0,0,0,0,0,0,0,0,169.89,161.004,159.405,164.828,8.013,9.446,10.065,10.355,0,1.5,1.5,1.5,170.45,169.47,0,0
026-000005020,39,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",0,0,0,0,17.85,0,0,0,0,0,0,0,736.389,69.166085,71.241068,73.3783,40.32,3.25179,3.335013,3.451945,0,0,0,0,72.417875,74.576081,0,0
026-000005030,40,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","JSC CA Training Systems",0,0,0,0,8.844,0,0,0,0,0,0,0,221.097,25.067949,25.819988,26.594587,13.326,2.102168,2.155968,2.231561,0,0,0,0,27.170117,27.975956,0,0
026-000001001,42,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","MSFC - HP - Payload Operations and Integration Center (POIC)",0,0,0,0,0,0,0,0,0,0,0,0,229.011,28.489,25.013,26.3,23.168,2.385,2.487,2.592,0,0,0,0,30.874,27.5,0,0
026-000001502,43,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)",0,0,0,0,0,0,0,0,0,0,0,0,16.086796,11.077817,16.815937,16.064963,1.859,1.779,1.848,1.921,0,0,0,0,12.856817,18.663937,0,0
026-000001124,45,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)",0,0,0,0,16.365942,28.044792,16.51,15.107,0,0,0,0,26.614194,27.872706,25.387,26.02,4.418864,4.508,4.604,4.771,0,0,0,0,0,0,0,0
007-000001794,52,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","STANDARD PROCUREMENT SYSTEM",0,0,0,0,0,0,0,0,0,0,0,0,249.835,39.1,45.673,47.588,17.21,3.513,3.54,3.665,156.44,29.17,29.14,29.51,-4.356,-1.544,-9.27,-3.04
007-000004035,58,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM",0,0,0,0,0,0,0,0,0,0,0,0,463.032,69.213,84.571,90.566,109.35,11.85,11.85,11.85,729,79,79,79,0,5.934,0,6.56
007-000005070,59,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Global Combat Support System-Army",22.695,43.5,51.775,0,1.884,38.56,36.357,104.129,0.765,0.785,0,0,101.874,173.383,213.703,177.012,6.205,12.926,13.717,14.504,49,115,83,86,-1.792,34.688,-0.66,12.35
007-000006312,69,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","DEFENSE TRAVEL SYSTEM",36,4.249,8.033,0.259,0,0,0,0,0,0,0,0,195.3,36.141,37.215,39.883,16.201,2.29,2.958,3.017,12,13.58,16.63,16.62,3.393,1.26,8.64,2.68
012-000003535,101,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Industrial Prices Systems (IPS)",0,0,0,0,10.232,1.409,1.415,1.176,20.338,2.002,2.019,1.933,41.11,2.96,1.692,1.931,117.682,6.85,7.03,7.194,1245,56,56,56,0,0.126,0,1
012-000001025,105,"01 - Major IT","01 - Not Applicable","	012","Department of Labor",EFAST2,9.438789,0,0,0,21.382362,0,0,0,4.936919,0,0,0,105.947454,11.711032,14.163427,14.540913,12.923521,0.795968,0.811887,0.828125,112.9,6,6,6,-0.402893,-2.545243,-3.1,-14.5
012-000001010,122,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)",3.354,0,0,0,0,0,0,0,0,0,0,0,172.438,8.656,8.704,8.753,2.27,0.075,0.076,0.077,17.4,0.4,0.4,0.4,-4.8,1.219,-35.5,16.1
012-000002085,123,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","MSHA Standardized Information System (MSIS)",2.339,0,0,0,55.408588,1.011374,0.460193,0.370742,15.926079,0.39121,0.271052,0,20.574491,5.34432,5.65532,4.846139,14.439475,1.9815,1.436168,0.766285,325.2,16.4,11.4,4.6,-0.264722,0.394329,-2.9,5.3
012-000001015,125,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","New Core Financial Management System (NCFMS)",4.661,0,0,0,81.221,0,0,0,5.304,0,0,0,187.451404,27.175516,27.38931,28.25275,7.66097,1.11067,1.190631,1.20849,77.7,5.9,6.5,6.5,-0.080134,0.130181,-0.3,0.5
012-999990020,130,"01 - Major IT","01 - Not Applicable","	012","Department of Labor",Benefits.gov,0,0,0,0,3.242,0.774,1.464,0.807,0,0,0,0,78.272,3.708,3.108,3.866,0.837,0.106,0.108,0.11,4.1,0.7,0.7,0.7,0,0,0,0
012-000002630,131,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","OSHA - Information System (OIS)",5.725,1.785253,0,0,70.574989,2.677879,6.966867,9.668923,3.322388,0.789128,1.084348,1.095191,57.494767,4.463132,1.741717,2.417231,6.794138,0.789129,0.46472,0.469368,83,6,6,6,0,0.53249,0,5.5
012-000002015,132,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Integrated Federal Employees' Compensation System (iFECS)",9.3,0,0,0,29.169,0,0,0,0.54,0,0,0,236.31,6.793,6.793,6.793,35.077,0.708,0.769,0.769,307.3,4,4,4,-5.33,0,-41.5,0
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)",2.5,0,0,0,0,8.36,8.36,0,0,0,0,0,64.478,14.614,14.792,19.792,7.52,0,0,0,21,0,0,0,-10.706,-10.745,-32,-32
024-000005363,143,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","ICE - Student and Exchange Visitor Information System (SEVIS)",7.701,0,0,0,112.24,32.15,27.06,0,17.937,0,0,0,207.207,14.341,15.524,21.661,26.043,3.107,3.138,3.169,150,16,16,16,0,0,0,0
024-000009560,151,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","CISA - Automated Biometric Identification System (IDENT)",0,0,0,0,0,0,0,0,0,0,0,0,895.155,150.603,160.691,23.202,0,68.826,69.59,69.89,0,154,161,177,196.064,218.398,839,1838
024-000009561,152,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","CBP - Arrival and Departure Information System (ADIS)",0,0,0,0,0,0,0,0,0,0,0,0,159.294,25.577,25.577,25.577,17.053,3.795,3.707,3.707,96,17,17,17,0.15,0.044,1,0
024-000001226,155,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CHCO - HR-IT",0,0,0,0,10.836,4.679,8.814,10.353,5.273,0,0,0,105.007,19.284,9.542,1.91,12.39,5.027,5.027,5.027,66,0,0,0,-0.538,-1.968,-2,-8
024-000007127,161,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - NFIP Information Technology Systems and Services",0,0,0,0,0,0,0,0,0,0,0,0,312.809,45.692,45.692,45.692,1.863,0.6,0.603,0.603,18,8,8,8,0,0.003,0,0
024-999994100,166,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Disaster Assistance Improvement Plan (DAIP)",0,0,0,0,7.196,6.15,6.102,6.052,0,0,0,0,6.155,7.201,7.249,7.299,1.08,1.08,1.08,1.08,9,9,9,9,0,0,0,0
024-000007001,167,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Integrated Public Alert & Warning System (IPAWS)",36.169,0.2,0.2,0.2,154.183,12.018,11.67,9.62,0,0,0,0,55.635,11.792,10.32,13.082,17.892,2.508,2.558,2.558,143,16,20,17,0,0,0,0
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)",16.634,0,0,0,63.963,0,0,0,0,0,0,0,262.857,21.846,30.719,23.7,4.166,1.475,5.386,5.493,37,42,84,65,1.475,5.386,7,18
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)",65.637,0,0,0,32.915,0,0,0,0,0,0,0,428.536,49.781,50.361,46.15,36.748,5.93,5.93,5.93,292,59,59,59,0,0,0,0
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight",96.768,0,0,0,150.866,0,0,0,0,0,0,0,583.948,69.263,76.067,77.105,286.379,33.539,33.746,33.731,2234,312,312,308,4.093,0,4,0
024-000005664,173,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program",85.455,0,0,0,125.754,16.291,29.84,20.301,0,0,0,0,102.147,29.772,41.218,41.42,51.75,6.534,7.415,7.415,350,40,45,45,0,0,0,0
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)",1.278,0.172,0.225,0.232,12.701,0.987,2.415,2.969,0.329,0.175,0.177,0.179,240.487,20.797,22.798,23.336,41.879,1.996,2.016,2.036,106.4,12.4,12.4,12.4,-3.761,2.01,-13.486,7.845
