"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",7749,"	4630","Percent difference in 5-year Alaska aviation accident rate for Part 135 aircraft comparing ADS-B equipped and non-equipped aircraft",Percent,"2 - Strategic and Business Results",,18.000000,18.000000,"Over target",Semi-Annual,"021APG18090 - Reduce Aviation-Related Fatalities",219588,"	71722",44.578300,,2018-01-31,n,2018-09-18,13:10:55
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",7755,"	4633","TIS-B Availability",Percent,"1 - Customer Satisfaction (Process Results)",,99.900000,99.900000,"Over target",Monthly,"021SO18098 - System Operations and Performance",234434,"	79886",99.955500,,2018-09-30,n,2018-09-18,13:10:55
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",7757,"	4634","FIS-B Availability",Percent,"1 - Customer Satisfaction (Process Results)",,99.900000,99.900000,"Over target",Monthly,"021SO18098 - System Operations and Performance",234436,"	79887",99.997400,,2018-09-30,n,2018-09-18,13:10:55
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",21985,"	30569","Program cost per equiped flight hour.",Dollars,"3 - Financial Performance",,,,"Under target",Annual,,160786,"	43915",14.200000,,2016-01-31,y,2017-11-07,15:50:51
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",25207,"	45787","FAA Subscription Charges per Flight Hour",Dollars,"3 - Financial Performance",,27.000000,27.000000,"Under target",Annual,"021SO18098 - System Operations and Performance",210529,"	69395",22.000000,,2017-06-30,n,2018-09-18,13:10:55
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",25208,"	45788","Annual Oceanic In Trail Procedures (ITP) climb requests granted",Percent,"2 - Strategic and Business Results",,75.000000,75.000000,"Over target",Annual,"021SO18098 - System Operations and Performance",210530,"	69396",76.000000,,2017-06-30,n,2018-09-18,13:10:55
021-142305975,3,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",25209,"	45789","Average Number of Days where Peak IFR Active Flight Plans Occur in Low Altitude Gulf of Mexico for at least a 15-Minute Period",Days,"2 - Strategic and Business Results",,15.000000,15.000000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235907,"	80105",14.670000,,2018-05-31,n,2018-09-18,13:10:55
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",2653,SS-001,"System availability as actual uptime versus planned uptime over a full 24x7 schedule.  Excludes planned downtime for maintenance and upgrades.",Percentage,"1 - Customer Satisfaction (Process Results)",99.000000,99.000000,99.000000,"Over target",Monthly,"014APG18030 - IT Modernization",236975,,100.000000,,2019-01-31,n,2018-11-19,14:53:20
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",2654,SS-002,"Cost savings based on percentage of Agency Acquisition and Assistance transactions processed through GLAAS (as opposed to paper-based or other manual processes).  Excludes split-funded and other transaction types out of scope for GLAAS processing.",Percentage,"3 - Financial Performance",100.000000,100.000000,100.000000,"Over target",Semi-Annual,"014APG18030 - IT Modernization",233824,,100.000000,,2018-10-10,n,2018-11-19,14:53:20
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",2655,SS-003,"Responsive and consistent helpdesk service.",Number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Monthly,,,,,,,y,2017-11-07,15:50:51
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",2656,SS-004,"Percentage of required regulatory updates received, tested, updated, and deployed in the system within required timeframes.",Percentage,"2 - Strategic and Business Results",100.000000,100.000000,100.000000,"Over target",Semi-Annual,"014APG18030 - IT Modernization",233823,,100.000000,,2018-10-10,n,2018-11-19,14:53:20
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",2657,SS-005,"Manual processing error potential based on a percentage of transactions external to GLAAS in manual processes versus total A&amp;A transactions.",Percentage,"2 - Strategic and Business Results",1.000000,1.000000,1.000000,"Under target",Semi-Annual,"014APG18030 - IT Modernization",233822,,0.000000,,2018-10-10,n,2018-11-19,14:53:20
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",22049,SS-006,"User satisfaction survey results for the GLAAS system",Number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,,,,,,y,2017-11-07,15:50:51
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",23741,SS-007,"Procurement Action Lead Time (PALT) Metric as the number of days for procurement actions to be processed from pre-PALT to Award.",Number,"2 - Strategic and Business Results",308.000000,308.000000,308.000000,"Under target",Monthly,"014APG18030 - IT Modernization",231507,,321.000000,,2018-10-01,n,2018-11-19,14:53:20
184-000000008,10,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Procurement - Core",23742,SS-008,"GLAAS Solution Center Customer Service Satisfaction as measured by a numerical score of 1-5.",Number,"1 - Customer Satisfaction (Process Results)",4.000000,4.000000,4.000000,"Over target",Monthly,"014APG18030 - IT Modernization",236974,,4.569000,,2019-01-31,n,2018-11-19,14:53:20
