Id,"Agency Code","Bureau Code","Bureau Name","Bureau Abbreviation","Treasury Agency Code","CGAC Agency Code","First Active BY","Last Active BY"
515,"	006","	09","Economic Development Challenge",,,,,2012
516,"	006","	53","Technology Administration",,,,,2012
519,"	007","	37","Special Foreign Currency Program",,,,,2012
522,"	009","	95",Allowances,,,,,2012
523,"	010","	14","Bureau of Mines ",,,,,2012
524,"	010","	91","Natural Resources Damage Assessment and Restoration",,,,,2012
526,"	015","	09","Interagency Law Enforcement",,,,,2012
527,"	015","	47","Office of Housing Finance Oversight",,,,,2012
533,"	018","	11","Office of Indian Education",,,,,2012
542,"	024","	50","Security, Enforcement, and Investigations",,,,,2012
543,"	029","	30",Construction,,,,,2012
544,"	357","	10","Bank Insurance",,,,,2012
545,"	357","	25","Deposit Insurance",,,,,2012
548,"	362","	00","Federal Financial Institutions Examination Council Appraisal Subcommittee",,,,,2012
549,"	364","	00","Federal Housing Finance Board",,,,,2012
550,"	515","	00","Commission on Ocean Policy",,,,,2012
551,"	532","	00","Federal Housing Enterprise Regulator",,,,,2012
552,"	001","	05",Senate,,"	00","	000",,2017
553,"	001","	10","House of Representatives",,"	00","	000",,2018
554,"	001","	11","Joint Items",,"	00","	000",,2018
555,"	001","	13","Capitol Police",,"	02","	002",,2018
556,"	001","	12","Office of Compliance",,"	09","	009",,2018
557,"	001","	14","Congressional Budget Office",,"	08","	008",,2018
558,"	001","	15","Architect of the Capitol",,"	01","	001",,2018
559,"	001","	18","Botanic Garden",,"	09","	009",,2018
560,"	001","	25","Library of Congress",,"	03","	003",,2018
561,"	001","	30","Government Publishing Office",,"	04","	004",,2018
562,"	001","	35","Government Accountability Office",,"	05","	005",,2018
563,"	001","	40","United States Tax Court",,"	23","	023",,2018
564,"	001","	45","Legislative Branch Boards and Commissions",,"	09","	009",,2018
566,"	002","	00","Judicial Branch",,"	10","	010",,2017
567,"	002","	05","Supreme Court of the United States",,"	10","	010",,2017
568,"	002","	07","United States Court of Appeals for the Federal Circuit",,"	10","	010",,2017
569,"	002","	15","United States Court of International Trade",,"	10","	010",,2018
570,"	002","	25","Courts of Appeals, District Courts, and Other Judicial Services",,"	10","	010",,2018
571,"	002","	26","Administrative Office of the United States Courts",,"	10","	010",,2018
572,"	002","	30","Federal Judicial Center",,"	10","	010",,2018
573,"	002","	35","Judicial Retirement Funds",,"	10","	010",,2018
574,"	002","	39","United States Sentencing Commission",,"	10","	010",,2018
575,"	005","	00","Department of Agriculture",,"	12","	012",,2017
576,"	005","	03","Office of the Secretary",,"	12","	012",,2017
577,"	005","	04","Executive Operations",,"	12","	012",,2017
578,"	005","	09","Office of Chief Economist",,"	12","	012",,2015
579,"	005","	11","National Appeals Division",,"	12","	012",,2015
580,"	005","	07","Office of Civil Rights",,"	12","	012",,2017
581,"	005","	05","Departmental Management",,"	12","	012",,2015
582,"	005","	06","Office of Communications",,"	12","	012",,2015
583,"	005","	08","Office of Inspector General",,"	12","	012",,2017
584,"	005","	10","Office of the General Counsel",,"	12","	012",,2018
585,"	005","	13","Economic Research Service",,"	12","	012",,2018
586,"	005","	15","National Agricultural Statistics Service",,"	12","	012",,2018
587,"	005","	18","Agricultural Research Service",,"	12","	012",,2018
588,"	005","	20","National Institute of Food and Agriculture",,"	12","	012",,2018
589,"	005","	32","Animal and Plant Health Inspection Service",,"	12","	012",,2018
590,"	005","	35","Food Safety and Inspection Service",,"	12","	012",,2018
591,"	005","	37","Grain Inspection, Packers and Stockyards Administration",,"	12","	012",,2018
592,"	005","	45","Agricultural Marketing Service",,"	12","	012",,2018
593,"	005","	47","Risk Management Agency",,"	12","	012",,2018
594,"	005","	49","Farm Service Agency",,"	12","	012",,2018
595,"	005","	53","Natural Resources Conservation Service",,"	12","	012",,2018
596,"	005","	55","Rural Development",,"	12","	012",,2018
597,"	005","	63","Rural Housing Service",,"	12","	012",,2018
598,"	005","	65","Rural Business_Cooperative Service",,"	12","	012",,2018
599,"	005","	60","Rural Utilities Service",,"	12","	012",,2018
600,"	005","	68","Foreign Agricultural Service",,"	12","	012",,2018
601,"	005","	84","Food and Nutrition Service",,"	12","	012",,2018
602,"	005","	96","Forest Service",,"	12","	012",,2018
603,"	006","	00","Department of Commerce",,"	13","	013",,2017
604,"	006","	05","Departmental Management",,"	13","	013",,2017
605,"	006","	06","Economic Development Administration",,"	13","	013",,2017
